target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,mean_v2_gamma,v2_prior_agreement_rate,v2_proto_agreement_rate,v2_both_agreement_rate,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
90,20,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.3136304020881653,0.31757956743240356,0.31757956743240356,0.6312099695205688,4.530228805541992,0.7649760246276855,0.8899999856948853,0.8799999952316284,0.8799999952316284,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,0.9738562091503268,0.24056944321833643,0.15719224384852817,0.1342761516571045,0.8823529411764706,0.9375,1.0,0.9473684210526316
90,20,RiskMixed_OracleRiskReject_LS010,10,100,70,0.30000000000000004,0.699999988079071,1.0,70.0,0.7,0.29944321513175964,0.29581618309020996,0.29581618309020996,0.595259428024292,4.530228805541992,0.7649760246276855,0.8899999856948853,0.8799999952316284,0.8799999952316284,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,0.9738562091503268,0.23536940975193593,0.1377205201557704,0.12752683460712433,0.8823529411764706,0.9375,1.0,0.9473684210526316
90,21,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.3488963842391968,0.42273712158203125,0.42273712158203125,0.771633505821228,3.908350229263307,0.6302253007888794,0.75,0.7099999785423279,0.699999988079071,0,0,1.0,1.0,1.0,1.0,1.0,0.046543661506697385,0.041911385740552635,0.01552086602896452,1.0,1.0,1.0,1.0
90,21,RiskMixed_OracleRiskReject_LS010,10,100,70,0.30000000000000004,0.699999988079071,1.0,70.0,0.7,0.35956501960754395,0.37450093030929565,0.37450093030929565,0.7340659499168396,3.908350229263307,0.6302253007888794,0.75,0.7099999785423279,0.699999988079071,0,0,1.0,1.0,1.0,1.0,1.0,0.04121945334748911,0.037359225749969485,0.013055255636572838,1.0,1.0,1.0,1.0
90,22,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2472487986087799,0.27036136388778687,0.27036136388778687,0.5176101922988892,6.670614290237452,0.8218561410903931,0.9599999785423279,0.9599999785423279,0.9599999785423279,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9836601307189542,0.14652389594017126,0.07053212778908866,0.07936995476484299,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,RiskMixed_OracleRiskReject_LS010,10,100,70,0.30000000000000004,0.699999988079071,1.0,70.0,0.7,0.2425658404827118,0.25515031814575195,0.25515031814575195,0.49771615862846375,6.670614290237452,0.8218561410903931,0.9599999785423279,0.9599999785423279,0.9599999785423279,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.1567935507829635,0.09254264490944997,0.0830494612455368,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,23,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.23583728075027466,0.26052024960517883,0.26052024960517883,0.4963575303554535,11.163361167907723,0.7745946645736694,0.8999999761581421,0.8999999761581421,0.8999999761581421,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.15612178373689387,0.07179935319083078,0.0790768638253212,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,23,RiskMixed_OracleRiskReject_LS010,10,100,70,0.30000000000000004,0.699999988079071,1.0,70.0,0.7,0.24072463810443878,0.2434844672679901,0.2434844672679901,0.4842091202735901,11.163361167907723,0.7745946645736694,0.8999999761581421,0.8999999761581421,0.8999999761581421,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.16759080330269938,0.08220696278980799,0.08514674007892609,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,24,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.21872064471244812,0.26323971152305603,0.26323971152305603,0.48196035623550415,4.4250849246978765,0.8302047252655029,0.9800000190734863,0.9800000190734863,0.9800000190734863,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,1.0,0.09875269144522378,0.04361057792391096,0.059443943202495575,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,24,RiskMixed_OracleRiskReject_LS010,10,100,70,0.30000000000000004,0.699999988079071,1.0,70.0,0.7,0.2224622368812561,0.24949675798416138,0.24949675798416138,0.4719589948654175,4.4250849246978765,0.8302047252655029,0.9800000190734863,0.9800000190734863,0.9800000190734863,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,1.0,0.10894236428973283,0.03956356729779925,0.06379120796918869,0.8823529411764706,0.9375,1.0,0.9473684210526316
