aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score,score_artifact_gate_physio,score_direction_fixed_total
clean_000_00,0,clean,0,0.5102040767669678,0.020408162847161293,0.36734694242477417,0.4693877696990967,256.4039306640625,0.4877551198005676,0.36734694242477417,0.3989796042442322
clean_000_01,0,clean,0,0.18367347121238708,0.10204081982374191,0.3469387888908386,0.22448979318141937,302.42803955078125,0.20612245798110962,0.3469387888908386,0.5816326141357422
bad_artifact_000_02,0,bad_artifact,0,0.7346938848495483,0.26530611515045166,0.5918367505073547,0.10204081982374191,1561.970458984375,0.3867346942424774,0.5918367505073547,0.5051020383834839
bad_content_000_03,0,bad_content,0,0.12244898080825806,0.44897958636283875,0.10204081982374191,0.8775510191917419,0.03387007117271423,0.5377551317214966,0.10204081982374191,0.4306122064590454
bad_physio_000_04,0,bad_physio,0,1.0,0.7346938848495483,0.40816327929496765,0.7755101919174194,0.7216168642044067,0.876530647277832,0.40816327929496765,0.26836735010147095
clean_001_00,1,clean,1,0.4693877696990967,0.8571428656578064,0.9387755393981934,0.4285714328289032,260.72320556640625,0.44693878293037415,0.9387755393981934,0.6918367743492126
clean_001_01,1,clean,1,0.4285714328289032,0.06122449040412903,0.4897959232330322,0.3469387888908386,267.140869140625,0.3836734890937805,0.4897959232330322,0.4948979318141937
bad_artifact_001_02,1,bad_artifact,1,0.6122449040412903,0.3265306055545807,0.6938775777816772,0.08163265138864517,1803.9273681640625,0.3204081654548645,0.0,0.5877550840377808
bad_content_001_03,1,bad_content,1,0.1428571492433548,0.5306122303009033,0.3265306055545807,0.9795918464660645,0.012519283220171928,0.6030611991882324,0.3265306055545807,0.4663265347480774
bad_physio_001_04,1,bad_physio,1,0.9795918464660645,0.7142857313156128,0.4285714328289032,0.7346938848495483,0.8502568006515503,0.844897985458374,0.4285714328289032,0.2877551019191742
clean_002_00,2,clean,0,0.3469387888908386,0.8163265585899353,0.9795918464660645,0.2857142984867096,270.7210693359375,0.313265323638916,0.9795918464660645,0.7744898200035095
clean_002_01,2,clean,0,0.3265306055545807,0.8367347121238708,1.0,0.5714285969734192,227.34963989257812,0.4612244963645935,1.0,0.7183673977851868
bad_artifact_002_02,2,bad_artifact,0,0.795918345451355,0.18367347121238708,0.7346938848495483,0.0,5718.58349609375,0.3581632375717163,0.0,0.5326530337333679
bad_content_002_03,2,bad_content,0,0.16326530277729034,0.5102040767669678,0.30612245202064514,0.918367326259613,0.023174315690994263,0.5785714387893677,0.30612245202064514,0.466326504945755
bad_physio_002_04,2,bad_physio,0,0.8775510191917419,0.6122449040412903,0.5306122303009033,0.6938775777816772,0.9501482248306274,0.7765306234359741,0.5306122303009033,0.34387755393981934
clean_003_00,3,clean,1,0.20408163964748383,1.0,0.8367347121238708,0.30612245202064514,270.4003601074219,0.2602040767669678,0.8367347121238708,0.8112244606018066
clean_003_01,3,clean,1,0.2857142984867096,0.08163265138864517,0.5102040767669678,0.2448979616165161,298.7099304199219,0.26326531171798706,0.5102040767669678,0.5785713791847229
bad_artifact_003_02,3,bad_artifact,1,0.6530612111091614,0.20408163964748383,0.6122449040412903,0.1428571492433548,837.4960327148438,0.37244898080825806,0.6122449040412903,0.5193877220153809
bad_content_003_03,3,bad_content,1,0.10204081982374191,0.4897959232330322,0.1428571492433548,1.0,0.0006190183339640498,0.5959183573722839,0.1428571492433548,0.4234693944454193
bad_physio_003_04,3,bad_physio,1,0.8571428656578064,0.795918345451355,0.4693877696990967,0.795918345451355,0.42007511854171753,0.8234694004058838,0.4693877696990967,0.33775511384010315
clean_004_00,4,clean,0,0.5306122303009033,0.918367326259613,0.9591836929321289,0.5102040767669678,239.25244140625,0.5193877220153809,0.9591836929321289,0.6642857193946838
clean_004_01,4,clean,0,0.40816327929496765,0.9591836929321289,0.918367326259613,0.40816327929496765,264.6838684082031,0.40816327929496765,0.918367326259613,0.7285714149475098
bad_artifact_004_02,4,bad_artifact,0,0.6326530575752258,0.30612245202064514,0.6734693646430969,0.18367347121238708,429.2081298828125,0.3857142925262451,0.6734693646430969,0.5469387769699097
bad_content_004_03,4,bad_content,0,0.040816325694322586,0.4693877696990967,0.08163265138864517,0.8571428656578064,0.03443862870335579,0.4897959232330322,0.08163265138864517,0.4622448682785034
bad_physio_004_04,4,bad_physio,0,0.918367326259613,0.6938775777816772,0.2448979616165161,0.7551020383834839,0.8362486362457275,0.8285714387893677,0.2448979616165161,0.2551020383834839
clean_005_00,5,clean,1,0.26530611515045166,0.8979591727256775,0.8979591727256775,0.3265306055545807,267.4674377441406,0.29897958040237427,0.8979591727256775,0.7846938371658325
clean_005_01,5,clean,1,0.5918367505073547,0.8775510191917419,0.8163265585899353,0.44897958636283875,259.6414489746094,0.5132653117179871,0.8163265585899353,0.6163265705108643
bad_artifact_005_02,5,bad_artifact,1,0.7142857313156128,0.3469387888908386,0.5714285969734192,0.12244898080825806,924.2881469726562,0.388775497674942,0.5714285969734192,0.5142857432365417
bad_content_005_03,5,bad_content,1,0.08163265138864517,0.36734694242477417,0.040816325694322586,0.9387755393981934,0.021052410826086998,0.5530612468719482,0.040816325694322586,0.4020408093929291
bad_physio_005_04,5,bad_physio,1,0.8979591727256775,0.6734693646430969,0.26530611515045166,0.6734693646430969,1.0163785219192505,0.7744897603988647,0.26530611515045166,0.2846938967704773
clean_006_00,6,clean,0,0.36734694242477417,0.0,0.18367347121238708,0.36734694242477417,266.7960205078125,0.36734694242477417,0.18367347121238708,0.4255102276802063
clean_006_01,6,clean,0,0.30612245202064514,0.6530612111091614,0.7551020383834839,0.26530611515045166,284.1254577636719,0.2836734652519226,0.7551020383834839,0.7132652997970581
bad_artifact_006_02,6,bad_artifact,0,0.7551020383834839,0.16326530277729034,0.7142857313156128,0.040816325694322586,4148.82666015625,0.3622449040412903,0.0,0.5285714268684387
bad_content_006_03,6,bad_content,0,0.0,0.22448979318141937,0.0,0.8367347121238708,0.06681276112794876,0.4602040946483612,0.0,0.4244897961616516
bad_physio_006_04,6,bad_physio,0,0.8367347121238708,0.5918367505073547,0.16326530277729034,0.6326530575752258,1.37912118434906,0.7244898080825806,0.16326530277729034,0.2785714268684387
clean_007_00,7,clean,0,0.44897958636283875,0.12244898080825806,0.44897958636283875,0.5306122303009033,231.46624755859375,0.4938775300979614,0.44897958636283875,0.44081631302833557
clean_007_01,7,clean,0,0.2448979616165161,0.7755101919174194,0.8775510191917419,0.3877550959587097,265.5837707519531,0.3234694004058838,0.8775510191917419,0.7530611753463745
bad_artifact_007_02,7,bad_artifact,0,0.7755101919174194,0.2448979616165161,0.6530612111091614,0.06122449040412903,2187.764892578125,0.38265302777290344,0.0,0.5132653117179871
bad_content_007_03,7,bad_content,0,0.06122449040412903,0.3877550959587097,0.12244898080825806,0.8979591727256775,0.02682223543524742,0.5214285850524902,0.12244898080825806,0.44285711646080017
bad_physio_007_04,7,bad_physio,0,0.9591836929321289,0.5714285969734192,0.3877550959587097,0.7142857313156128,0.9462652206420898,0.8244898319244385,0.3877550959587097,0.26836735010147095
clean_008_00,8,clean,1,0.5714285969734192,0.040816325694322586,0.22448979318141937,0.20408163964748383,328.0310363769531,0.36938777565956116,0.22448979318141937,0.41122445464134216
clean_008_01,8,clean,1,0.4897959232330322,0.6326530575752258,0.795918345451355,0.5510203838348389,229.36578369140625,0.5234693884849548,0.795918345451355,0.5846939086914062
bad_artifact_008_02,8,bad_artifact,1,0.6938775777816772,0.1428571492433548,0.6326530575752258,0.020408162847161293,5654.78369140625,0.3234693706035614,0.0,0.531632661819458
bad_content_008_03,8,bad_content,1,0.22448979318141937,0.4285714328289032,0.020408162847161293,0.9591836929321289,0.018643202260136604,0.6285714507102966,0.020408162847161293,0.3510203957557678
bad_physio_008_04,8,bad_physio,1,0.8163265585899353,0.5510203838348389,0.20408163964748383,0.6530612111091614,1.3638343811035156,0.7265306115150452,0.20408163964748383,0.2846938669681549
clean_009_00,9,clean,1,0.5510203838348389,0.9795918464660645,0.8571428656578064,0.4897959232330322,246.31263732910156,0.5173469185829163,0.8571428656578064,0.6459183692932129
clean_009_01,9,clean,1,0.3877550959587097,0.9387755393981934,0.7755101919174194,0.5918367505073547,225.3973388671875,0.5,0.7755101919174194,0.6510204076766968
bad_artifact_009_02,9,bad_artifact,1,0.6734693646430969,0.2857142984867096,0.5510203838348389,0.16326530277729034,512.1822509765625,0.3928571343421936,0.5510203838348389,0.504081666469574
bad_content_009_03,9,bad_content,1,0.020408162847161293,0.40816327929496765,0.06122449040412903,0.8163265585899353,0.3648335337638855,0.4581632912158966,0.06122449040412903,0.4653061330318451
bad_physio_009_04,9,bad_physio,1,0.9387755393981934,0.7551020383834839,0.2857142984867096,0.6122449040412903,1.938315510749817,0.7591837048530579,0.2857142984867096,0.30306121706962585
