acc,aug_type,condition,ece,group,intensity,kappa,layer,macro_f1,nll,seed,target_subject
0.3402777777777778,none,NoAug,0.06553428764972422,NoAug,0.0,0.12037037037037039,layer1,0.2913724626005657,1.3599987030029297,20,1
0.3020833333333333,clean,CleanAug,0.03444068547752169,CleanAug,0.75,0.06944444444444442,layer1,0.25267521939788135,1.3588120937347412,20,1
0.2847222222222222,bad_content,BadContent,0.03470472515457207,BadContent,0.75,0.04629629629629628,layer1,0.18706896551724136,1.3789849281311035,20,1
0.28125,bad_style,BadStyle,0.04497750372522407,BadStyle,0.75,0.041666666666666664,layer1,0.22282850641187713,1.3686232566833496,20,1
0.3125,bad_physio,BadPhysio,0.03848695889529254,BadPhysio,0.75,0.08333333333333333,layer1,0.2780092592592593,1.3577700853347778,20,1
0.3263888888888889,bad_artifact,BadArtifact,0.052357750944793224,BadArtifact,0.75,0.10185185185185186,layer1,0.2862430350434779,1.358471393585205,20,1
0.3784722222222222,none,NoAug,0.10894449065542884,NoAug,0.0,0.17129629629629628,layer1,0.33134281299712565,1.3612433671951294,21,1
0.3715277777777778,clean,CleanAug,0.10241120712210734,CleanAug,0.75,0.16203703703703706,layer1,0.3381167575761937,1.3606537580490112,21,1
0.2708333333333333,bad_content,BadContent,0.044806615035567016,BadContent,0.75,0.027777777777777752,layer1,0.14278530479965854,1.3800435066223145,21,1
0.2604166666666667,bad_style,BadStyle,0.062205461164315544,BadStyle,0.75,0.013888888888888914,layer1,0.17734095308242304,1.375402808189392,21,1
0.3784722222222222,bad_physio,BadPhysio,0.10957561195310618,BadPhysio,0.75,0.17129629629629628,layer1,0.35443308597102324,1.3604494333267212,21,1
0.2916666666666667,bad_artifact,BadArtifact,0.027798638989528023,BadArtifact,0.75,0.05555555555555558,layer1,0.24594209073634443,1.363080620765686,21,1
0.3680555555555556,none,NoAug,0.09553323468814294,NoAug,0.0,0.15740740740740744,layer1,0.267881388643692,1.3671295642852783,22,1
0.3819444444444444,clean,CleanAug,0.11154213837451406,CleanAug,0.75,0.1759259259259259,layer1,0.31941314678563765,1.365110993385315,22,1
0.2951388888888889,bad_content,BadContent,0.0051616886630654335,BadContent,0.75,0.060185185185185196,layer1,0.18791033299816645,1.3816053867340088,22,1
0.2569444444444444,bad_style,BadStyle,0.026543487846437428,BadStyle,0.75,0.009259259259259226,layer1,0.17857556673346145,1.3745193481445312,22,1
