acc,condition,ece,kappa,macro_f1,n,nll,target_subject
0.36226851851851855,NoAug,0.09000400433109867,0.14969135802469138,0.2968655547471278,3,1.362790544827779,1
0.35185185185185186,CleanAug,0.08279801032471436,0.13580246913580246,0.30340170791990423,3,1.3615256150563557,1
0.2835648148148148,BadContent,0.02822434295106817,0.04475308641975307,0.17258820110502213,3,1.3802112738291423,1
0.2662037037037037,BadStyle,0.04457548424532568,0.021604938271604937,0.19291500874258719,3,1.3728484710057576,1
0.34953703703703703,BadPhysio,0.07843522461890069,0.13271604938271606,0.30845698192062093,3,1.3611603180567424,1
0.31597222222222227,BadArtifact,0.04567979559026383,0.08796296296296297,0.25477792394525106,3,1.362372875213623,1
0.2488425925925926,NoAug,0.06998824949065845,-0.0015432098765432167,0.1764643675616168,3,1.4280497630437214,2
0.2523148148148148,CleanAug,0.0628041624677954,0.0030864197530864335,0.17843903690825913,3,1.427090326944987,2
0.2511574074074074,BadContent,0.07679209180383219,0.001543209876543204,0.15915647257437293,3,1.4408698081970215,2
0.2604166666666667,BadStyle,0.06211274907993222,0.01388888888888889,0.198505049400671,3,1.432894190152486,2
0.2476851851851852,BadPhysio,0.06619047240733548,-0.003086419753086409,0.17618098039213873,3,1.427562991778056,2
0.2523148148148148,BadArtifact,0.06079765478218044,0.0030864197530864218,0.18746661768149608,3,1.4207752148310344,2
0.34953703703703703,NoAug,0.08689947169343078,0.13271604938271606,0.29935657627668205,3,1.3488314549128215,3
0.36574074074074076,CleanAug,0.08265970902586425,0.15432098765432098,0.3208934197465261,3,1.3470852375030518,3
0.2638888888888889,BadContent,0.1320540412777552,0.018518518518518504,0.1372031171135677,3,1.3812856276830037,3
0.37384259259259256,BadStyle,0.09617686892549197,0.16512345679012344,0.3349823945616756,3,1.3498391310373943,3
0.369212962962963,BadPhysio,0.09266404045262822,0.15895061728395066,0.33220116309566367,3,1.3465309143066406,3
0.3414351851851852,BadArtifact,0.09329557172195228,0.12191358024691358,0.2739996875772281,3,1.3476359844207764,3
0.3194444444444444,NoAug,0.04899557428089557,0.0925925925925926,0.2827137464813792,3,1.3605983654658,4
0.32870370370370366,CleanAug,0.05872482185562452,0.10493827160493828,0.3052496995787291,3,1.358712633450826,4
0.24537037037037038,BadContent,0.0746769042927082,-0.00617283950617283,0.13308708344010892,3,1.3740781148274739,4
0.3171296296296296,BadStyle,0.0949760014363737,0.08950617283950618,0.24157465878335946,3,1.367522160212199,4
0.34490740740740744,BadPhysio,0.07577140011859161,0.12654320987654322,0.31732426119309326,3,1.3587139050165813,4
0.3680555555555556,BadArtifact,0.09759572117278974,0.1574074074074074,0.3130057497797019,3,1.3585455020268757,4
0.2708333333333333,NoAug,0.023272655300658057,0.0277777777777778,0.20506524054567954,3,1.3876018921534221,5
