artifact_score_mean,aug_type,beta_power,condition,inf_count,max_abs,mean_abs,mu_power,nan_count,seed,std,target_subject
5.207539448099231,clean,10.948011833257397,CleanAug,0,37.220829010009766,4.807704925537109,12.13361296896459,0,20,6.166499137878418,1
3.944705938889814,bad_content,9.787991777992476,BadContent,0,27.936344146728516,3.6407153606414795,10.96637634910229,0,20,4.613301753997803,1
4.05317309916916,bad_style,11.20755366026325,BadStyle,0,65.32412719726562,5.603654384613037,12.388233897678925,0,20,7.266091346740723,1
3.9759293435897844,bad_physio,10.964615710310035,BadPhysio,0,36.65481948852539,4.886891841888428,12.151235711840126,0,20,6.213418483734131,1
16.804534484703257,bad_artifact,11.404427403265498,BadArtifact,0,137.9111785888672,6.627216815948486,12.310857677810704,0,20,9.674520492553711,1
5.104582533107538,clean,10.926953344259484,CleanAug,0,43.44017028808594,4.9967193603515625,12.310384382313067,0,21,6.417179584503174,1
3.9635829659510775,bad_content,9.749454097823289,BadContent,0,30.412588119506836,3.803837537765503,11.083139602703705,0,21,4.806059837341309,1
4.045122559937316,bad_style,11.171229847909458,BadStyle,0,62.548736572265625,5.795300483703613,12.545302482621869,0,21,7.5845160484313965,1
4.133795566658049,bad_physio,10.941240399016326,BadPhysio,0,43.033729553222656,5.066333293914795,12.325223987958248,0,21,6.460901737213135,1
16.903578230967913,bad_artifact,11.418839593206695,BadArtifact,0,129.3123016357422,6.892107009887695,12.47375033600436,0,21,10.06862735748291,1
4.923868292365675,clean,10.950087746623522,CleanAug,0,35.2217903137207,4.8303046226501465,12.192424121870474,0,22,6.200669288635254,1
3.5827375553012875,bad_content,9.77130078405226,BadContent,0,24.856698989868164,3.667389154434204,11.055985951208013,0,22,4.637598991394043,1
3.8433011993627146,bad_style,11.293854702922422,BadStyle,0,57.873634338378906,5.878663539886475,12.52733957510256,0,22,7.652798652648926,1
3.7853220685125417,bad_physio,10.965374315215165,BadPhysio,0,34.857364654541016,4.902364730834961,12.208721081343096,0,22,6.244388103485107,1
17.046946507274978,bad_artifact,11.410895513386713,BadArtifact,0,133.5417022705078,6.667653560638428,12.364656645386129,0,22,9.747901916503906,1
4.9525940816631495,clean,10.804583009529557,CleanAug,0,43.70753479003906,4.875678539276123,12.484688920572669,0,20,6.330868244171143,2
3.7559188743782723,bad_content,9.577475632331321,BadContent,0,27.95328140258789,3.5575602054595947,11.260547674489993,0,20,4.547910690307617,2
3.986688296525937,bad_style,11.077182662092582,BadStyle,0,79.71839141845703,5.729477882385254,12.749544572964853,0,20,7.528750419616699,2
