target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,mean_v2_gamma,v2_prior_agreement_rate,v2_proto_agreement_rate,v2_both_agreement_rate,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
90,20,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.27121996879577637,0.2883918583393097,0.2883918583393097,0.5596117973327637,3.3602078437805183,0.7781153321266174,0.9166666865348816,0.9166666865348816,0.9166666865348816,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9738562091503268,0.22245862969137264,0.13826129095894948,0.11665753275156021,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,20,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.24032562971115112,0.26037460565567017,0.25749650597572327,0.4978221356868744,3.3602078437805183,0.7781153321266174,0.9166666865348816,0.9166666865348816,0.9166666865348816,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.18763910450998117,0.10808685847691127,0.09469970315694809,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,20,SAS-Cert-v2-no-adapter,10,60,60,0.0,0.7781153321266174,0.7781153321266174,46.686920166015625,0.7781153361002604,0.24394597113132477,0.2651571035385132,0.24724459648132324,0.4911905527114868,3.3602078437805183,0.7781153321266174,0.9166666865348816,0.9166666865348816,0.9166666865348816,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.1464149294449335,0.09756648540496828,0.07574144005775452,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,20,SAS-Cert-v2-full,10,60,60,0.0,0.7781153321266174,0.7781153321266174,46.686920166015625,0.7781153361002604,0.24687495827674866,0.24203184247016907,0.2427075356245041,0.48958247900009155,3.3602078437805183,0.7781153321266174,0.9166666865348816,0.9166666865348816,0.9166666865348816,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.14374301390258787,0.06228966542652676,0.07671840488910675,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,21,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.3543269634246826,0.3713703751564026,0.3713703453540802,0.7256972789764404,2.7428706645965577,0.6587228178977966,0.8166666626930237,0.7333333492279053,0.7333333492279053,0,0,1.0,1.0,1.0,1.0,1.0,0.044455285416149175,0.03986201797212873,0.015316837467253208,1.0,1.0,1.0,1.0
90,21,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.3554152846336365,0.374472439289093,0.3729809820652008,0.7283962965011597,2.7428706645965577,0.6587228178977966,0.8166666626930237,0.7333333492279053,0.7333333492279053,0,0,1.0,1.0,1.0,1.0,1.0,0.04200862173778638,0.03797719138009207,0.013609735295176506,1.0,1.0,1.0,1.0
90,21,SAS-Cert-v2-no-adapter,10,60,60,0.0,0.6587228178977966,0.6587228178977966,39.52336883544922,0.6587228139241537,0.32777392864227295,0.33734631538391113,0.27030131220817566,0.598075270652771,2.7428706645965577,0.6587228178977966,0.8166666626930237,0.7333333492279053,0.7333333492279053,0,0,1.0,1.0,1.0,1.0,1.0,0.08181293349787441,0.07016764879226683,0.035521846264600754,1.0,1.0,1.0,1.0
90,21,SAS-Cert-v2-full,10,60,60,0.0,0.6587228178977966,0.6587228178977966,39.52336883544922,0.6587228139241537,0.3080068528652191,0.26483744382858276,0.25563839077949524,0.5636452436447144,2.7428706645965577,0.6587228178977966,0.8166666626930237,0.7333333492279053,0.7333333492279053,0,0,0.9714285714285714,0.9722222222222222,0.9714285714285714,0.9429037520391517,1.0,0.10817495784739349,0.0633790271622794,0.056167662143707275,1.0,0.9714285714285714,0.9444444444444444,0.9714285714285714
90,22,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.24130859971046448,0.24385978281497955,0.24385976791381836,0.48516836762428284,4.39075722694397,0.8285866975784302,0.9666666388511658,1.0,0.9666666388511658,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9901960784313726,0.14399860611122822,0.07635802030563354,0.0774075835943222,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,1.0,1.0,60.0,1.0,0.2502915561199188,0.25288671255111694,0.2496231347322464,0.4999147057533264,4.39075722694397,0.8285866975784302,0.9666666388511658,1.0,0.9666666388511658,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.15148442120490554,0.08799985987799508,0.08244077116250992,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,SAS-Cert-v2-no-adapter,10,60,60,0.0,0.8285866975784302,0.8285866975784302,49.71520233154297,0.8285867055257161,0.24316754937171936,0.24818837642669678,0.24464094638824463,0.487808495759964,4.39075722694397,0.8285866975784302,0.9666666388511658,1.0,0.9666666388511658,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.15296399526899504,0.08889376095363072,0.08269014209508896,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,SAS-Cert-v2-full,10,60,60,0.0,0.8285866975784302,0.8285866975784302,49.71520233154297,0.8285867055257161,0.24406470358371735,0.2339959293603897,0.2312486171722412,0.47531330585479736,4.39075722694397,0.8285866975784302,0.9666666388511658,1.0,0.9666666388511658,0,0,0.9428571428571428,0.9428104575163399,0.9428104575163399,0.8856209150326797,0.9836601307189542,0.15199945051703131,0.07667070797511509,0.08256170153617859,0.9411764705882353,0.9411764705882353,0.9444444444444444,0.9444444444444444
90,23,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.22576117515563965,0.23784971237182617,0.23784969747066498,0.4636108875274658,5.423462533950814,0.7638619542121887,0.9166666865348816,0.8999999761581421,0.8999999761581421,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,0.9771241830065359,0.2042031212845802,0.08206116982868739,0.10639879107475281,0.8823529411764706,0.9375,1.0,0.9473684210526316
90,23,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.23068830370903015,0.23813986778259277,0.23544882237911224,0.4661371111869812,5.423462533950814,0.7638619542121887,0.9166666865348816,0.8999999761581421,0.8999999761581421,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.18021149476578754,0.09040743793760027,0.09205293655395508,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,23,SAS-Cert-v2-no-adapter,10,60,60,0.0,0.7638619542121887,0.7638619542121887,45.83171844482422,0.7638619740804037,0.26726946234703064,0.2665390968322754,0.26390883326530457,0.5311782956123352,5.423462533950814,0.7638619542121887,0.9166666865348816,0.8999999761581421,0.8999999761581421,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.14934611369121376,0.09185161760875156,0.07628313452005386,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,23,SAS-Cert-v2-full,10,60,60,0.0,0.7638619542121887,0.7638619542121887,45.83171844482422,0.7638619740804037,0.2765863537788391,0.2565237283706665,0.25900787115097046,0.5355942249298096,5.423462533950814,0.7638619542121887,0.9166666865348816,0.8999999761581421,0.8999999761581421,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.139654028660392,0.08479623283658709,0.07231756299734116,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,24,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.21537140011787415,0.23931458592414856,0.23931457102298737,0.4546859860420227,3.8887782096862793,0.7971790432929993,0.949999988079071,0.9833333492279053,0.949999988079071,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,1.0,0.11115774581678704,0.06174012422561645,0.06514085829257965,0.8823529411764706,0.9375,1.0,0.9473684210526316
