comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier
v2_full_vs_no_adapter,-0.0016429992951666472,-0.003464703891687293,0.001723010135261882,0.01145286260454792,0.004032667167484794
v2_no_adapter_vs_cu_v1_3,-4.382651232492929e-05,-0.0001077278219516753,-0.003636477687756906,-0.018298147383907337,-0.0034475145488977454
v2_full_vs_cu_v1_3,-0.0016868258074915765,-0.0035724317136389683,-0.001913467552495024,-0.006845284779359417,0.0005851526185870481
riskmixed_v2_full_vs_cu_v1_3,-0.0008025240798074096,-0.001616944462463632,0.001832344337337144,-0.007981320597778119,-0.0005322832241654307
