backbone,aug_type,component,mean,std,min,max,n
CBraMod_frozen,bad_artifact,content_score,0.7551020423571269,0.08825203387796877,0.5918367505073547,0.9387755393981934,60
CBraMod_frozen,bad_artifact,style_score,0.23877551207939784,0.061934656504931344,0.1428571492433548,0.3469387888908386,60
CBraMod_frozen,bad_artifact,physio_score,0.6414966017007828,0.060925198011392054,0.5102040767669678,0.7346938848495483,60
CBraMod_frozen,bad_artifact,artifact_safe_score,0.09183673541992902,0.058617986868754454,0.0,0.18367347121238708,60
CBraMod_frozen,bad_artifact,sas_score,0.39030611465374626,0.05254408780454925,0.2846938669681549,0.5122449398040771,60
CBraMod_frozen,bad_artifact,score_artifact_gate_physio,0.3166666676600774,0.31947069668282824,0.0,0.7346938848495483,60
CBraMod_frozen,bad_content,content_score,0.1316326543999215,0.11291851168756985,0.0,0.5306122303009033,60
CBraMod_frozen,bad_content,style_score,0.43469387938578924,0.06832925844325977,0.22448979318141937,0.5306122303009033,60
CBraMod_frozen,bad_content,physio_score,0.21700680423527957,0.14711661073856114,0.0,0.4897959232330322,60
CBraMod_frozen,bad_content,artifact_safe_score,0.9047619124253591,0.06535570407132756,0.6938775777816772,1.0,60
CBraMod_frozen,bad_content,sas_score,0.556853752831618,0.06355324407832749,0.40918371081352234,0.7224489450454712,60
CBraMod_frozen,bad_content,score_artifact_gate_physio,0.21700680423527957,0.14711661073856114,0.0,0.4897959232330322,60
CBraMod_frozen,bad_physio,content_score,0.8527210940917332,0.1292924227675818,0.5714285969734192,1.0,60
CBraMod_frozen,bad_physio,style_score,0.6540816356738408,0.07004738477298969,0.5510203838348389,0.795918345451355,60
CBraMod_frozen,bad_physio,physio_score,0.21972789317369462,0.13938275904917247,0.0,0.5306122303009033,60
CBraMod_frozen,bad_physio,artifact_safe_score,0.7074829916159312,0.06297570937335116,0.6122449040412903,0.8571428656578064,60
CBraMod_frozen,bad_physio,sas_score,0.7728401372830073,0.07561449823747322,0.6030611991882324,0.9214285612106323,60
CBraMod_frozen,bad_physio,score_artifact_gate_physio,0.21972789317369462,0.13938275904917247,0.0,0.5306122303009033,60
CBraMod_frozen,clean,content_score,0.3802721104429414,0.14588466686992738,0.020408162847161293,0.6938775777816772,120
CBraMod_frozen,clean,style_score,0.5862244922978183,0.3931592861638082,0.0,1.0,120
CBraMod_frozen,clean,physio_score,0.7108843563124537,0.24625944459901816,0.08163265138864517,1.0,120
CBraMod_frozen,clean,artifact_safe_score,0.39795918613672254,0.11767921037120449,0.20408163964748383,0.5918367505073547,120
CBraMod_frozen,clean,sas_score,0.3900000017136335,0.10280585577162481,0.13265305757522583,0.6153061389923096,120
CBraMod_frozen,clean,score_artifact_gate_physio,0.7108843563124537,0.24625944459901816,0.08163265138864517,1.0,120
ST-EEGFormer-small_source_tuned,bad_artifact,content_score,0.8721088483929634,0.13282912154189488,0.18367347121238708,1.0,60
ST-EEGFormer-small_source_tuned,bad_artifact,style_score,0.23877551207939784,0.061934656504931344,0.1428571492433548,0.3469387888908386,60
ST-EEGFormer-small_source_tuned,bad_artifact,physio_score,0.6414966017007828,0.060925198011392054,0.5102040767669678,0.7346938848495483,60
ST-EEGFormer-small_source_tuned,bad_artifact,artifact_safe_score,0.09183673541992902,0.058617986868754454,0.0,0.18367347121238708,60
ST-EEGFormer-small_source_tuned,bad_artifact,sas_score,0.44295917662481465,0.0723712593862261,0.1051020398736,0.5418367385864258,60
ST-EEGFormer-small_source_tuned,bad_artifact,score_artifact_gate_physio,0.3166666676600774,0.31947069668282824,0.0,0.7346938848495483,60
ST-EEGFormer-small_source_tuned,bad_content,content_score,0.5418367374998828,0.22160875377901124,0.020408162847161293,0.8163265585899353,60
ST-EEGFormer-small_source_tuned,bad_content,style_score,0.43469387938578924,0.06832925844325977,0.22448979318141937,0.5306122303009033,60
ST-EEGFormer-small_source_tuned,bad_content,physio_score,0.21700680423527957,0.14711661073856114,0.0,0.4897959232330322,60
ST-EEGFormer-small_source_tuned,bad_content,artifact_safe_score,0.9047619124253591,0.06535570407132756,0.6938775777816772,1.0,60
ST-EEGFormer-small_source_tuned,bad_content,sas_score,0.7414455860853195,0.10336220532041644,0.5030612349510193,0.9081632494926453,60
ST-EEGFormer-small_source_tuned,bad_content,score_artifact_gate_physio,0.21700680423527957,0.14711661073856114,0.0,0.4897959232330322,60
ST-EEGFormer-small_source_tuned,bad_physio,content_score,0.3649659866777559,0.29222636151755765,0.0,0.918367326259613,60
ST-EEGFormer-small_source_tuned,bad_physio,style_score,0.6540816356738408,0.07004738477298969,0.5510203838348389,0.795918345451355,60
ST-EEGFormer-small_source_tuned,bad_physio,physio_score,0.21972789317369462,0.13938275904917247,0.0,0.5306122303009033,60
ST-EEGFormer-small_source_tuned,bad_physio,artifact_safe_score,0.7074829916159312,0.06297570937335116,0.6122449040412903,0.8571428656578064,60
ST-EEGFormer-small_source_tuned,bad_physio,sas_score,0.5533503447969754,0.14034724731434725,0.3459183871746063,0.8326530456542969,60
ST-EEGFormer-small_source_tuned,bad_physio,score_artifact_gate_physio,0.21972789317369462,0.13938275904917247,0.0,0.5306122303009033,60
ST-EEGFormer-small_source_tuned,clean,content_score,0.36054421958203114,0.2051559036151435,0.020408162847161293,0.9795918464660645,120
ST-EEGFormer-small_source_tuned,clean,style_score,0.5862244922978183,0.3931592861638082,0.0,1.0,120
ST-EEGFormer-small_source_tuned,clean,physio_score,0.7108843563124537,0.24625944459901816,0.08163265138864517,1.0,120
ST-EEGFormer-small_source_tuned,clean,artifact_safe_score,0.39795918613672254,0.11767921037120449,0.20408163964748383,0.5918367505073547,120
