brier,ece,group,mean_confidence,nll,seed,target_subject,temperature
0.736919927672943,0.050086676246590106,NaiveAug,0.2797744572162628,1.359513759613037,20,1,1.0
0.7359010454267617,0.045695346676641053,SoftWeightArtifactReject_raw,0.28069353103637695,1.3574899435043335,20,1,1.0
0.7466533224075153,0.07727511723836261,SWAR_TempScale_SourceVal,0.2560582160949707,1.3795793056488037,20,1,4.9
0.7357827226573003,0.05715555438978803,SWAR_LabelSmoothing_eps005,0.2796500027179718,1.3572795391082764,20,1,1.0
0.7356986647526438,0.06217292551365166,SWAR_LabelSmoothing_eps010,0.27810487151145935,1.357159972190857,20,1,1.0
0.7357382598734636,0.05450316642721492,SWAR_BrierMix_lam005,0.2788301706314087,1.357217788696289,20,1,1.0
0.7358334979869701,0.05183214735653665,SWAR_BrierMix_lam010,0.2780289649963379,1.357435703277588,20,1,1.0
0.7365702396929711,0.053069573309686445,ArtifactReject_raw,0.276791512966156,1.3587775230407715,20,1,1.0
0.7390262159765728,0.08566714926726288,NaiveAug,0.268499493598938,1.3639403581619263,21,1,1.0
0.7377985213728997,0.04948095480600993,SoftWeightArtifactReject_raw,0.26996350288391113,1.3617159128189087,21,1,1.0
0.7410124258121566,0.07282926669965191,SWAR_TempScale_SourceVal,0.2639763057231903,1.368264079093933,21,1,1.4
0.7377879719353556,0.07492066567970648,SWAR_LabelSmoothing_eps005,0.268829345703125,1.3617594242095947,21,1,1.0
0.738090795415159,0.046456134360697544,SWAR_LabelSmoothing_eps010,0.26951611042022705,1.3622255325317383,21,1,1.0
0.7379901716911402,0.05142390748692883,SWAR_BrierMix_lam005,0.27149274945259094,1.3620585203170776,21,1,1.0
0.7377452015918243,0.060006085783243165,SWAR_BrierMix_lam010,0.2698550224304199,1.361568570137024,21,1,1.0
0.7389889449341733,0.06525204920520383,ArtifactReject_raw,0.26460906863212585,1.3640007972717285,21,1,1.0
0.7415819060923469,0.03519906020826766,NaiveAug,0.2738287150859833,1.3691521883010864,22,1,1.0
0.7393607764622201,0.11010971261809269,SoftWeightArtifactReject_raw,0.2698022425174713,1.3650959730148315,22,1,1.0
0.743518777349574,0.11673081635187071,SWAR_TempScale_SourceVal,0.26174142956733704,1.3733936548233032,22,1,1.75
0.7396456528090469,0.11084345759203036,SWAR_LabelSmoothing_eps005,0.2690254747867584,1.3655821084976196,22,1,1.0
0.739779831308281,0.14576956153743797,SWAR_LabelSmoothing_eps010,0.26867783069610596,1.3659032583236694,22,1,1.0
0.739555791325273,0.10758370554281604,SWAR_BrierMix_lam005,0.27088847756385803,1.365560531616211,22,1,1.0
0.7396446312025672,0.11750584633813961,SWAR_BrierMix_lam010,0.26934635639190674,1.3656306266784668,22,1,1.0
0.7410698978872754,0.05144902173843647,ArtifactReject_raw,0.2679954171180725,1.3678832054138184,22,1,1.0
0.7760002856715262,0.06264622975140811,NaiveAug,0.3167017996311188,1.445250153541565,20,2,1.0
