acc,artifact_reject_percentile,brier,ece,group,kappa,macro_f1,mean_confidence,n_train,nll,score_variant,seed,source_val_n,subject_wise_std,target_subject,temperature,w_min,worst_subject_acc
0.3298611111111111,10.0,0.736919927672943,0.050086676246590106,NaiveAug,0.10648148148148147,0.2752032809425598,0.2797744572162628,200,1.359513759613037,artifact_gate_content_rank,20,452,0.05436241396039374,1,1.0,0.2,0.2523148148148148
0.3263888888888889,10.0,0.7359010454267617,0.045695346676641053,SoftWeightArtifactReject_raw,0.10185185185185186,0.2706812422526398,0.28069353103637695,182,1.3574899435043335,artifact_gate_content_rank,20,452,0.050692871979754625,1,1.0,0.2,0.25115740740740744
0.3333333333333333,10.0,0.7466533224075153,0.07727511723836261,SWAR_TempScale_SourceVal,0.11111111111111109,0.2779199445921533,0.2560582160949707,182,1.3795793056488037,artifact_gate_content_rank,20,452,0.05381756226089645,1,4.9,0.2,0.2488425925925926
0.3368055555555556,10.0,0.7357827226573003,0.05715555438978803,SWAR_LabelSmoothing_eps005,0.11574074074074077,0.2816953316953317,0.2796500027179718,182,1.3572795391082764,artifact_gate_content_rank,20,452,0.05222681932196023,1,1.0,0.2,0.2488425925925926
0.3402777777777778,10.0,0.7356986647526438,0.06217292551365166,SWAR_LabelSmoothing_eps010,0.12037037037037039,0.28323428647456006,0.27810487151145935,182,1.357159972190857,artifact_gate_content_rank,20,452,0.05978569138367008,1,1.0,0.2,0.24537037037037038
0.3333333333333333,10.0,0.7357382598734636,0.05450316642721492,SWAR_BrierMix_lam005,0.11111111111111109,0.28165447435873453,0.2788301706314087,182,1.357217788696289,artifact_gate_content_rank,20,452,0.054004384088899224,1,1.0,0.2,0.2465277777777778
0.3298611111111111,10.0,0.7358334979869701,0.05183214735653665,SWAR_BrierMix_lam010,0.10648148148148147,0.2792642140468228,0.2780289649963379,182,1.357435703277588,artifact_gate_content_rank,20,452,0.05355602853255061,1,1.0,0.2,0.2523148148148148
0.3298611111111111,10.0,0.7365702396929711,0.053069573309686445,ArtifactReject_raw,0.10648148148148147,0.27540756063425664,0.276791512966156,182,1.3587775230407715,artifact_gate_content_rank,20,452,0.053001015935766484,1,1.0,0.2,0.25810185185185186
0.3541666666666667,10.0,0.7390262159765728,0.08566714926726288,NaiveAug,0.13888888888888892,0.297829383656005,0.268499493598938,200,1.3639403581619263,artifact_gate_content_rank,21,452,0.05436241396039374,1,1.0,0.2,0.2523148148148148
0.3194444444444444,10.0,0.7377985213728997,0.04948095480600993,SoftWeightArtifactReject_raw,0.09259259259259256,0.26600077377498027,0.26996350288391113,182,1.3617159128189087,artifact_gate_content_rank,21,452,0.050692871979754625,1,1.0,0.2,0.25115740740740744
0.3368055555555556,10.0,0.7410124258121566,0.07282926669965191,SWAR_TempScale_SourceVal,0.11574074074074077,0.27378399961668076,0.2639763057231903,182,1.368264079093933,artifact_gate_content_rank,21,452,0.05381756226089645,1,1.4,0.2,0.2488425925925926
0.34375,10.0,0.7377879719353556,0.07492066567970648,SWAR_LabelSmoothing_eps005,0.125,0.2884401526137791,0.268829345703125,182,1.3617594242095947,artifact_gate_content_rank,21,452,0.05222681932196023,1,1.0,0.2,0.2488425925925926
0.3159722222222222,10.0,0.738090795415159,0.046456134360697544,SWAR_LabelSmoothing_eps010,0.08796296296296295,0.260080121016769,0.26951611042022705,182,1.3622255325317383,artifact_gate_content_rank,21,452,0.05978569138367008,1,1.0,0.2,0.24537037037037038
0.3229166666666667,10.0,0.7379901716911402,0.05142390748692883,SWAR_BrierMix_lam005,0.09722222222222225,0.24576227494201022,0.27149274945259094,182,1.3620585203170776,artifact_gate_content_rank,21,452,0.054004384088899224,1,1.0,0.2,0.2465277777777778
0.3298611111111111,10.0,0.7377452015918243,0.060006085783243165,SWAR_BrierMix_lam010,0.10648148148148147,0.2645402906958873,0.2698550224304199,182,1.361568570137024,artifact_gate_content_rank,21,452,0.05355602853255061,1,1.0,0.2,0.2523148148148148
0.3298611111111111,10.0,0.7389889449341733,0.06525204920520383,ArtifactReject_raw,0.10648148148148147,0.31939699628099427,0.26460906863212585,182,1.3640007972717285,artifact_gate_content_rank,21,452,0.053001015935766484,1,1.0,0.2,0.25810185185185186
0.3090277777777778,10.0,0.7415819060923469,0.03519906020826766,NaiveAug,0.07870370370370372,0.2626599168839635,0.2738287150859833,200,1.3691521883010864,artifact_gate_content_rank,22,452,0.05436241396039374,1,1.0,0.2,0.2523148148148148
0.3784722222222222,10.0,0.7393607764622201,0.11010971261809269,SoftWeightArtifactReject_raw,0.17129629629629628,0.3121336669499199,0.2698022425174713,182,1.3650959730148315,artifact_gate_content_rank,22,452,0.050692871979754625,1,1.0,0.2,0.25115740740740744
0.3784722222222222,10.0,0.743518777349574,0.11673081635187071,SWAR_TempScale_SourceVal,0.17129629629629628,0.3091855202377979,0.26174142956733704,182,1.3733936548233032,artifact_gate_content_rank,22,452,0.05381756226089645,1,1.75,0.2,0.2488425925925926
0.3784722222222222,10.0,0.7396456528090469,0.11084345759203036,SWAR_LabelSmoothing_eps005,0.17129629629629628,0.3210413961849595,0.2690254747867584,182,1.3655821084976196,artifact_gate_content_rank,22,452,0.05222681932196023,1,1.0,0.2,0.2488425925925926
0.4131944444444444,10.0,0.739779831308281,0.14576956153743797,SWAR_LabelSmoothing_eps010,0.21759259259259256,0.35505471368408803,0.26867783069610596,182,1.3659032583236694,artifact_gate_content_rank,22,452,0.05978569138367008,1,1.0,0.2,0.24537037037037038
0.3784722222222222,10.0,0.739555791325273,0.10758370554281604,SWAR_BrierMix_lam005,0.17129629629629628,0.306995553671607,0.27088847756385803,182,1.365560531616211,artifact_gate_content_rank,22,452,0.054004384088899224,1,1.0,0.2,0.2465277777777778
0.3854166666666667,10.0,0.7396446312025672,0.11750584633813961,SWAR_BrierMix_lam010,0.18055555555555558,0.3257114005060533,0.26934635639190674,182,1.3656306266784668,artifact_gate_content_rank,22,452,0.05355602853255061,1,1.0,0.2,0.2523148148148148
0.3194444444444444,10.0,0.7410698978872754,0.05144902173843647,ArtifactReject_raw,0.09259259259259256,0.293544370189235,0.2679954171180725,182,1.3678832054138184,artifact_gate_content_rank,22,452,0.053001015935766484,1,1.0,0.2,0.25810185185185186
0.2673611111111111,10.0,0.7760002856715262,0.06264622975140811,NaiveAug,0.02314814814814814,0.2064829540906096,0.3167017996311188,200,1.445250153541565,artifact_gate_content_rank,20,452,0.05436241396039374,2,1.0,0.2,0.2523148148148148
0.2465277777777778,10.0,0.7777719076045237,0.08392539920492305,SoftWeightArtifactReject_raw,-0.004629629629629613,0.15041208791208793,0.33045318722724915,182,1.4495644569396973,artifact_gate_content_rank,20,452,0.050692871979754625,2,1.0,0.2,0.25115740740740744
0.25,10.0,0.7671602706160575,0.05659081704086727,SWAR_TempScale_SourceVal,0.0,0.15492121859292876,0.30659082531929016,182,1.423288345336914,artifact_gate_content_rank,20,452,0.05381756226089645,2,1.4,0.2,0.2488425925925926
0.2465277777777778,10.0,0.7799383267734673,0.08678343892097473,SWAR_LabelSmoothing_eps005,-0.004629629629629613,0.15526237328562909,0.3333112299442291,182,1.4552664756774902,artifact_gate_content_rank,20,452,0.05222681932196023,2,1.0,0.2,0.2488425925925926
