baseline_group,delta_acc,delta_brier,delta_ece,delta_kappa,delta_macro_f1,delta_nll,delta_subject_wise_std,delta_worst_subject_acc,final_group_decision,group,passed_acc,passed_ece,passed_f1
NaiveAug,0.0095164609053498,-0.00040497519341564647,0.0003005125686342258,0.012688614540466409,0.0251741815335291,-0.0009198365388092267,-0.0013613980246272583,0.005787037037037035,ARTIFACT_ONLY_BRANCH_DIAGNOSTIC,ArtifactReject_raw,False,True,True
NaiveAug,0.007716049382716084,-0.0005094849056359596,0.0012789046230875373,0.010288065843621394,0.01323943267176822,-0.001097626156276954,-0.0003580298714945182,-0.005787037037037035,GO_CALIBRATED_SOFTWEIGHT,SWAR_BrierMix_lam005,False,True,True
NaiveAug,0.006558641975308643,-0.00039598388871742163,0.0015227855968867748,0.008744855967078163,0.013803535203734812,-0.0008571810192530283,-0.0008063854278431287,0.0,GO_CALIBRATED_SOFTWEIGHT,SWAR_BrierMix_lam010,False,True,True
NaiveAug,0.005015432098765482,-0.0005165501426074304,-0.0008824753532868518,0.006687242798353893,0.013818010032677935,-0.0010153143494215922,-0.002135594638433512,-0.0034722222222222376,GO_CALIBRATED_SOFTWEIGHT,SWAR_LabelSmoothing_eps005,False,True,True
NaiveAug,0.00977366255144041,-0.0006306710915843228,0.0019956481156280376,0.013031550068587111,0.018269399839661,-0.0012782193996287994,0.005423277423276335,-0.0069444444444444475,GO_CALIBRATED_SOFTWEIGHT,SWAR_LabelSmoothing_eps010,False,True,True
NaiveAug,0.00488683127572026,0.005550476417114147,0.004644690069979335,0.006515775034293569,0.007201221294461241,0.010807284602412537,-0.0005448516994972924,-0.0034722222222222376,CALIBRATION_OVERREGULARIZED,SWAR_TempScale_SourceVal,False,True,False
NaiveAug,0.00462962962962965,-0.0005928086987837533,-0.004936147128603602,0.006172839506172839,0.008827386768337747,-0.0012855662239921184,-0.003669541980639117,-0.0011574074074073848,CALIBRATION_OVERREGULARIZED,SoftWeightArtifactReject_raw,False,True,False
