aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score,artifact_gate_pass,score_artifact_gate_physio,component_gated_v1,component_gated_v1_soft
clean_000_00,0,clean,1,0.30612245202064514,0.918367326259613,0.8979591727256775,0.26530611515045166,297.91302490234375,0.2836734652519226,1,0.8979591727256775,0.918367326259613,0.37859225273132324
clean_000_01,0,clean,1,0.22448979318141937,0.10204081982374191,0.4693877696990967,0.36734694242477417,283.87921142578125,0.30306121706962585,1,0.4693877696990967,0.36734694242477417,0.18142442405223846
bad_artifact_000_02,0,bad_artifact,1,0.9591836929321289,0.2448979616165161,0.5918367505073547,0.1428571492433548,457.9116516113281,0.5102040767669678,1,0.5918367505073547,0.5714285969734192,0.1795918494462967
bad_content_000_03,0,bad_content,1,0.08163265138864517,0.4693877696990967,0.36734694242477417,0.8571428656578064,0.22958290576934814,0.5081632733345032,1,0.36734694242477417,0.40816327929496765,0.3615160584449768
bad_physio_000_04,0,bad_physio,1,0.12244898080825806,0.6938775777816772,0.26530611515045166,0.6326530575752258,2.519056797027588,0.40306124091148376,1,0.26530611515045166,0.3265306055545807,0.23057059943675995
clean_001_00,1,clean,1,0.3265306055545807,0.6530612111091614,0.7755101919174194,0.5306122303009033,255.63955688476562,0.43877550959587097,1,0.7755101919174194,0.7551020383834839,0.4715535044670105
clean_001_01,1,clean,1,0.3469387888908386,0.6326530575752258,0.8775510191917419,0.3877550959587097,282.872802734375,0.36938774585723877,1,0.8775510191917419,0.795918345451355,0.40608078241348267
bad_artifact_001_02,1,bad_artifact,1,1.0,0.30612245202064514,0.7346938848495483,0.10204081982374191,1023.4151611328125,0.5061224699020386,1,0.7346938848495483,0.7346938848495483,0.2069137990474701
bad_content_001_03,1,bad_content,1,0.6938775777816772,0.3877550959587097,0.30612245202064514,0.8163265585899353,0.42897140979766846,0.7612245082855225,1,0.30612245202064514,0.26530611515045166,0.22632236778736115
bad_physio_001_04,1,bad_physio,1,0.4693877696990967,0.5510203838348389,0.40816327929496765,0.7755101919174194,1.6661458015441895,0.6377551555633545,1,0.40816327929496765,0.4693877696990967,0.38508954644203186
clean_002_00,2,clean,1,0.4285714328289032,0.9387755393981934,0.795918345451355,0.4285714328289032,268.32208251953125,0.4285714328289032,1,0.795918345451355,0.8163265585899353,0.44314873218536377
clean_002_01,2,clean,1,0.3877550959587097,0.9795918464660645,0.9387755393981934,0.20408163964748383,329.0386047363281,0.2867347002029419,1,0.9387755393981934,0.9795918464660645,0.35585176944732666
bad_artifact_002_02,2,bad_artifact,1,0.9387755393981934,0.16326530277729034,0.7142857313156128,0.08163265138864517,1303.9410400390625,0.4673469662666321,0,0.0,0.0,0.18408995866775513
bad_content_002_03,2,bad_content,1,0.6326530575752258,0.40816327929496765,0.1428571492433548,0.918367326259613,0.09872030466794968,0.7897958755493164,1,0.1428571492433548,0.1428571492433548,0.1335276961326599
bad_physio_002_04,2,bad_physio,1,0.5102040767669678,0.6734693646430969,0.18367347121238708,0.6122449040412903,3.091099977493286,0.5663265585899353,1,0.18367347121238708,0.2448979616165161,0.16892960667610168
clean_003_00,3,clean,0,0.5510203838348389,0.8775510191917419,0.9591836929321289,0.5918367505073547,235.82711791992188,0.5734694004058838,1,0.9591836929321289,0.9387755393981934,0.6322365999221802
clean_003_01,3,clean,0,0.040816325694322586,0.8367347121238708,0.918367326259613,0.22448979318141937,324.2542724609375,0.1418367326259613,1,0.918367326259613,0.8979591727256775,0.34085795283317566
bad_artifact_003_02,3,bad_artifact,0,0.8775510191917419,0.18367347121238708,0.5510203838348389,0.0,4349.115234375,0.3948979377746582,0,0.0,0.0,0.10204081982374191
bad_content_003_03,3,bad_content,0,0.20408163964748383,0.5306122303009033,0.4285714328289032,0.8979591727256775,0.14314180612564087,0.5857142806053162,1,0.4285714328289032,0.4897959232330322,0.44981256127357483
bad_physio_003_04,3,bad_physio,0,0.5306122303009033,0.5918367505073547,0.2448979616165161,0.6530612111091614,2.4533400535583496,0.5979591608047485,1,0.2448979616165161,0.2857142984867096,0.20641399919986725
clean_004_00,4,clean,1,0.10204081982374191,1.0,0.8163265585899353,0.4693877696990967,265.2586975097656,0.30408164858818054,1,0.8163265585899353,0.8571428656578064,0.49329447746276855
clean_004_01,4,clean,1,0.4897959232330322,0.08163265138864517,0.3265306055545807,0.3469387888908386,284.83648681640625,0.41122448444366455,1,0.3265306055545807,0.22448979318141937,0.107205331325531
bad_artifact_004_02,4,bad_artifact,1,0.918367326259613,0.20408163964748383,0.6122449040412903,0.020408162847161293,3518.079345703125,0.4244897663593292,0,0.0,0.0,0.1280299872159958
bad_content_004_03,4,bad_content,1,0.6122449040412903,0.44897958636283875,0.3469387888908386,0.9387755393981934,0.07015512138605118,0.7918367385864258,1,0.3469387888908386,0.3469387888908386,0.3299458622932434
bad_physio_004_04,4,bad_physio,1,0.7551020383834839,0.7346938848495483,0.10204081982374191,0.7142857313156128,2.0977747440338135,0.7326530814170837,1,0.10204081982374191,0.20408163964748383,0.1574344038963318
