aug_type,detector_score,mean,n,p10,p50,p90,std
BadPhysio_bandpower,bandpower_score,-38.10903650310449,1800,-59.23057812988977,-43.200325547117004,-16.030252480211985,15.66753236613431
BadPhysio_bandpower,covariance_score,-0.07925499616190791,1800,-0.13444506525993347,-0.07217850536108017,-0.034056089445948574,0.04091465469077964
BadPhysio_bandpower,topology_score,-1.166717707793297,1800,-2.098825418524561,-1.0123302981445528,-0.45546287241181826,0.6702641552176433
BadPhysio_bandpower,channel_order_score,-1.4431322188532465,1800,-1.930314661522946,-1.3456442554508699,-1.0866299185742823,0.3291446795838963
BadPhysio_bandpower,content_score,0.6332339836663855,1800,0.16932916619006694,0.7193301655239988,0.9572242205300246,0.3017299999134654
BadPhysio_bandpower,artifact_score,-3.9099931745759524,1800,-5.20135259252434,-3.6065390146247367,-2.810780819541934,1.3944068170971862
BadPhysio_channel_order,bandpower_score,-5.1936540041914485,1800,-7.877715973228226,-4.722780476864257,-3.0629612189154223,2.013652559553556
BadPhysio_channel_order,covariance_score,-0.260738843422797,1800,-0.34223502576351167,-0.2573029547929764,-0.18564973622560496,0.06401919785006689
BadPhysio_channel_order,topology_score,-4.161639741895485,1800,-5.732003184364917,-4.010392090729707,-2.766236158880437,1.16204958620184
BadPhysio_channel_order,channel_order_score,-1.7200234566213022,1800,-1.8740349430207373,-1.7108688398420866,-1.5896661148359161,0.10996816991450546
BadPhysio_channel_order,content_score,0.742160422688471,1800,0.6359727144757701,0.7483951073745003,0.842890637431183,0.08343761780852803
BadPhysio_channel_order,artifact_score,-3.990118665068961,1800,-5.19091101046603,-3.7007564373534803,-2.907229735067399,1.525735213902075
BadPhysio_covariance,bandpower_score,-8.609676989254776,1800,-10.85281053796975,-8.38232177219341,-6.631354511162397,1.702373629126698
BadPhysio_covariance,covariance_score,-0.5301413054598703,1800,-0.6479617118835449,-0.5248496532440186,-0.4209666073322296,0.08690324489234927
BadPhysio_covariance,topology_score,-8.60279043122172,1800,-12.49966441262952,-8.439145646226923,-4.84015642101634,2.872499006691862
BadPhysio_covariance,channel_order_score,-1.910060230113081,1800,-2.474300058178128,-1.8638155331942015,-1.4129262031828833,0.4191795661724568
BadPhysio_covariance,content_score,0.8819578959121176,1800,0.8388750583324932,0.8862591335975687,0.9183426690672145,0.03099216966600949
BadPhysio_covariance,artifact_score,-4.196419902181474,1800,-5.5066019008497955,-3.924500090330328,-2.984638035467545,1.578765888516241
BadPhysio_topology,bandpower_score,-3.4915526763166196,1800,-5.332626791456315,-3.2741315762517846,-1.960728058963804,1.3553421369926424
BadPhysio_topology,covariance_score,-0.20946146249150235,1800,-0.2820896953344345,-0.20563466846942902,-0.14041544198989866,0.05726204655112369
BadPhysio_topology,topology_score,-4.1306571611635,1800,-5.602238150266497,-4.0823380116073515,-2.761315279379825,1.1099273895774853
BadPhysio_topology,channel_order_score,-1.6280109798530091,1800,-1.8854799483214597,-1.6187179123839874,-1.3835645300735913,0.19813002960216758
BadPhysio_topology,content_score,0.8773464414815432,1800,0.8154282671568701,0.8826026921208796,0.9303438342511438,0.04651953789464047
BadPhysio_topology,artifact_score,-3.990118638114416,1800,-5.190911034307887,-3.700756198934901,-2.9072300211696938,1.5257352134708297
clean,bandpower_score,-20.792902341705556,1800,-62.970669099536764,-0.0817696058846435,-0.06362049716587087,29.24474779799266
clean,covariance_score,-0.08164042258900331,1800,-0.26147159934043884,-0.0021544997580349445,-0.0017794724786654114,0.11431337622962007
clean,topology_score,-1.804610210036857,1800,-5.680988477997036,-0.05396672241683744,-0.029178908996643927,2.507978514026587
clean,channel_order_score,-2.443798758272284,1800,-3.0057134643240713,-2.675490767258992,-1.3168174348021744,0.6965175238964395
clean,content_score,-0.01848541813685004,1800,-0.41247252644754534,-0.1740299450133539,0.7579349892758254,0.42472794746289455
clean,artifact_score,-4.9592914906380825,1800,-7.106935410198137,-4.307364525664962,-3.054993878713314,1.9550080286707756
