target_subject,seed,comparison,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_kappa,delta_auroc,delta_ece,delta_nll,delta_brier,win_macro_f1,win_balanced_accuracy
90,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142847,-0.02941176470588236,-0.02937222509590942,-0.057846583134340324,0.0,0.02031323824610029,0.0034229434064051434,0.0010751932859420776,0,0
90,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0016339869281045694,0.0019916148948407875,0.0013168538480350378,0.02614379084967322,0.030845692328044363,-0.0712653433940082,-0.04538775980472565,1,1
90,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02777777777777768,0.028478057889822606,0.05672306986960085,0.0,0.010189506837299897,0.018518099545216854,0.011856317520141602,1,1
90,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,-0.015043904100145625,0.013369430883974881,0.007775589823722839,0,0
90,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,-0.013520342963082452,-0.020838882630503153,-0.010859817266464233,0,0
91,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.013071895424836555,0.03081672361918858,0.07201972976079929,0.008816510438919067,0,0
91,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142847,0.0277777777777779,0.02781749369217834,0.05709160669383517,-0.0032679738562091387,-0.024777991431100016,0.008142452222565322,0.005713790655136108,1,1
91,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.027616342344695455,-0.05671754286791031,-0.013071895424836666,0.00970545325960434,0.03224160915294272,0.021719276905059814,0,0
91,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02941176470588225,0.03105550883095043,0.058229645365472926,0.0065359477124183885,0.03138638394219537,0.020184370249998973,-0.004212290048599243,1,1
91,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,0.02674276147569926,0.02691178350676421,0.008385911583900452,0,0
92,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.021276595744680882,0.020000000000000018,0.020830756545042295,0.041448940904969866,0.025454545454545507,0.02744362328914883,-0.05901331100288976,-0.04453223943710327,1,1
92,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0072727272727273196,-0.04991790874207272,-0.047723985680228675,-0.030858397483825684,0,0
92,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.038181818181818206,0.07565315226291086,-0.04115124486012972,-0.021842509508132935,0,0
92,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.021276595744680882,-0.020000000000000018,-0.021121418264275382,-0.0421462128080442,-0.0018181818181818299,-0.021459909195595595,0.0012064074755548937,0.002809271216392517,0,0
92,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.005454545454545379,-0.005972043630924642,-0.010826881460758997,-0.005155310034751892,0,0
93,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.013071895424836666,0.01873304503304618,0.01898851547538416,-0.007119476795196533,0,0
93,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02941176470588225,-0.025119147743201564,-0.05800670253200946,-0.02287581699346397,0.021917856165340976,0.12372805704903911,0.046337246894836426,0,0
93,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.0326797385620915,0.020238095238095166,0.06356346051304795,0.019607843137254832,0.03295920065471103,0.039101805270914,-0.02119755744934082,1,1
93,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.03104575163398704,-0.005242856607871715,-0.0606961476526694,-0.02941176470588236,0.010065696069172514,-0.027655764202451305,-0.0015561580657958984,0,0
93,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.057142857142857106,-0.057189542483660205,-0.057189542483660094,-0.1140065146579805,-0.02614379084967311,0.0012432413441795243,-0.035294687932951874,0.015848517417907715,0,0
94,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.006535947712418166,-0.025497987440654235,-0.03211265487924719,-0.02133888006210327,0,0
94,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.05714285714285716,0.05882352941176472,0.06951381951381941,0.11780648263501847,0.013071895424836666,-0.04139316678047175,-0.05896407282648808,-0.046903640031814575,1,1
94,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.025909842845326714,-0.056147912885662454,0.039215686274509776,0.06409997258867539,0.0008993630288292032,-0.013197839260101318,0,0
94,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02777777777777768,0.029227088050617467,0.05616906331929772,-0.013071895424836555,-0.05689854110990253,0.004940548484936302,0.0005166232585906982,1,1
94,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,-0.02419809954507013,0.005860414363865085,-0.005232304334640503,0,0
95,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.023874704107262223,-0.05651031689562691,0.006535947712418277,0.07477970719337465,-0.05101605178680846,-0.012148141860961914,0,0
95,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02941176470588236,0.028851540616246507,0.05821578223459056,0.045751633986928164,0.005446796757834299,-0.02403500799329017,-0.025023818016052246,1,1
95,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.11428571428571432,0.11928104575163401,0.09836474952754015,0.2336907427045285,0.009803921568627527,-0.004189574718475364,0.019636880619753216,-0.02830636501312256,1,1
95,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.030079421526789885,-0.05580192165558018,-0.009803921568627527,0.020793177400316526,-0.004189329710786005,0.008377134799957275,0,0
95,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.0032679738562092497,0.031708260093416485,0.010801470245063727,0.012113094329833984,0,0
96,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.009803921568627527,-0.06379508887018474,-0.005806620566085774,-0.0062261223793029785,0,0
96,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777768,-0.02838468720821674,-0.05634989177835348,-0.019607843137254832,-0.029713899748665923,0.027214955236620653,0.022232413291931152,0,0
96,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,0.02205234510557992,0.008926800844140659,0.009064629673957825,0,0
96,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02777777777777779,0.02772210009052123,0.056531888063105384,0.03594771241830064,-0.015908480542046688,-0.06027867227605366,-0.038939058780670166,1,1
96,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142847,0.0277777777777779,0.02937222509590931,0.05635624538063555,0.016339869281045805,0.009318557807377392,0.008966075802549489,-0.0012091845273971558,1,1
97,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02941176470588236,0.030079421526790107,0.05841002387915539,0.0032679738562091387,-0.014843039001737335,-0.012593693876936207,-0.021206021308898926,1,1
97,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.027821939586645583,-0.05615994351914255,0.0,0.025525163752692093,-0.013597125411316635,0.007053852081298828,0,0
97,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.016339869281045694,-0.025918761321476497,-0.06428012230173175,-0.002155125141143799,0,0
97,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.019607843137255054,-0.015727563415254886,0.010089178245061337,0.0030414462089538574,0,0
97,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.02772210009052123,-0.056531888063105384,-0.0032679738562091387,0.017224094697407294,0.011988467618143983,0.016379207372665405,0,0
98,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.08571428571428569,0.08333333333333326,0.07280361757105935,0.16841561548499362,0.0980392156862746,-0.02406831043107166,-0.005084680048187407,-0.06621885299682617,1,1
98,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.08571428571428569,0.08660130718954256,0.08534080298786179,0.17277659399227363,0.016339869281045805,-0.05086901954242157,0.0022388764523998406,-0.021947205066680908,1,1
98,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777768,-0.029367602897014677,-0.05598368687269939,-0.0032679738562092497,-0.03326356751578191,0.016076221524140122,0.011274069547653198,0,0
98,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,5.551115123125783e-17,-0.08960484692028592,0.022435346195562533,0.011330366134643555,0,0
98,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,-0.06559822218758721,-0.02349565044811941,-0.019092261791229248,0,0
99,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.05714285714285716,-0.05555555555555558,-0.05372807017543857,-0.11286669542709238,-0.013071895424836555,0.02213619521686011,0.10198791937451446,0.04334023594856262,0,0
99,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.006535947712418277,0.04773474420819962,0.001033048455313823,0.004452705383300781,0,0
99,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.022875816993464082,0.06301193237304692,0.07411672185916307,0.021580755710601807,0,0
99,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02941176470588225,0.028944911297852483,0.058588960325837935,0.016339869281045694,0.01641012515340534,-0.017171768794017828,-0.0199396014213562,1,1
99,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.08571428571428569,0.0866013071895424,0.08345248107653486,0.17127531094624904,0.065359477124183,-0.019210156372615278,-0.034935525167982484,-0.031128108501434326,1,1
100,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.03846153846153855,-0.038461538461538436,-0.04320625610948203,-0.07692307692307687,-0.023668639053254448,0.04058098334532517,0.05027953642565963,0.03228402137756348,0,0
100,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,0.028363648515481177,0.0068320833180398055,0.0033027231693267822,0,0
100,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.038461538461538436,0.03846153846153855,0.0401406439637324,0.07692307692307687,0.029585798816567976,-0.04187947626297289,-0.08069491372035364,-0.05333429574966431,1,1
