target_subject,n_seeds,baseline_macro_f1,baseline_balanced_accuracy,baseline_ece,primary_delta_macro_f1,primary_delta_balanced_accuracy,primary_delta_ece,primary_delta_nll,primary_seed_win_rate_macro_f1,secondary_delta_macro_f1,secondary_delta_balanced_accuracy,secondary_delta_ece,secondary_delta_nll,secondary_seed_win_rate_macro_f1,mean_content_score,std_content_score,mean_artifact_risk,p90_artifact_risk,p90_bad_artifact_reject_rate
90,5,0.8673876884254643,0.8669934640522876,0.09411548495292664,0.00021948953775079437,-2.2204460492503132e-17,0.006556838069643295,-0.011358750437782894,0.4,-0.0054011043181371845,-0.005555555555555603,0.012935435431344164,-0.0032642263467187347,0.2,0.5000000023469329,0.2945075459196294,429.775841772845,1180.3995434570318,0.5
91,5,0.8028814186166529,0.8032679738562092,0.1560549875668117,0.006251332035686663,0.005882352941176472,0.014774666173117507,0.031899988978614104,0.4,0.006251332035686663,0.005882352941176472,0.026239172049931127,0.023516861118828815,0.4,0.5000000023469329,0.29450754591962947,432.8783372082999,1186.2490490722662,0.5
92,5,0.8122714010249845,0.8121818181818182,0.12753185027457298,-5.813234384661747e-05,0.0,0.005149382796693347,-0.03150180310569045,0.2,0.008777502345508049,0.009090909090909084,0.0003250413118524642,-0.027708674961967206,0.4,0.5000000023469329,0.29450754591962947,428.5247146514184,1174.68139038086,0.5
93,5,0.552958307687722,0.569281045751634,0.3245033368042537,-0.013462690319327642,-0.016993464052287598,0.016983807853290046,0.023773585131986817,0.2,-0.00843886077068733,-0.01111111111111115,0.004224862200873258,0.01505477877021737,0.2,0.5000000023469329,0.2945075459196294,416.60266418264433,1139.4832983398442,0.5
94,5,0.6716965550585003,0.6794117647058824,0.25079703995159697,0.014566212943822033,0.011764705882352922,-0.01677756445748465,-0.015875280365620935,0.4,0.03874262792668863,0.034967320261437916,-0.05211055517196656,-0.03981234746018867,0.4,0.5000000023469329,0.29450754591962947,429.70914087848365,1179.1689892578129,0.5
95,5,0.656519024166083,0.6620915032679738,0.21792129227093288,0.01465243290194691,0.018627450980392157,0.02570767334529332,-0.009760407725213537,0.4,0.013657065600150075,0.01862745098039218,0.007468563999448496,-0.011325612322696332,0.4,0.5000000023469329,0.29450754591962947,433.26096485417895,1187.4348535156255,0.5
96,5,0.7995404121603812,0.8006535947712419,0.1287920148032052,0.00574192759564276,0.005555555555555603,-0.015609313249588008,-0.004195492191765726,0.4,0.01734979355335393,0.01699346405228761,-0.01417612808091299,-0.012777695635035525,0.6,0.5000000023469329,0.29450754591962947,433.0818224514909,1193.3451464843756,0.5
97,5,0.7293870573359738,0.7300653594771241,0.2018010245050703,-0.005092923630075341,-0.0052287581699346445,-0.0027480210576738663,-0.013678659145355853,0.2,-0.005488214079545384,-0.005228758169934622,-0.0019694215910775357,-0.009092444774849795,0.2,0.5000000023469329,0.29450754591962947,427.53706061318707,1169.0415563964848,0.5
98,5,0.5135004604884463,0.5202614379084968,0.3558103750433241,0.02575536353238129,0.028431372549019628,-0.05268079331942965,0.002434022735159136,0.4,0.02119047619047617,0.022549019607843113,-0.03255247082029068,-0.004860454851606533,0.4,0.5000000023469329,0.2945075459196294,403.67608762756174,1114.5405676269536,0.5
99,5,0.5730680254557964,0.5781045751633987,0.24773787106786455,0.011733864439789753,0.012091503267973813,0.02601656811577934,0.025006079145398208,0.4,0.0017568244920187492,0.00032679738562085836,0.03719479152134486,0.018257396006925462,0.4,0.5000000023469329,0.29450754591962947,430.44226453976563,1181.5349511718755,0.5
