aug_type,mean,n,p10,p50,p90,score,std
bad_artifact,0.1895406582358259,540,0.12290503084659576,0.1927374303340912,0.25139665603637695,content_score,0.052337456902829434
bad_artifact,0.05307262579444796,540,0.010614524828270109,0.053072625771164894,0.0955307260155679,artifact_safe_score,0.03221386182044006
bad_artifact,0.43660252491633095,540,0.3631284832954407,0.4357541799545288,0.5139665007591248,physio_score,0.05469259882443795
bad_artifact,0.16900475897774514,540,0.011173184029757977,0.20111732184886932,0.31284916400909424,style_score,0.11993036672343206
bad_artifact,0.2141087316804462,540,0.16310054957866668,0.2155027985572815,0.2625977784395218,sas_score,0.03720690664103067
bad_artifact,0.11448323786327684,540,0.07675977647304535,0.11550278961658478,0.15393854081630706,artifact_content,0.030353195897461514
bad_artifact,0.12504965957530118,540,0.07589385434985162,0.12569832801818848,0.16843575239181519,artifact_content_style,0.03554769300709065
bad_artifact,0.1699591372989946,540,0.12888268679380419,0.17178770154714584,0.21064246594905853,artifact_content_physio_fixed,0.03190800121948458
bad_artifact,0.020370370439357226,540,0.0,0.0,0.008938547223808414,artifact_gate_content_rank,0.06283154591582497
bad_content,0.08030209029524553,540,0.011173184029757977,0.07262569665908813,0.15642458200454712,content_score,0.060971178153751526
bad_content,0.5509207529878175,540,0.1726256921887398,0.5642458200454712,0.8659217953681946,artifact_safe_score,0.24602720193890776
bad_content,0.25924891451442683,540,0.20111732184886932,0.2569832503795624,0.31843575835227966,physio_score,0.043722781668831326
bad_content,0.4147941240557918,540,0.33519554138183594,0.40223464369773865,0.4972067177295685,style_score,0.0791973197863507
bad_content,0.29286727085709574,540,0.1963687241077423,0.2872905135154724,0.39832404255867004,sas_score,0.07557369518822053
bad_content,0.33914236001394416,540,0.13150837868452073,0.3358938544988632,0.5262569785118103,artifact_content,0.14143669279718257
bad_content,0.3422542911160875,540,0.1717318430542946,0.3361731767654419,0.499748620390892,artifact_content_style,0.11934783064518331
bad_content,0.3288407871430671,540,0.1779329761862755,0.32458099722862244,0.4740223318338394,artifact_content_physio_fixed,0.10689272913163608
bad_content,0.08030209029524553,540,0.011173184029757977,0.07262569665908813,0.15642458200454712,artifact_gate_content_rank,0.060971178153751526
bad_physio,0.9453962375720342,540,0.8994413614273071,0.9469273686408997,0.9893854737281801,content_score,0.03513294068416115
bad_physio,0.8187668129249855,540,0.5251396894454956,0.8826815485954285,0.9832402467727661,artifact_safe_score,0.19165125230964739
bad_physio,0.5337885396348105,540,0.42458099126815796,0.5474860072135925,0.6145251393318176,physio_score,0.07250533099428143
bad_physio,0.6415373473255722,540,0.49162012338638306,0.6312848925590515,0.7988826632499695,style_score,0.1195917237409401
bad_physio,0.7652581263471533,540,0.6890782296657563,0.7748603522777557,0.8304469048976898,sas_score,0.05755164088222899
bad_physio,0.8757500545846091,540,0.7107821345329285,0.9118714928627014,0.9670670390129089,artifact_content,0.10491775808870815
bad_physio,0.8428341587384541,540,0.7178211688995362,0.8689943850040436,0.923212319612503,artifact_content_style,0.08755313148332193
bad_physio,0.8026174296935399,540,0.6943295717239379,0.8248603343963623,0.8771229207515716,artifact_content_physio_fixed,0.07864609232094288
bad_physio,0.9453962375720342,540,0.8994413614273071,0.9469273686408997,0.9893854737281801,artifact_gate_content_rank,0.03513294068416115
bad_style,0.28445065163800287,540,0.05586592108011246,0.27374300360679626,0.6039106130599977,content_score,0.21054133205521586
bad_style,0.8013449218262125,540,0.49106146395206457,0.8715083599090576,0.9776536226272583,artifact_safe_score,0.19646860751628603
bad_style,0.46661493852734565,540,0.3072625696659088,0.44692736864089966,0.6424580812454224,physio_score,0.1333608745462555
bad_style,0.5378853724363984,540,0.31843575835227966,0.4972067177295685,0.8217877030372621,style_score,0.19828208510494075
bad_style,0.4972305013487736,540,0.3398323953151703,0.4793296158313751,0.68547483086586,sas_score,0.13516469091387603
bad_style,0.5687425067579305,540,0.382821249961853,0.5776536166667938,0.7439385056495667,artifact_content,0.14579609379732916
bad_style,0.555068275635993,540,0.38519553244113924,0.5490223467350006,0.7344134032726288,artifact_content_style,0.13959484422421725
bad_style,0.5438764783795234,540,0.3834357619285583,0.5347765684127808,0.7185195803642274,artifact_content_physio_fixed,0.1330024120327045
bad_style,0.28445065163800287,540,0.05586592108011246,0.27374300360679626,0.6039106130599977,artifact_gate_content_rank,0.21054133205521586
clean,0.6000620734250104,2700,0.3687150776386261,0.5977653861045837,0.8273743212223048,content_score,0.16669040697660575
clean,0.4551789782665394,2700,0.17877094447612762,0.44134077429771423,0.74301677942276,artifact_safe_score,0.20817300154972362
clean,0.5607490174546493,2700,0.05530726201832314,0.7234636843204498,0.944692718982696,physio_score,0.35992944131986604
clean,0.5473556804141305,2700,0.09497206658124924,0.6256983280181885,0.9441340565681458,style_score,0.32698856266181997
clean,0.546107076825919,2700,0.2486033707857132,0.6346368789672852,0.7815642356872559,sas_score,0.21431341554748828
clean,0.5203763684685584,2700,0.30472066402435305,0.5230446755886078,0.7332961082458496,artifact_content,0.16273438749884014
clean,0.5269587242879249,2700,0.2910614311695099,0.553491622209549,0.7466480731964111,artifact_content_style,0.1751784808348904
clean,0.5309412402245733,2700,0.26756983399391177,0.5858938694000244,0.7581005692481995,artifact_content_physio_fixed,0.1919009819188169
clean,0.6000620734250104,2700,0.3687150776386261,0.5977653861045837,0.8273743212223048,artifact_gate_content_rank,0.16669040697660575
