auc_clean_positive,bad_type,component,direction_maybe_wrong,inverted_auc,n,score_key
0.7238888888888889,all_bad,content,False,0.2761111111111111,4860,content_score
0.9999615912208505,bad_artifact,content,False,3.840877914951246e-05,3240,content_score
0.9999969135802469,bad_content,content,False,3.0864197531066395e-06,3240,content_score
0.0019879972565157752,bad_physio,content,True,0.9980120027434842,3240,content_score
0.8936090534979424,bad_style,content,False,0.1063909465020576,3240,content_score
0.39971296296296294,all_bad,artifact_safe,True,0.600287037037037,4860,artifact_safe_score
1.0,bad_artifact,artifact_safe,False,0.0,3240,artifact_safe_score
0.3832184499314129,bad_content,artifact_safe,True,0.6167815500685871,3240,artifact_safe_score
0.1013542524005487,bad_physio,artifact_safe,True,0.8986457475994513,3240,artifact_safe_score
0.11427914951989027,bad_style,artifact_safe,True,0.8857208504801097,3240,artifact_safe_score
0.6359259259259259,all_bad,physio,False,0.3640740740740741,4860,physio_score
0.6359259259259259,bad_artifact,physio,False,0.3640740740740741,3240,physio_score
0.6409681069958848,bad_content,physio,False,0.3590318930041152,3240,physio_score
0.6345891632373114,bad_physio,physio,False,0.3654108367626886,3240,physio_score
0.6322205075445816,bad_style,physio,False,0.3677794924554184,3240,physio_score
0.6059583333333334,all_bad,style,False,0.3940416666666666,4860,style_score
0.8020202331961591,bad_artifact,style,False,0.19797976680384088,3240,style_score
0.6222743484224966,bad_content,style,False,0.3777256515775034,3240,style_score
0.4735185185185185,bad_physio,style,True,0.5264814814814816,3240,style_score
0.5260202331961591,bad_style,style,False,0.4739797668038409,3240,style_score
0.6216899862825789,all_bad,current_total,False,0.3783100137174211,4860,sas_score
0.947394718792867,bad_artifact,current_total,False,0.05260528120713304,3240,sas_score
0.8008573388203017,bad_content,current_total,False,0.19914266117969825,3240,sas_score
0.15951303155006857,bad_physio,current_total,True,0.8404869684499314,3240,sas_score
0.5789948559670782,bad_style,current_total,False,0.4210051440329218,3240,sas_score
