aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score,artifact_gate_pass,score_artifact_gate_physio,component_gated_v1,component_gated_v1_soft
clean_000_00,0,clean,1,0.06122449040412903,0.8367347121238708,0.9591836929321289,0.26530611515045166,296.3360595703125,0.1734693944454193,1,0.9591836929321289,0.9387755393981934,0.38700544834136963
clean_000_01,0,clean,1,0.3877550959587097,0.10204081982374191,0.5306122303009033,0.3877550959587097,282.36492919921875,0.3877550959587097,1,0.5306122303009033,0.3877550959587097,0.19783422350883484
bad_artifact_000_02,0,bad_artifact,1,0.9591836929321289,0.2448979616165161,0.6326530575752258,0.1428571492433548,454.3409729003906,0.5102040767669678,1,0.6326530575752258,0.6122449040412903,0.19241982698440552
bad_content_000_03,0,bad_content,1,0.795918345451355,0.4693877696990967,0.26530611515045166,1.0,0.0007608954329043627,0.9081632494926453,1,0.26530611515045166,0.2857142984867096,0.2857142984867096
bad_physio_000_04,0,bad_physio,1,0.30612245202064514,0.795918345451355,0.5102040767669678,0.8571428656578064,0.38997185230255127,0.609183669090271,1,0.5102040767669678,0.6530612111091614,0.5784256458282471
clean_001_00,1,clean,1,0.26530611515045166,0.8163265585899353,0.9795918464660645,0.5306122303009033,257.1128234863281,0.41122448444366455,1,0.9795918464660645,0.9795918464660645,0.6117451190948486
clean_001_01,1,clean,1,0.36734694242477417,0.7755101919174194,1.0,0.3469387888908386,284.5722961425781,0.3561224639415741,1,1.0,1.0,0.47755104303359985
bad_artifact_001_02,1,bad_artifact,1,0.9387755393981934,0.3469387888908386,0.7346938848495483,0.10204081982374191,1027.82568359375,0.47857144474983215,1,0.7346938848495483,0.7346938848495483,0.2069137990474701
bad_content_001_03,1,bad_content,1,0.8163265585899353,0.5306122303009033,0.4897959232330322,0.6938775777816772,1.0054070949554443,0.7489796280860901,1,0.4897959232330322,0.5918367505073547,0.44689714908599854
bad_physio_001_04,1,bad_physio,1,0.5510203838348389,0.5714285969734192,0.4285714328289032,0.6122449040412903,1.4966490268707275,0.5846939086914062,1,0.4285714328289032,0.4897959232330322,0.33785921335220337
clean_002_00,2,clean,0,0.3469387888908386,0.918367326259613,0.9387755393981934,0.4285714328289032,267.5660095214844,0.3918367326259613,1,0.9387755393981934,0.9591836929321289,0.5206997394561768
clean_002_01,2,clean,0,0.4285714328289032,0.9387755393981934,0.8775510191917419,0.20408163964748383,327.98974609375,0.30510205030441284,1,0.8775510191917419,0.8775510191917419,0.31878387928009033
bad_artifact_002_02,2,bad_artifact,0,0.8367347121238708,0.2857142984867096,0.6938775777816772,0.08163265138864517,1295.2177734375,0.4214285612106323,0,0.0,0.0,0.18408995866775513
bad_content_002_03,2,bad_content,0,0.6122449040412903,0.3877550959587097,0.06122449040412903,0.9795918464660645,0.0023395372554659843,0.8142856955528259,1,0.06122449040412903,0.08163265138864517,0.08029986917972565
bad_physio_002_04,2,bad_physio,0,0.22448979318141937,0.6938775777816772,0.36734694242477417,0.7142857313156128,0.9714059829711914,0.4938775599002838,1,0.36734694242477417,0.44897958636283875,0.346355676651001
clean_003_00,3,clean,1,0.44897958636283875,0.8775510191917419,0.8979591727256775,0.5918367505073547,237.01730346679688,0.5275510549545288,1,0.8979591727256775,0.8979591727256775,0.6047480702400208
clean_003_01,3,clean,1,0.6326530575752258,0.8979591727256775,0.8367347121238708,0.22448979318141937,325.4512939453125,0.40816324949264526,1,0.8367347121238708,0.8163265585899353,0.3098708987236023
bad_artifact_003_02,3,bad_artifact,1,0.918367326259613,0.16326530277729034,0.6122449040412903,0.0,4354.44189453125,0.41326528787612915,0,0.0,0.0,0.11428572237491608
bad_content_003_03,3,bad_content,1,0.7142857313156128,0.44897958636283875,0.12244898080825806,0.795918345451355,0.7207188606262207,0.7591836452484131,1,0.12244898080825806,0.10204081982374191,0.08538109064102173
bad_physio_003_04,3,bad_physio,1,0.20408163964748383,0.5918367505073547,0.18367347121238708,0.6326530575752258,1.480238676071167,0.43979591131210327,1,0.18367347121238708,0.2448979616165161,0.17292794585227966
clean_004_00,4,clean,1,0.5306122303009033,0.6734693646430969,0.918367326259613,0.4693877696990967,263.23492431640625,0.4969387650489807,1,0.918367326259613,0.8367347121238708,0.48154935240745544
clean_004_01,4,clean,1,0.4897959232330322,0.0,0.4693877696990967,0.36734694242477417,282.5715637207031,0.422448992729187,1,0.4693877696990967,0.36734694242477417,0.18142442405223846
bad_artifact_004_02,4,bad_artifact,1,0.9795918464660645,0.26530611515045166,0.7142857313156128,0.020408162847161293,3484.68603515625,0.45204079151153564,0,0.0,0.0,0.1545189619064331
bad_content_004_03,4,bad_content,1,0.6734693646430969,0.4285714328289032,0.30612245202064514,0.9387755393981934,0.007514134049415588,0.8193877935409546,1,0.30612245202064514,0.3469387888908386,0.3299458622932434
bad_physio_004_04,4,bad_physio,1,0.7551020383834839,0.5510203838348389,0.44897958636283875,0.6734693646430969,1.045723795890808,0.7102040648460388,1,0.44897958636283875,0.5306122303009033,0.39200329780578613
clean_005_00,5,clean,0,0.18367347121238708,0.06122449040412903,0.3877550959587097,0.2857142984867096,294.7008056640625,0.23979592323303223,1,0.3877550959587097,0.26530611515045166,0.11370263248682022
