baseline_group,delta_acc,delta_brier,delta_ece,delta_kappa,delta_macro_f1,delta_nll,delta_subject_wise_std,delta_worst_subject_acc,final_group_decision,group,passed_acc,passed_brier,passed_ece,passed_macro_f1,passed_nll,subject_win_rate_acc,subject_win_rate_macro_f1
NaiveAug,0.01504629629629628,-0.0007319026823617847,0.004430180397114639,0.02006172839506172,0.03235301279054953,-0.0014313909742569297,0.002697776221642585,0.009027777777777829,ARTIFACT_ONLY_BRANCH_DIAGNOSTIC,ArtifactReject_raw_diagnostic,True,True,True,True,True,0.8888888888888888,1.0
NaiveAug,0.013657407407407396,-0.00038867577089130023,0.004534982561053322,0.01820987654320988,0.023688857809868236,-0.0009087483088177084,0.002171519514135911,0.008333333333333331,GO_STABLE_CALIBRATED_SOFTWEIGHT,SASCert_SoftAR_LS010,True,True,True,True,True,1.0,1.0
