artifact_risk_raw,artifact_safe_score,aug_id,aug_type,content_score,is_bad,label,original_id,physio_score,sample_id,sas_score,seed,style_score,target_subject
1.9688236713409424,0.6648044586181641,clean_0000_00,clean,0.8491619825363159,0,0,0,0.8156424760818481,clean_0000_00,0.8039106726646423,20,0.910614550113678,1
1.964780569076538,0.6703910827636719,clean_0000_01,clean,0.6145251393318176,0,0,0,0.7206704020500183,clean_0000_01,0.7011173367500305,20,0.9217877388000488,1
2.382582187652588,0.5530726313591003,clean_0000_02,clean,0.7094972133636475,0,0,0,0.6703910827636719,clean_0000_02,0.6916201710700989,20,0.916201114654541,1
4.850195407867432,0.1955307275056839,clean_0000_03,clean,0.3016759753227234,0,0,0,0.1340782195329666,clean_0000_03,0.21145251393318176,20,0.15642458200454712,1
2.0624802112579346,0.6312848925590515,clean_0000_04,clean,0.6312848925590515,0,0,0,0.7597765326499939,clean_0000_04,0.707821249961853,20,0.9273743033409119,1
1.5657371282577515,0.7877094745635986,bad_content_0000_00,bad_content,0.0670391097664833,1,0,0,0.22905027866363525,bad_content_0000_00,0.33715084195137024,20,0.3966480493545532,1
0.39963656663894653,0.9273743033409119,bad_style_0000_00,bad_style,0.12290503084659576,1,0,0,0.3240223526954651,bad_style_0000_00,0.4044692814350128,20,0.3240223526954651,1
0.3288753926753998,0.9553072452545166,bad_physio_0000_00,bad_physio,0.9720670580863953,1,0,0,0.5474860072135925,bad_physio_0000_00,0.8248603343963623,20,0.7262569665908813,1
402.14532470703125,0.10614524781703949,bad_artifact_0000_00,bad_artifact,0.20111732184886932,1,0,0,0.4189944267272949,bad_artifact_0000_00,0.24106146395206451,20,0.2625698447227478,1
3.8358216285705566,0.35754188895225525,clean_0001_00,clean,0.7653631567955017,0,0,1,0.6927374005317688,clean_0001_00,0.6569831967353821,20,0.8435754179954529,1
4.2734551429748535,0.3072625696659088,clean_0001_01,clean,0.7318435907363892,0,0,1,0.7262569665908813,clean_0001_01,0.6385474801063538,20,0.826815664768219,1
4.058120250701904,0.33519554138183594,clean_0001_02,clean,0.5921787619590759,0,0,1,0.8659217953681946,clean_0001_02,0.6298882961273193,20,0.8156424760818481,1
4.031473636627197,0.34078213572502136,clean_0001_03,clean,0.7988826632499695,0,0,1,0.7988826632499695,clean_0001_03,0.6877095103263855,20,0.8212290406227112,1
4.025746822357178,0.3463687002658844,clean_0001_04,clean,0.5810055732727051,0,0,1,0.8882681727409363,clean_0001_04,0.6368715167045593,20,0.832402229309082,1
3.0229194164276123,0.46927374601364136,bad_content_0001_00,bad_content,0.11173184216022491,1,0,1,0.2569832503795624,bad_content_0001_00,0.2810055911540985,20,0.40223464369773865,1
2.1381571292877197,0.5977653861045837,bad_style_0001_00,bad_style,0.11731843650341034,1,0,1,0.3296089470386505,bad_style_0001_00,0.32737433910369873,20,0.3631284832954407,1
2.441310167312622,0.5363128781318665,bad_physio_0001_00,bad_physio,0.9776536226272583,1,0,1,0.5698323845863342,bad_physio_0001_00,0.7377094626426697,20,0.7932960987091064,1
479.0516052246094,0.09497206658124924,bad_artifact_0001_00,bad_artifact,0.21229049563407898,1,0,1,0.3743016719818115,bad_artifact_0001_00,0.2343575358390808,20,0.2849161922931671,1
1.9556236267089844,0.6759776473045349,clean_0002_00,clean,0.8156424760818481,0,0,2,0.6480447053909302,clean_0002_00,0.6918994784355164,20,0.5027933120727539,1
4.708714008331299,0.2178770899772644,clean_0002_01,clean,0.44692736864089966,0,0,2,0.1955307275056839,clean_0002_01,0.27402234077453613,20,0.09497206658124924,1
4.796920299530029,0.20111732184886932,clean_0002_02,clean,0.4189944267272949,0,0,2,0.18435753881931305,clean_0002_02,0.25055867433547974,20,0.05027933046221733,1
4.730713367462158,0.21229049563407898,clean_0002_03,clean,0.4357541799545288,0,0,2,0.18994413316249847,clean_0002_03,0.2597765326499939,20,0.044692736119031906,1
4.556929111480713,0.2569832503795624,clean_0002_04,clean,0.4134078323841095,0,0,2,0.17877094447612762,clean_0002_04,0.2594972252845764,20,0.03910614550113678,1
1.2315399646759033,0.826815664768219,bad_content_0002_00,bad_content,0.13966479897499084,1,0,2,0.31843575835227966,bad_content_0002_00,0.39134079217910767,20,0.3743016719818115,1
0.8025573492050171,0.8603351712226868,bad_style_0002_00,bad_style,0.3296089470386505,1,0,2,0.6033519506454468,bad_style_0002_00,0.5835195779800415,20,0.6815642714500427,1
0.4371051788330078,0.916201114654541,bad_physio_0002_00,bad_physio,0.9329608678817749,1,0,2,0.5586591958999634,bad_physio_0002_00,0.7656424045562744,20,0.46927374601364136,1
595.8900146484375,0.044692736119031906,bad_artifact_0002_00,bad_artifact,0.2402234673500061,1,0,2,0.3854748606681824,bad_artifact_0002_00,0.23687151074409485,20,0.3016759753227234,1
5.044897079467773,0.16201117634773254,clean_0003_00,clean,0.4581005573272705,0,0,3,0.1284916251897812,clean_0003_00,0.2664804756641388,20,0.22346368432044983,1
2.126467227935791,0.6033519506454468,clean_0003_01,clean,0.8547486066818237,0,0,3,0.8994413614273071,clean_0003_01,0.8164804577827454,20,0.9441340565681458,1
2.3994805812835693,0.5418994426727295,clean_0003_02,clean,0.8603351712226868,0,0,3,0.9664804339408875,clean_0003_02,0.8181564211845398,20,0.9329608678817749,1
5.295307159423828,0.1340782195329666,clean_0003_03,clean,0.5865921974182129,0,0,3,0.02793296054005623,clean_0003_03,0.26508378982543945,20,0.1284916251897812,1
2.3829903602600098,0.5474860072135925,clean_0003_04,clean,0.8882681727409363,0,0,3,1.0,clean_0003_04,0.8385475277900696,20,0.9385474920272827,1
3.1348118782043457,0.4581005573272705,bad_content_0003_00,bad_content,0.0,1,0,3,0.20111732184886932,bad_content_0003_00,0.21843576431274414,20,0.35754188895225525,1
0.5640448331832886,0.8938547372817993,bad_style_0003_00,bad_style,0.08379888534545898,1,0,3,0.31284916400909424,bad_style_0003_00,0.37793296575546265,20,0.31284916400909424,1
0.6076006889343262,0.8826815485954285,bad_physio_0003_00,bad_physio,0.9217877388000488,1,0,3,0.5642458200454712,bad_physio_0003_00,0.8100558519363403,20,0.8379888534545898,1
751.7665405273438,0.016759777441620827,bad_artifact_0003_00,bad_artifact,0.1955307275056839,1,0,3,0.46368715167045593,bad_artifact_0003_00,0.22541898488998413,20,0.24581006169319153,1
3.4169669151306152,0.40223464369773865,clean_0004_00,clean,0.6927374005317688,0,0,4,0.9329608678817749,clean_0004_00,0.6642457842826843,20,0.5865921974182129,1
3.429478883743286,0.3966480493545532,clean_0004_01,clean,0.8659217953681946,0,0,4,0.7150837779045105,clean_0004_01,0.6706703901290894,20,0.5977653861045837,1
3.1360104084014893,0.4525139629840851,clean_0004_02,clean,0.6256983280181885,0,0,4,0.8547486066818237,clean_0004_02,0.6346368789672852,20,0.5921787619590759,1
3.345513105392456,0.42458099126815796,clean_0004_03,clean,0.8044692873954773,0,0,4,0.6536312699317932,clean_0004_03,0.6382681131362915,20,0.5810055732727051,1
