target_subject,seed,aug_type,n,reject_rate,mean_artifact_risk,mean_content_score
100,20,bad_artifact,10,0.5,1679.7760345458985,0.902040821313858
100,20,bad_content,10,0.0,0.43098890595138073,0.5918367356061935
100,20,bad_physio,10,0.0,1.2844720125198363,0.269387761503458
100,20,clean,20,0.0,276.5290557861328,0.3683673466555774
100,21,bad_artifact,10,0.5,2366.4130981445314,0.8530612289905548
100,21,bad_content,10,0.0,0.4918366557918489,0.487755098938942
100,21,bad_physio,10,0.0,1.5589896500110627,0.32040816694498064
100,21,clean,20,0.0,262.33296127319335,0.4193877584300935
100,22,bad_artifact,10,0.5,1807.545913696289,0.9000000059604645
100,22,bad_content,10,0.0,0.3146978201344609,0.5836734727025032
100,22,bad_physio,10,0.0,1.1459947049617767,0.26734694354236127
100,22,clean,20,0.0,279.8375816345215,0.37448979476466776
100,23,bad_artifact,10,0.5,1086.866876220703,0.8285714358091354
100,23,bad_content,10,0.0,0.3875905469059944,0.5816326577216386
100,23,bad_physio,10,0.0,1.4088530242443085,0.3999999977648258
100,23,clean,20,0.0,275.60694351196287,0.34489796021953223
100,24,bad_artifact,10,0.5,1005.9954467773438,0.8918367385864258
100,24,bad_content,10,0.0,0.37790255099534986,0.4571428567171097
100,24,bad_physio,10,0.0,1.3014195442199707,0.451020410656929
100,24,clean,20,0.0,262.03339462280275,0.3500000028871
101,20,bad_artifact,10,0.5,1678.0979797363282,0.9081632733345032
101,20,bad_content,10,0.0,0.14064251994714141,0.5734693899750709
101,20,bad_physio,10,0.0,0.8154026567935944,0.3755102036520839
101,20,clean,20,0.0,275.70958709716797,0.32142857238650324
101,21,bad_artifact,10,0.5,2368.3698333740235,0.8591836750507355
101,21,bad_content,10,0.0,0.27171972058713434,0.546938779950142
101,21,bad_physio,10,0.0,0.8828074842691421,0.4020408196374774
101,21,clean,20,0.0,261.71467208862305,0.34591836854815483
101,22,bad_artifact,10,0.5,1806.5536804199219,0.8836734771728516
101,22,bad_content,10,0.0,0.20572744738310575,0.46734693869948385
101,22,bad_physio,10,0.0,0.8712911069393158,0.3653061268851161
101,22,clean,20,0.0,279.0454162597656,0.39183673448860645
101,23,bad_artifact,10,0.5,1096.240496826172,0.8857142925262451
101,23,bad_content,10,0.0,0.16406462052837015,0.5163265347480774
101,23,bad_physio,10,0.0,0.8427240699529648,0.4714285725727677
101,23,clean,20,0.0,274.6880767822266,0.3132653059437871
101,24,bad_artifact,10,0.5,1007.3515411376953,0.9081632733345032
101,24,bad_content,10,0.0,0.17627883180975915,0.5510204084217548
101,24,bad_physio,10,0.0,0.8190651834011078,0.33877551574259995
101,24,clean,20,0.0,260.631649017334,0.3510204071179032
102,20,bad_artifact,10,0.5,1545.5640350341796,0.8877551019191742
102,20,bad_content,10,0.0,0.06949780298746192,0.5142857149243355
102,20,bad_physio,10,0.0,0.8220573037862777,0.4081632688641548
102,20,clean,20,0.0,254.9063835144043,0.34489796301349995
102,21,bad_artifact,10,0.5,2179.9121185302733,0.8224489748477936
102,21,bad_content,10,0.0,0.03868968854076229,0.4653061248362064
102,21,bad_physio,10,0.0,0.9011036604642868,0.47755102887749673
102,21,clean,20,0.0,242.74898376464844,0.3673469415865839
102,22,bad_artifact,10,0.5,1662.7338623046876,0.8836734771728516
102,22,bad_content,10,0.0,0.016053312877193093,0.5306122429668904
102,22,bad_physio,10,0.0,0.7580594837665557,0.4224489837884903
102,22,clean,20,0.0,258.52837600708006,0.3316326539032161
102,23,bad_artifact,10,0.5,1008.5981384277344,0.8836734771728516
102,23,bad_content,10,0.0,0.06020145303627942,0.5102040827274322
102,23,bad_physio,10,0.0,0.8241590023040771,0.41020408514887097
102,23,clean,20,0.0,255.3385269165039,0.34795918334275483
102,24,bad_artifact,10,0.5,929.4478363037109,0.8795918405056
102,24,bad_content,10,0.0,0.011579870685818606,0.5204081639647484
102,24,bad_physio,10,0.0,0.6681807115674019,0.604081642627716
102,24,clean,20,0.0,242.1422088623047,0.2479591823183
103,20,bad_artifact,10,0.5,1694.2889923095704,0.9081632733345032
103,20,bad_content,10,0.0,0.39741232665255666,0.5489795863628387
103,20,bad_physio,10,0.0,0.9156264513731003,0.4448979640379548
103,20,clean,20,0.0,279.19993743896487,0.2989795939996839
103,21,bad_artifact,10,0.5,2389.7507598876955,0.8591836780309677
103,21,bad_content,10,0.0,0.20265089059248567,0.5224489830434322
103,21,bad_physio,10,0.0,0.8115466922521591,0.5224489793181419
103,21,clean,20,0.0,264.93343658447264,0.2979591856710613
103,22,bad_artifact,10,0.5,1832.0078399658203,0.8387755200266838
103,22,bad_content,10,0.0,0.15247072755591945,0.4734693869948387
103,22,bad_physio,10,0.0,0.6930218428373337,0.4367346981540322
103,22,clean,20,0.0,282.90954666137696,0.37551020327955487
103,23,bad_artifact,10,0.5,1104.552960205078,0.8857142925262451
103,23,bad_content,10,0.0,0.11794024769915268,0.532653059065342
103,23,bad_physio,10,0.0,0.9709833830595016,0.40000000186264517
103,23,clean,20,0.0,277.96601181030275,0.3408163291402161
103,24,bad_artifact,10,0.5,1020.2846862792969,0.897959190607071
103,24,bad_content,10,0.0,0.17574721146374941,0.434693880751729
103,24,bad_physio,10,0.0,0.6328751832246781,0.4571428569033742
103,24,clean,20,0.0,264.74450836181643,0.35510204173624516
104,20,bad_artifact,10,0.5,1650.4044982910157,0.902040821313858
104,20,bad_content,10,0.0,0.35103845670819284,0.4244897998869419
104,20,bad_physio,10,0.0,0.9774730175733566,0.4693877577781677
104,20,clean,20,0.0,272.31592025756834,0.3520408163778484
104,21,bad_artifact,10,0.5,2327.4806060791016,0.863265311717987
104,21,bad_content,10,0.0,0.25465665236115453,0.4877551034092903
104,21,bad_physio,10,0.0,1.0920894473791123,0.43265305962413547
104,21,clean,20,0.0,258.3724769592285,0.3581632684916258
104,22,bad_artifact,10,0.5,1777.625909423828,0.8897959232330322
104,22,bad_content,10,0.0,0.297768459841609,0.4204081729054451
104,22,bad_physio,10,0.0,1.1889875531196594,0.47959183529019356
104,22,clean,20,0.0,276.19507904052733,0.3551020401529968
104,23,bad_artifact,10,0.5,1069.342529296875,0.8734693944454193
104,23,bad_content,10,0.0,0.32512498572468757,0.4918367341160774
104,23,bad_physio,10,0.0,1.0630196526646614,0.4857142873108387
104,23,clean,20,0.0,271.25824813842775,0.3244897979311645
104,24,bad_artifact,10,0.5,989.7674224853515,0.8938775539398194
104,24,bad_content,10,0.0,0.3400507245212793,0.4897959202528
104,24,bad_physio,10,0.0,1.415769112110138,0.41836734879761933
104,24,clean,20,0.0,257.3700828552246,0.3489795943722129
105,20,bad_artifact,10,0.5,1634.2066619873046,0.8857142865657807
105,20,bad_content,10,0.0,0.3315541990101337,0.5795918419957161
105,20,bad_physio,10,0.0,1.2978753328323365,0.35918367803096773
105,20,clean,20,0.0,270.341975402832,0.3377551025711
105,21,bad_artifact,10,0.5,2323.870819091797,0.8918367385864258
105,21,bad_content,10,0.0,0.27757134325802324,0.5591836728155613
105,21,bad_physio,10,0.0,1.7104562044143676,0.37755102626979353
105,21,clean,20,0.0,257.42453079223634,0.3357142870314419
105,22,bad_artifact,10,0.5,1773.6901062011718,0.8673469454050065
105,22,bad_content,10,0.0,0.22502533998340368,0.4693877551704645
105,22,bad_physio,10,0.0,1.8764999210834503,0.41428571864962577
105,22,clean,20,0.0,274.9600120544434,0.37448979625478385
105,23,bad_artifact,10,0.5,1066.651416015625,0.8714285790920258
105,23,bad_content,10,0.0,0.3396240334957838,0.6000000029802323
105,23,bad_physio,10,0.0,1.6323786854743958,0.24693878050893545
105,23,clean,20,0.0,270.5876922607422,0.3908163245767355
105,24,bad_artifact,10,0.5,983.3414733886718,0.8938775539398194
105,24,bad_content,10,0.0,0.20829215971753,0.536734702438116
105,24,bad_physio,10,0.0,1.579428505897522,0.3857142861932516
105,24,clean,20,0.0,256.2841636657715,0.3418367345817387
106,20,bad_artifact,10,0.5,1686.0275451660157,0.8918367385864258
106,20,bad_content,10,0.0,0.313741572201252,0.5448979631066322
106,20,bad_physio,10,0.0,1.5738222301006317,0.424489800632
106,20,clean,20,0.0,277.4547409057617,0.31938775470480324
106,21,bad_artifact,10,0.5,2373.778887939453,0.8448979616165161
106,21,bad_content,10,0.0,0.30120332464575766,0.5183673545718193
106,21,bad_physio,10,0.0,1.3053016722202302,0.4306122438982129
106,21,clean,20,0.0,263.414981842041,0.3530612258240581
106,22,bad_artifact,10,0.5,1809.6323822021484,0.9040816366672516
106,22,bad_content,10,0.0,0.23011452257633208,0.5204081617295742
106,22,bad_physio,10,0.0,1.4344038099050522,0.4918367400765419
106,22,clean,20,0.0,280.0699798583984,0.29183673663064835
106,23,bad_artifact,10,0.5,1095.8856079101563,0.8877551078796386
106,23,bad_content,10,0.0,0.24943918585777283,0.5183673441410065
106,23,bad_physio,10,0.0,1.4879197001457214,0.33877550773322584
106,23,clean,20,0.0,276.24436264038087,0.37755102599039675
106,24,bad_artifact,10,0.5,1007.4427001953125,0.9081632733345032
106,24,bad_content,10,0.0,0.28366794548928737,0.4122448965907097
106,24,bad_physio,10,0.0,1.4605606615543365,0.46734693720936776
106,24,clean,20,0.0,262.29493713378906,0.3561224523000419
107,20,bad_artifact,10,0.5,1685.832763671875,0.9000000059604645
107,20,bad_content,10,0.0,0.018704501166939735,0.5428571477532387
107,20,bad_physio,10,0.0,1.0478969544172287,0.38367346562445165
107,20,clean,20,0.0,277.5981155395508,0.3367346961982548
107,21,bad_artifact,10,0.5,2387.6801727294924,0.8408163338899612
107,21,bad_content,10,0.0,0.03709815321490169,0.46734693869948385
107,21,bad_physio,10,0.0,1.011249154806137,0.5428571403026581
107,21,clean,20,0.0,263.4527221679688,0.32448979942128064
107,22,bad_artifact,10,0.5,1813.7045043945313,0.8816326558589935
107,22,bad_content,10,0.0,0.018476574134547265,0.4693877574056387
107,22,bad_physio,10,0.0,0.7406068786978721,0.5326530620455742
107,22,clean,20,0.0,280.6258941650391,0.308163268212229
107,23,bad_artifact,10,0.5,1094.597674560547,0.8795918405056
107,23,bad_content,10,0.0,0.03405321080063004,0.48775510787963866
107,23,bad_physio,10,0.0,0.7864437699317932,0.5265306144952774
107,23,clean,20,0.0,276.4354187011719,0.30306122442707417
107,24,bad_artifact,10,0.5,1017.7509155273438,0.902040821313858
107,24,bad_content,10,0.0,0.03500125164864585,0.4102040799334645
107,24,bad_physio,10,0.0,0.9338745981454849,0.6040816336870194
107,24,clean,20,0.0,262.66627044677733,0.2918367384001613
108,20,bad_artifact,10,0.5,1678.4127288818358,0.8938775539398194
108,20,bad_content,10,0.0,0.3972485264763236,0.532653059065342
108,20,bad_physio,10,0.0,1.2524884998798371,0.3734693927690387
108,20,clean,20,0.0,277.31084671020506,0.35000000298023226
108,21,bad_artifact,10,0.5,2389.7559295654296,0.8551020473241806
108,21,bad_content,10,0.0,0.41632595360279084,0.6448979556560517
108,21,bad_physio,10,0.0,1.2816753447055818,0.30612245164811613
108,21,clean,20,0.0,264.24416732788086,0.346938778553158
108,22,bad_artifact,10,0.5,1816.2062286376954,0.8755102038383484
108,22,bad_content,10,0.0,0.19679618403315544,0.4877551056444645
108,22,bad_physio,10,0.0,0.9928890764713287,0.5000000059604645
108,22,clean,20,0.0,281.19851913452146,0.31836734814569356
108,23,bad_artifact,10,0.5,1094.1312438964844,0.7795918375253678
108,23,bad_content,10,0.0,0.22979990914463996,0.44285714272409676
108,23,bad_physio,10,0.0,1.2660494148731232,0.47142857909202573
108,23,clean,20,0.0,276.6964988708496,0.4030612261965871
108,24,bad_artifact,10,0.5,1014.2585266113281,0.8877551078796386
108,24,bad_content,10,0.0,0.27365393633954227,0.5244897991418839
108,24,bad_physio,10,0.0,1.3169404208660125,0.4285714291036129
108,24,clean,20,0.0,263.7840515136719,0.32959183780476453
109,20,bad_artifact,10,0.5,1674.700909423828,0.8918367385864258
109,20,bad_content,10,0.0,0.24722686111927034,0.4959183678030968
109,20,bad_physio,10,0.0,1.5052413046360016,0.42040816619992255
109,20,clean,20,0.0,275.42855377197264,0.3459183695726097
109,21,bad_artifact,10,0.5,2358.768243408203,0.883673471212387
109,21,bad_content,10,0.0,0.22488379031419753,0.5795918375253677
109,21,bad_physio,10,0.0,1.5675730466842652,0.46734694093465806
109,21,clean,20,0.0,261.2293357849121,0.2846938810311258
109,22,bad_artifact,10,0.5,1801.1717590332032,0.9081632733345032
109,22,bad_content,10,0.0,0.32247090339660645,0.47959183901548386
109,22,bad_physio,10,0.0,1.7252436637878419,0.3816326538100839
109,22,clean,20,0.0,278.50330810546876,0.3653061227872968
