target_subject,seed,n_candidates,threshold_percentile,artifact_threshold,reject_rate,clean_reject_rate,bad_artifact_reject_rate,bad_content_reject_rate,bad_physio_reject_rate,rejected_clean_fraction,rejected_bad_artifact_fraction,kept_bad_artifact_rate,mean_content_rejected,mean_content_kept,delta_macro_f1_softar_vs_softweight,delta_bacc_softar_vs_softweight,delta_ece_softar_vs_softweight,delta_macro_f1_softar_vs_naive,delta_macro_f1_softar_vs_artifactreject
100,20,50,80.0,342.6900329589846,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.902040821313858,0.3994897976052016,0.0,0.0,-0.03385622570147884,-0.04320625610948203,0.0
100,21,50,80.0,347.0558593750003,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8530612289905548,0.4117346956860274,0.042117022762183876,0.038461538461538436,-0.0024332782396902786,0.042117022762183876,0.0
100,22,50,80.0,359.2913146972661,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9000000059604645,0.40000000144354997,-0.03783068783068777,-0.03846153846153855,-0.01104231064136213,0.0023099561330446328,-0.03783068783068777
100,23,50,80.0,374.69283447265695,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8285714358091354,0.41785714398138224,0.0,0.0,-0.006059089532265305,0.03817663817663808,0.03817663817663808
100,24,50,80.0,320.2948852539065,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8918367385864258,0.4020408182870597,0.0,0.0,0.0012919742327470174,0.0,0.0
101,20,50,80.0,343.19968872070336,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9081632733345032,0.3979591846000403,-0.028665028665028625,-0.02941176470588236,0.0044144238744463354,-0.028665028665028625,-0.028665028665028625
101,21,50,80.0,342.9768798828128,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8591836750507355,0.41020408417098225,0.028524743230625593,0.02941176470588236,-0.009978891270501292,0.0,0.0
101,22,50,80.0,361.7989624023443,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8836734771728516,0.40408163364045324,0.0,0.0,-0.001007441111973359,0.0,0.0
101,23,50,80.0,374.57391357421943,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8857142925262451,0.4035714298021048,0.0,0.0,-0.0008241057395935031,0.0,0.0
101,24,50,80.0,319.4954223632815,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9081632733345032,0.3979591846000403,0.0,0.0,-0.008900465284075065,0.0,0.0
102,20,50,80.0,316.010681152344,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8877551019191742,0.4030612274538726,-0.027283041661225083,-0.02941176470588236,-0.019929911409105577,0.027486367946894297,-0.0018812349501203807
102,21,50,80.0,315.5651000976565,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8224489748477936,0.4193877592217177,0.0,0.0,-0.08405733960015432,0.0,0.06325560817001152
102,22,50,80.0,329.98559570312545,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8836734771728516,0.40408163364045324,0.0,0.0,-0.029994194848196876,0.0,0.0
102,23,50,80.0,345.55679931640685,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8836734771728516,0.40408163364045324,0.008333333333333415,-0.0016339869281045694,0.042434063979557624,0.008333333333333415,-0.025658816932996875
102,24,50,80.0,295.5909912109377,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8795918405056,0.40510204280726614,0.026978850508262264,0.02777777777777779,-0.032932980997221806,-0.08740023445905798,-0.08740023445905798
103,20,50,80.0,347.60373535156276,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9081632733345032,0.3979591846000403,0.0,0.0,0.003092950156756813,0.05611325611325613,0.05611325611325613
