target_subject,seed,baseline_macro_f1,baseline_balanced_accuracy,softweight_macro_f1,softweight_balanced_accuracy,softar_macro_f1,delta_macro_f1_softweight_vs_naive,delta_balanced_accuracy_softweight_vs_naive,delta_ece_softweight_vs_naive,delta_nll_softweight_vs_naive,delta_macro_f1_softweight_vs_softar,content_score_mean,content_score_std,content_score_p10,content_score_p90,style_score_mean,style_score_std,style_score_p10,style_score_p90,physio_score_mean,physio_score_std,physio_score_p10,physio_score_p90,artifact_safe_score_mean,artifact_safe_score_std,artifact_safe_score_p10,artifact_safe_score_p90,artifact_risk_raw_mean,artifact_risk_raw_std,artifact_risk_raw_p10,artifact_risk_raw_p90,sas_score_mean,sas_score_std,sas_score_p10,sas_score_p90,aug_frac_bad_artifact,aug_frac_bad_content,aug_frac_bad_physio,aug_frac_clean,artifact_p90_reject_fraction,clean_content_score_mean,clean_artifact_risk_raw_mean
90,20,0.8566748566748568,0.8562091503267973,0.8273026315789473,0.826797385620915,0.8273026315789473,-0.02937222509590942,-0.02941176470588236,0.02031323824610029,0.0034229434064051434,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,449.55045554593204,870.2346637493168,0.13869965597987177,1051.4677490234378,0.5000000035762787,0.15540759411754945,0.3039796054363251,0.7401020050048829,0.2,0.2,0.2,0.4,0.1,0.3948979591950774,278.0886940002441
90,21,0.7973531844499586,0.7973856209150327,0.7993447993447994,0.7990196078431373,0.7712418300653595,0.0019916148948407875,0.0016339869281045694,0.030845692328044363,-0.0712653433940082,0.028102969279439893,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,583.3556281491183,1258.3593307150206,0.19772546440362931,1598.7636718750005,0.5,0.18335368642011846,0.3277551054954529,0.8058163344860076,0.2,0.2,0.2,0.4,0.1,0.3612244941294193,264.2795440673828
90,22,0.8571428571428571,0.857843137254902,0.8856209150326797,0.8856209150326797,0.8856209150326797,0.028478057889822606,0.02777777777777768,0.010189506837299897,0.018518099545216854,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,476.4764738789201,857.1836114181034,0.19697147086262706,1447.4730468750008,0.49999999612569807,0.17761950071673807,0.23938776701688766,0.7598979949951172,0.2,0.2,0.2,0.4,0.1,0.4000000022351742,281.3601234436035
90,23,0.9424342105263158,0.9411764705882353,0.9424342105263158,0.9411764705882353,0.9424342105263158,0.0,0.0,-0.015043904100145625,0.013369430883974881,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,330.8169879202638,452.24883469006016,0.10466811656951905,807.0114562988288,0.5000000002980233,0.16072902499890862,0.31459186077117923,0.7240815997123718,0.2,0.2,0.2,0.4,0.1,0.45000000167638066,277.4336563110352
90,24,0.8833333333333333,0.8823529411764706,0.8833333333333333,0.8823529411764706,0.8833333333333333,0.0,0.0,-0.013520342963082452,-0.020838882630503153,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,308.67966336999086,414.71658959531777,0.2511699408292771,997.2817932128908,0.5000000011920929,0.14634816253132485,0.33346939384937285,0.7043877720832825,0.2,0.2,0.2,0.4,0.1,0.4234693903476,263.33019027709963
91,20,0.7428571428571428,0.7434640522875817,0.7428571428571428,0.7434640522875817,0.7428571428571428,0.0,0.0,0.03081672361918858,0.07201972976079929,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,452.1823854811024,874.2720582858086,0.14842320233583453,1064.6598876953128,0.500000002682209,0.17659512822304801,0.3137755155563354,0.7890816807746888,0.2,0.2,0.2,0.4,0.1,0.35408163266256454,279.66020584106445
91,21,0.8250000000000001,0.8251633986928104,0.8528174936921784,0.8529411764705883,0.8528174936921784,0.02781749369217834,0.0277777777777779,-0.024777991431100016,0.008142452222565322,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,587.0950431496836,1266.8854522299432,0.15834140256047252,1602.9553833007817,0.5000000016391277,0.19264214685934963,0.2551020562648773,0.8003061354160309,0.2,0.2,0.2,0.4,0.1,0.377551023196429,265.8931228637695
91,22,0.7973531844499586,0.7973856209150327,0.7697368421052632,0.7696078431372549,0.7697368421052632,-0.027616342344695455,-0.02777777777777779,0.00970545325960434,0.03224160915294272,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,480.18741713373925,862.880235256965,0.18947647064924245,1447.8313842773446,0.5000000011920929,0.17790944421131658,0.303571417927742,0.7761224389076233,0.2,0.2,0.2,0.4,0.1,0.3673469418659806,283.5479141235352
91,23,0.7939444911690496,0.7957516339869282,0.8250000000000001,0.8251633986928104,0.8250000000000001,0.03105550883095043,0.02941176470588225,0.03138638394219537,0.020184370249998973,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,332.91713496809825,455.3855170851311,0.14856287948787217,809.7598937988288,0.5000000023841857,0.1800748367426033,0.2896938621997833,0.7942857384681702,0.2,0.2,0.2,0.4,0.1,0.3428571433760226,278.8767883300781
91,24,0.8552522746071134,0.8545751633986928,0.8552522746071134,0.8545751633986928,0.8552522746071134,0.0,0.0,0.02674276147569926,0.02691178350676421,0.0,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,0.5000000023469329,0.29450754591962947,0.10000000298023225,0.8999999880790711,312.009705308876,419.780979228318,0.10961301755160097,1006.0386962890627,0.5000000038743019,0.1782914443301107,0.2862244933843613,0.7692857205867768,0.2,0.2,0.2,0.4,0.1,0.32551020924001933,265.76807022094727
