target_subject,mean_delta_macro_f1,mean_baseline_macro_f1,mean_content_score,mean_artifact_risk,positive_seed_fraction
90,0.00021948953775079437,0.8673876884254643,0.5000000023469329,429.775841772845,0.4
91,0.006251332035686663,0.8028814186166529,0.5000000023469329,432.8783372082999,0.4
92,-5.813234384661747e-05,0.8122714010249845,0.5000000023469329,428.5247146514184,0.2
93,-0.013462690319327642,0.552958307687722,0.5000000023469329,416.60266418264433,0.2
94,0.014566212943822033,0.6716965550585003,0.5000000023469329,429.70914087848365,0.4
95,0.01465243290194691,0.656519024166083,0.5000000023469329,433.26096485417895,0.4
96,0.00574192759564276,0.7995404121603812,0.5000000023469329,433.0818224514909,0.4
97,-0.005092923630075341,0.7293870573359738,0.5000000023469329,427.53706061318707,0.2
98,0.02575536353238129,0.5135004604884463,0.5000000023469329,403.67608762756174,0.4
99,0.011733864439789753,0.5730680254557964,0.5000000023469329,430.44226453976563,0.4
100,0.00702220520617769,0.7886738510155834,0.5000000023469329,426.7191995383091,0.4
101,-0.005704948646125118,0.9714192343604108,0.5000000023469329,426.61528230503944,0.0
102,-0.011921935071840173,0.6410627059158966,0.5000000023469329,393.51018124081935,0.2
103,0.006217539278435114,0.6779800151744124,0.5000000023469329,431.4184958127216,0.6
104,0.013089409057150992,0.6756949467355147,0.5000000023469329,419.71802232560515,0.2
105,-0.017379109997705845,0.9243718203763296,0.5000000023469329,418.0174372304715,0.2
106,0.04083796624818301,0.5623333198101,0.5000000023469329,428.014612111941,1.0
107,-0.003404917576985067,0.6136694887825349,0.5000000023469329,429.0314511188708,0.2
108,0.03971710830001636,0.6641592156602059,0.5000000023469329,429.07426767893696,0.8
109,-0.0007420030601144711,0.5921848739495799,0.5000000023469329,425.07193274375794,0.4
