target_subject,seed,rejected_v1_1,E_embed,E_proto,E_pred,E_content,D_band,D_cov,E_physio,D_style,E_style,artifact_score,label,subject,augmentation_type,raw_CE_loss
100,20,False,0.9999896883964539,-0.009165763854980469,-4.3712061597034335e-06,0.4406779706478119,10.461311340332031,0.918537437915802,0.7627118825912476,424.9366760253906,0.016949152573943138,2.197883367538452,1,100,gaussian_noise,
100,20,False,0.9870373606681824,0.03981602191925049,-5.566596508026123,0.033898305147886276,0.0,3.230647628756078e-13,1.0,424.9288330078125,0.033898305147886276,0.8967577815055847,1,100,time_shift,
100,20,False,0.9999269247055054,-0.010185599327087402,-0.0002231035614386201,0.3050847351551056,123.73229217529297,1.3944910764694214,0.38983049988746643,413.28936767578125,0.06779661029577255,1.2941205501556396,1,100,time_crop,
100,20,False,0.9988752603530884,-0.005963325500488281,-0.03168221190571785,0.08474576473236084,461.4259033203125,2.2582054138183594,0.1525423675775528,408.8650817871094,0.10169491171836853,0.7472973465919495,1,100,frequency_mask,
100,20,False,0.9997991323471069,-0.007843077182769775,-0.00015392783097922802,0.20338982343673706,464.72052001953125,15.393899917602539,0.1355932205915451,447.9272766113281,0.0,0.8745997548103333,1,100,channel_dropout,
100,20,False,0.9997084736824036,-0.004723072052001953,-0.01618064194917679,0.16949152946472168,185.885986328125,1.123423457145691,0.2542372941970825,411.47021484375,0.08474576473236084,0.749638020992279,1,100,mild_frequency_mixup,
100,20,True,0.9999856948852539,0.08176243305206299,-0.0,0.9661017060279846,9.561596870422363,0.8576382994651794,0.7966101765632629,375.1962585449219,0.16949152946472168,3.9892094135284424,1,100,gaussian_noise,
100,20,False,0.9944008588790894,0.06343656778335571,-1.0583983112155693e-06,0.23728813230991364,0.0,3.634270889871921e-13,0.9830508232116699,375.2843017578125,0.1525423675775528,2.4453670978546143,1,100,time_shift,
100,20,True,0.9999322295188904,0.08258414268493652,-0.0,0.9322034120559692,122.2345962524414,1.2783997058868408,0.4067796468734741,371.6567687988281,0.20338982343673706,3.013326406478882,1,100,time_crop,
100,20,False,0.9994633197784424,0.08212202787399292,-0.0,0.6779661178588867,82.92366027832031,1.975001573562622,0.508474588394165,374.0137939453125,0.18644067645072937,2.3207995891571045,1,100,frequency_mask,
100,20,False,0.9997145533561707,0.08485668897628784,-0.0,0.7627118825912476,513.553466796875,16.36879539489746,0.10169491171836853,421.2632751464844,0.050847455859184265,2.0141355991363525,1,100,channel_dropout,
100,20,False,0.9998705983161926,0.08227139711380005,-0.0,0.8983050584793091,106.04815673828125,1.1525710821151733,0.4406779706478119,376.2667236328125,0.1355932205915451,2.314220666885376,1,100,mild_frequency_mixup,
100,20,True,0.9999687075614929,0.03442960977554321,4.098312089695355e-08,0.7118644118309021,9.570998191833496,0.7930445075035095,0.8135592937469482,365.4233093261719,0.23728813230991364,2.749204397201538,0,100,gaussian_noise,
100,20,False,0.9955357313156128,0.04082709550857544,1.1920928244535389e-07,0.2711864411830902,0.0,3.6668891122311476e-13,0.9661017060279846,365.4725646972656,0.22033898532390594,1.3484848737716675,0,100,time_shift,
100,20,False,0.9997916221618652,0.04105645418167114,1.1920928244535389e-07,0.5762711763381958,139.29306030273438,1.4218318462371826,0.33898305892944336,354.6260681152344,0.2881355881690979,1.7936092615127563,0,100,time_crop,
100,20,False,0.9988763928413391,0.02651214599609375,-0.0,0.1525423675775528,69.81233215332031,1.8205550909042358,0.5423728823661804,363.5178527832031,0.2711864411830902,1.2051279544830322,0,100,frequency_mask,
100,20,False,0.999483585357666,0.043565332889556885,1.1920928244535389e-07,0.4576271176338196,413.31207275390625,15.07787036895752,0.16949152946472168,393.60418701171875,0.11864406615495682,1.2843481302261353,0,100,channel_dropout,
100,20,False,0.9998387098312378,0.03505951166152954,1.8148437419540642e-08,0.5254237055778503,161.91448974609375,1.0946507453918457,0.2881355881690979,363.8362121582031,0.2542372941970825,1.2487585544586182,0,100,mild_frequency_mixup,
100,20,True,0.9999309182167053,0.05720013380050659,-1.726916707411874e-06,0.5932203531265259,13.45697021484375,1.1894649267196655,0.6779661178588867,240.73782348632812,0.5593220591545105,3.1102519035339355,1,100,gaussian_noise,
100,20,False,0.998076856136322,0.042508482933044434,-0.00038756272988393903,0.11864406615495682,0.0,5.718747957822456e-13,0.9322034120559692,240.367431640625,0.5932203531265259,1.5917117595672607,1,100,time_shift,
100,20,False,0.9999397397041321,0.05510127544403076,-1.7201446098624729e-06,0.6271186470985413,71.556396484375,1.137102484703064,0.5254237055778503,236.09458923339844,0.6271186470985413,1.8324224948883057,1,100,time_crop,
100,20,False,0.9997111558914185,0.054294586181640625,-8.516954039805569e-07,0.37288135290145874,44.72501754760742,1.3195887804031372,0.6271186470985413,240.66983032226562,0.5762711763381958,1.4537914991378784,1,100,frequency_mask,
100,20,False,0.9998045563697815,0.05579465627670288,-2.058432528428966e-06,0.4067796468734741,609.4663696289062,17.050649642944336,0.06779661029577255,303.43170166015625,0.3050847351551056,1.4775524139404297,1,100,channel_dropout,
100,20,False,0.9998471140861511,0.054903626441955566,-3.1694376048108097e-06,0.4237288236618042,156.50625610351562,1.199697732925415,0.32203391194343567,236.27655029296875,0.6101694703102112,1.4439297914505005,1,100,mild_frequency_mixup,
100,20,True,0.9999663233757019,0.07243448495864868,-0.0,0.9491525292396545,10.478189468383789,1.3146241903305054,0.7457627058029175,211.70504760742188,0.7457627058029175,2.5454156398773193,0,100,gaussian_noise,
100,20,False,0.9629894495010376,-0.007563531398773193,-0.6342847347259521,0.0,0.0,7.593528670440941e-13,0.8813559412956238,211.49234008789062,0.7627118825912476,1.054328441619873,0,100,time_shift,
100,20,False,0.9999322295188904,0.07153928279876709,-0.0,0.9152542352676392,210.72251892089844,1.652801752090454,0.18644067645072937,179.39710998535156,0.8305084705352783,1.591908574104309,0,100,time_crop,
100,20,False,0.9989563226699829,0.06800127029418945,-0.0,0.47457626461982727,202.70761108398438,2.1832358837127686,0.20338982343673706,234.75437927246094,0.6440678238868713,0.993434488773346,0,100,frequency_mask,
100,20,False,0.9997402429580688,0.07268643379211426,-0.0,0.7966101765632629,747.4539184570312,16.13649559020996,0.050847455859184265,276.8461608886719,0.35593220591545105,1.028356671333313,0,100,channel_dropout,
100,20,False,0.9997932314872742,0.07184439897537231,-0.0,0.8474576473236084,95.13450622558594,1.3043640851974487,0.47457626461982727,220.6840057373047,0.694915235042572,1.0876882076263428,0,100,mild_frequency_mixup,
100,20,False,0.9999732375144958,0.09550940990447998,-0.0,1.0,11.280527114868164,1.4762152433395386,0.7288135886192322,248.19766235351562,0.4406779706478119,2.3926684856414795,0,100,gaussian_noise,
100,20,False,0.9938380122184753,0.07283973693847656,-0.0,0.508474588394165,0.0,7.416645964909707e-13,0.8983050584793091,247.75271606445312,0.4576271176338196,0.9339801669120789,0,100,time_shift,
100,20,False,0.9999035000801086,0.09625953435897827,-0.0,0.9830508232116699,188.45274353027344,1.4111547470092773,0.23728813230991364,222.30615234375,0.6779661178588867,1.6312255859375,0,100,time_crop,
100,20,False,0.9994770884513855,0.0919235348701477,-0.0,0.8135592937469482,46.680946350097656,2.12785267829895,0.6101694703102112,248.49301147460938,0.4237288236618042,0.7970100045204163,0,100,frequency_mask,
100,20,False,0.9995883107185364,0.09595584869384766,-0.0,0.8813559412956238,789.1755981445312,15.65252685546875,0.016949152573943138,300.8145446777344,0.32203391194343567,0.9166297316551208,0,100,channel_dropout,
100,20,False,0.9992871284484863,0.08726102113723755,-0.0,0.7457627058029175,116.75763702392578,2.1912858486175537,0.4237288236618042,249.48924255371094,0.4067796468734741,0.8216723799705505,0,100,mild_frequency_mixup,
