target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.20401334762573242,0.2262587994337082,0.226258784532547,0.4302721321582794,3.3602078437805183,0,0,0.8571428571428571,0.8545751633986928,0.8552522746071134,0.7126436781609196,0.9117647058823529,0.38912244961781545,0.12427630254200527,0.2541446387767792
90,20,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.20344476401805878,0.2300298511981964,0.22126896679401398,0.42471373081207275,3.3602078437805183,0,0,0.8571428571428571,0.8545751633986928,0.8552522746071134,0.7126436781609196,0.9084967320261438,0.38934548922021933,0.11460174322128294,0.2516787350177765
90,20,SAS-Cert-SoftSafe-LS-v1.2,10,60,52,0.1333333333333333,0.6622881293296814,0.7641786336898804,39.73728942871094,0.6622881571451823,0.20481154322624207,0.2291385531425476,0.2250102013349533,0.4298217296600342,3.3602078437805183,0,0,0.8571428571428571,0.8545751633986928,0.8552522746071134,0.7126436781609196,0.9150326797385621,0.3824311024960132,0.10229220049721854,0.2474590539932251
90,21,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.20932847261428833,0.23420652747154236,0.23420651257038116,0.4435349702835083,2.7428706645965577,0,0,0.8571428571428571,0.8594771241830066,0.8566748566748567,0.7154471544715447,0.9313725490196079,0.33615471439166866,0.11513575826372419,0.21826256811618805
90,21,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.20965082943439484,0.23293447494506836,0.23257477581501007,0.4422256052494049,2.7428706645965577,0,0,0.8571428571428571,0.8594771241830066,0.8566748566748567,0.7154471544715447,0.9215686274509804,0.34762127727614783,0.1311994501522609,0.2229132056236267
90,21,SAS-Cert-SoftSafe-LS-v1.2,10,60,55,0.08333333333333337,0.6894067525863647,0.752079963684082,41.36439895629883,0.6894066492716472,0.20803341269493103,0.23628026247024536,0.2355113923549652,0.44354480504989624,2.7428706645965577,0,0,0.8571428571428571,0.8594771241830066,0.8566748566748567,0.7154471544715447,0.9411764705882353,0.3223516869177186,0.10901237215314594,0.210232675075531
90,22,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.20099946856498718,0.21398715674877167,0.21398714184761047,0.41498661041259766,4.39075722694397,0,0,0.8857142857142857,0.8839869281045751,0.8848684210526315,0.7704918032786885,0.9771241830065359,0.22271212988825598,0.06402504784720284,0.1387983113527298
90,22,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.2009924203157425,0.2182466983795166,0.21582311391830444,0.41681551933288574,4.39075722694397,0,0,0.8857142857142857,0.8839869281045751,0.8848684210526315,0.7704918032786885,0.9771241830065359,0.23213922390039368,0.0907433305467878,0.1412593573331833
90,22,SAS-Cert-SoftSafe-LS-v1.2,10,60,51,0.15000000000000002,0.6499999165534973,0.7647058963775635,39.0,0.65,0.20097970962524414,0.2157648354768753,0.21505816280841827,0.4160378575325012,4.39075722694397,0,0,0.8857142857142857,0.8839869281045751,0.8848684210526315,0.7704918032786885,0.9771241830065359,0.22685724177395836,0.07324539082390921,0.1408689171075821
90,23,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.20763052999973297,0.2274758517742157,0.2274758368730545,0.4351063668727875,5.423462533950814,0,0,0.8857142857142857,0.8839869281045751,0.8848684210526315,0.7704918032786885,0.9673202614379084,0.2470636724248465,0.06484896796090261,0.1520097404718399
90,23,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.20503774285316467,0.2275872528553009,0.22372566163539886,0.42876338958740234,5.423462533950814,0,0,0.8857142857142857,0.8839869281045751,0.8848684210526315,0.7704918032786885,0.9640522875816993,0.25792368064603355,0.048202381815229144,0.1602156162261963
90,23,SAS-Cert-SoftSafe-LS-v1.2,10,60,51,0.15000000000000002,0.647175133228302,0.761382520198822,38.830509185791016,0.647175153096517,0.21391847729682922,0.22458283603191376,0.22433426976203918,0.4382527470588684,5.423462533950814,0,0,0.8857142857142857,0.8839869281045751,0.8848684210526315,0.7704918032786885,0.9771241830065359,0.22272762922609735,0.06680461253438677,0.13780291378498077
90,24,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.20005103945732117,0.21293006837368011,0.21293005347251892,0.4129810929298401,3.8887782096862793,0,0,0.8857142857142857,0.8823529411764706,0.8833333333333333,0.7697368421052632,0.9836601307189542,0.23938525909367528,0.10710059234074183,0.1560087651014328
90,24,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000834465027,0.6000000834465027,36.000003814697266,0.6000000635782877,0.20011252164840698,0.21507371962070465,0.21159322559833527,0.41170573234558105,3.8887782096862793,0,0,0.8857142857142857,0.8823529411764706,0.8833333333333333,0.7697368421052632,0.9836601307189542,0.24248339700347143,0.06510324478149414,0.15709188580513
90,24,SAS-Cert-SoftSafe-LS-v1.2,10,60,56,0.06666666666666665,0.7149717211723328,0.7660412192344666,42.89830780029297,0.7149717966715495,0.19993256032466888,0.21368177235126495,0.21175357699394226,0.41168612241744995,3.8887782096862793,0,0,0.8857142857142857,0.8823529411764706,0.8833333333333333,0.7697368421052632,0.9836601307189542,0.24160053212307883,0.08101601600646972,0.15732045471668243
91,20,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.20851954817771912,0.21918071806430817,0.21918071806430817,0.4277002811431885,4.483706426620484,0,0,0.6857142857142857,0.6879084967320261,0.6846846846846847,0.3739837398373984,0.7777777777777777,0.8743048744930653,0.2487711421080998,0.4621872901916504
91,20,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000834465027,0.6000000834465027,36.000003814697266,0.6000000635782877,0.20910221338272095,0.22015388309955597,0.21899352967739105,0.4280957579612732,4.483706426620484,0,0,0.6857142857142857,0.6879084967320261,0.6846846846846847,0.3739837398373984,0.7843137254901961,0.8717686397394225,0.225442054441997,0.45981287956237793
91,20,SAS-Cert-SoftSafe-LS-v1.2,10,60,53,0.1166666666666667,0.6826270818710327,0.7727854251861572,40.95762634277344,0.6826271057128906,0.210323303937912,0.21816962957382202,0.21637995541095734,0.4267032742500305,4.483706426620484,0,0,0.6857142857142857,0.6879084967320261,0.6846846846846847,0.3739837398373984,0.7810457516339868,0.8718954335459794,0.25454292808260237,0.4527272880077362
