model,epoch,train_loss,elapsed_sec,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_kappa,val_auroc,val_nll,val_ece
st_eegformer_small,1,0.8761749751984127,65.63718628883362,0.9888219074394463,0.4982698961937716,0.5,0.3325635103926097,0.0,0.5274292252022137,0.9888335419182462,0.32703691645339555
st_eegformer_small,2,0.821483134920635,66.29058504104614,0.79092776816609,0.4982698961937716,0.5,0.3325635103926097,0.0,0.5770992975734355,0.7908972104894426,0.21908846494098297
st_eegformer_small,3,0.7100940910218254,66.71621036529541,0.7236091587370242,0.5916955017301038,0.5930475734355045,0.519027769071648,0.18559146632701795,0.7658205619412515,0.7235995588250796,0.18500170682265818
st_eegformer_small,4,0.5512732514880953,66.74538922309875,0.6542419644788062,0.6782006920415224,0.6788952745849297,0.6650168604288849,0.35729145908891624,0.7987175393784589,0.6542520858318381,0.13634255404703344
st_eegformer_small,5,0.47391353546626985,66.53966403007507,0.5881536323168973,0.6816608996539792,0.681242017879949,0.6767372743974928,0.36278519844059576,0.776607066836952,0.5881503632136954,0.08388638235155961
st_eegformer_small,6,0.3950939360119048,66.52089190483093,0.5935038882280853,0.7012687427912342,0.7010775862068965,0.7002718940080541,0.40230610142694023,0.8119226266496382,0.5934919724578802,0.1283408036968975
st_eegformer_small,7,0.34101426866319445,66.54337954521179,0.6582288203079946,0.7151095732410612,0.7147988505747127,0.7126631414122575,0.4298619042674696,0.8067981055768412,0.6577912613583053,0.1425893791062884
st_eegformer_small,8,0.2674001736111111,66.22348380088806,0.7641270691410755,0.7162629757785467,0.7163553639846744,0.7160964155645007,0.4326278490710591,0.805840251170711,0.7559947265421597,0.1675767669628236
st_eegformer_small,9,0.2300312732514881,66.38675713539124,0.7732020887399077,0.726643598615917,0.726955619412516,0.72452685500856,0.45362518845874644,0.8129948914431673,0.7563290697176283,0.15831407351202342
st_eegformer_small,10,0.16933033292255703,66.12534952163696,1.1376323061968354,0.7139561707035755,0.713809067688378,0.7133762037303645,0.42774104947143177,0.8058189655172414,1.0324562261293393,0.20603892860253104
st_eegformer_small,11,0.13371165078783792,65.9600031375885,1.242562792292928,0.740484429065744,0.7408365261813538,0.7379056366242864,0.48133111056162214,0.8253618561089825,1.0702819909885937,0.20239397821541888
st_eegformer_small,12,0.0926641212947785,65.9059112071991,1.3845066434371842,0.6978085351787774,0.6977969348659003,0.697798484429213,0.39560018518814155,0.8003937845891869,1.1869506883813,0.24155389966986723
st_eegformer_small,13,0.0766399065653483,65.93555045127869,1.306585991121356,0.7231833910034602,0.7231880587484036,0.7231830227434787,0.44636899155505183,0.8065426777352065,1.1550792468439854,0.22336978885541736
st_eegformer_small,14,0.0633925910223098,65.96185970306396,1.918508501888834,0.6966551326412919,0.6963441890166029,0.6940502274956426,0.3929298818718401,0.8022855470412942,1.4585543862972037,0.2650854540118709
st_eegformer_small,15,0.058033439015585275,65.87033748626709,1.7649662740777796,0.7162629757785467,0.716602809706258,0.7136385606874328,0.43290844407574625,0.8072956577266923,1.377799074736054,0.2537649092377263
st_eegformer_small,16,0.043522711557055276,65.94491195678711,2.437616861402782,0.707035755478662,0.7068326947637292,0.7059368657194744,0.41383055178471617,0.7897296722009365,1.5213311640120954,0.2649604497346361
st_eegformer_small,17,0.037206320081438336,65.92069697380066,2.500675241014949,0.7093425605536332,0.7093710089399745,0.7093328934204646,0.4187152799948918,0.7864596636866752,1.6064833041330409,0.267474484725532
st_eegformer_small,18,0.03394649112035358,65.99212598800659,2.087540042441609,0.7093425605536332,0.7092193486590039,0.7089208633093526,0.41853892215568866,0.7992470200085142,1.4881262873992593,0.25787387918917226
st_eegformer_small,19,0.047275671088506305,65.93897080421448,2.195527143819384,0.7185697808535179,0.7188058748403576,0.7173480840147507,0.43740226583692354,0.8009312473392933,1.5087979284683604,0.2575708895474844
st_eegformer_small,20,0.03534696968774947,66.19811344146729,2.362843236021242,0.6931949250288351,0.6936302681992337,0.6884496919917864,0.38692080708190435,0.7792012558535548,1.6261151302597454,0.2753360140832375
st_eegformer_small,21,0.023751797789619084,65.92811727523804,3.050750487953459,0.7024221453287197,0.7022589399744572,0.7016883601835058,0.40464707761098684,0.7822637292464878,1.6577582556340866,0.2747638044575919
