model,epoch,train_loss,elapsed_sec,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_kappa,val_auroc,val_nll,val_ece
eegpt_large4e,1,0.7103373282296317,60.310383319854736,0.6933130491976095,0.4982698961937716,0.5,0.3325635103926097,0.0,0.4895381013197105,0.6933130448637599,0.007669240236282349
eegpt_large4e,2,0.7012854250650558,59.07542943954468,0.7045645141821557,0.4982698961937716,0.5,0.3325635103926097,0.0,0.47054597701149425,0.704564500480691,0.07483699917793274
eegpt_large4e,3,0.6999564044816153,59.58928966522217,0.6961919538152535,0.4982698961937716,0.5,0.3325635103926097,0.0,0.4740900383141763,0.6961919389006008,0.03264574873268673
eegpt_large4e,4,0.701671793309469,58.4784471988678,0.6943925216261215,0.510957324106113,0.5095865261813537,0.4189522400515914,0.019225535865789456,0.49136334610472543,0.6943925119647133,0.012332490364985484
eegpt_large4e,5,0.7004625485813807,58.99538588523865,0.693769437081536,0.5017301038062284,0.5,0.3341013824884793,0.0,0.4872871434653044,0.6937694239309413,0.015990078449249268
eegpt_large4e,6,0.6983554757587493,59.50831699371338,0.695364635295934,0.5017301038062284,0.5,0.3341013824884793,0.0,0.4872020008514261,0.6953646194289909,0.031032426890754923
eegpt_large4e,7,0.6953528506415231,58.94010400772095,0.6997810617312703,0.5132641291810842,0.5148068326947637,0.39371031246271526,0.029522233185854785,0.4631917837377607,0.6997810473572875,0.07321697126347851
eegpt_large4e,8,0.6958574397980221,58.92040157318115,0.6951189563623624,0.5144175317185697,0.5136893358876118,0.4915154360415306,0.02741828471850305,0.48240208599403994,0.6951189408141618,0.02230349145271099
eegpt_large4e,9,0.6893804981216551,59.31806492805481,0.7243555309863239,0.4982698961937716,0.49659163473818646,0.3425005012159935,-0.006839605641473456,0.4851372924648787,0.7243555176309623,0.10758122124611437
eegpt_large4e,10,0.6773491277013506,59.642030000686646,0.7040063581389677,0.5017301038062284,0.5009179438058748,0.4722234747711593,0.0018388525560050217,0.5182364836100468,0.7040063446634071,0.07453184873037548
eegpt_large4e,11,0.6514779743126461,59.66966223716736,0.717974822551459,0.5144175317185697,0.5148148148148148,0.5081331653382025,0.029605761638525907,0.5268811196253725,0.7179748094320382,0.09377869640529636
