aug_id,original_local_index,aug_type,label,e_embed_raw,e_proto_raw,e_pred_raw,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,d_band,d_cov_riemann,d_style,e_total,artifact_gate_pass,soft_weight_v1_1,softar_weight_v1_1
gaussian_noise_000_00,0,gaussian_noise,0,0.9999516606330872,0.09792071580886841,-0.0,0.8305084705352783,0.7796609997749329,0.7627118825912476,0.08474576473236084,2.9940273761749268,11.272072792053223,1.8617058992385864,166.59677124023438,1.98305082321167,0,0.9728813767433167,0.0
time_shift_000_01,0,time_shift,0,0.9970418214797974,0.11045408248901367,-0.0,0.5423728823661804,0.7627118825912476,0.9830508232116699,0.5254237055778503,0.8461397886276245,0.0,1.3982425243683205e-12,166.71678161621094,1.9067797660827637,1,0.9593220353126526,0.9593220353126526
time_crop_000_02,0,time_crop,0,0.9998340010643005,0.09613054990768433,-0.0,0.7796609997749329,0.8474576473236084,0.2881355881690979,0.3050847351551056,1.5150824785232544,155.00628662109375,1.566588044166565,153.9005126953125,1.491525411605835,1,0.7423728704452515,0.7423728704452515
frequency_mask_000_03,0,frequency_mask,0,0.998214602470398,0.11417251825332642,-0.0,0.6440678238868713,0.8135592937469482,0.5423728823661804,0.8474576473236084,0.617904007434845,50.97029495239258,1.3121713399887085,165.2170867919922,1.5932203531265259,1,0.8508474230766296,0.8508474230766296
channel_dropout_000_04,0,channel_dropout,0,0.9998212456703186,0.09824764728546143,-0.0,0.8135592937469482,0.4067796468734741,0.11864406615495682,0.6101694703102112,0.7775781750679016,556.4187622070312,15.273491859436035,247.0767822265625,1.1355931758880615,1,0.4847458004951477,0.4847458004951477
mild_frequency_mixup_000_05,0,mild_frequency_mixup,0,0.999843180179596,0.10310345888137817,-0.0,0.8474576473236084,0.7966101765632629,0.37288135290145874,0.8135592937469482,0.6591373085975647,108.19478607177734,1.011470913887024,166.40213012695312,1.618644118309021,1,0.8644067645072937,0.8644067645072937
gaussian_noise_001_00,1,gaussian_noise,1,0.9999604225158691,0.08717143535614014,-0.0,0.7288135886192322,0.7288135886192322,0.7118644118309021,0.18644067645072937,2.5547473430633545,11.504742622375488,2.401054859161377,180.3327178955078,1.8050848245620728,1,0.891525387763977,0.891525387763977
time_shift_001_01,1,time_shift,1,0.9890264868736267,0.06356930732727051,-0.0,0.10169491171836853,0.7457627058029175,0.8644067645072937,0.9661017060279846,0.38471221923828125,0.0,3.425882624460974e-12,179.99696350097656,1.3389830589294434,1,0.6067796945571899,0.6067796945571899
time_crop_001_02,1,time_crop,1,0.9998223185539246,0.08735662698745728,-0.0,0.4576271176338196,0.8305084705352783,0.35593220591545105,0.49152541160583496,0.883087158203125,124.8371353149414,1.5161421298980713,162.89456176757812,1.2288135290145874,1,0.5389830470085144,0.5389830470085144
frequency_mask_001_03,1,frequency_mask,1,0.9992112517356873,0.09072494506835938,-0.0,0.23728813230991364,0.6610169410705566,0.20338982343673706,0.9830508232116699,0.34445920586586,215.6490020751953,2.5099096298217773,202.53773498535156,0.7711864113807678,1,0.33559322357177734,0.33559322357177734
