target_subject,seed,group,n_support,n_aug_total,n_aug_kept,temperature,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NoAug_LS010,10,50,0,1.0,0.5714285714285714,0.5669934640522876,0.5584524810765349,0.13509060955518937,0.6339869281045751,0.6817970084263446,0.07926382677895683,0.48860588669776917
90,20,NaiveAug_LS010,10,50,50,1.0,0.6,0.5947712418300654,0.5833333333333333,0.1914191419141914,0.630718954248366,0.6833339688130696,0.10644737141472951,0.49011310935020447
90,20,RepairedSoftWeight_artifact_gate_physio_LS010,10,50,50,1.0,0.6571428571428571,0.6503267973856208,0.6328671328671329,0.304635761589404,0.6241830065359477,0.6821303598879378,0.13952919585364204,0.48890697956085205
90,20,RepairedSoftWeightTemp_artifact_gate_physio_LS010,10,50,50,0.5,0.6571428571428571,0.6503267973856208,0.6328671328671329,0.304635761589404,0.6241830065359477,0.6782586716442466,0.16005685244287762,0.4841575026512146
90,21,NoAug_LS010,10,50,0,1.0,0.5428571428571428,0.5343137254901961,0.49275362318840576,0.06976744186046513,0.5915032679738562,0.6847196024749417,0.022729204382215228,0.4915488064289093
90,21,NaiveAug_LS010,10,50,50,1.0,0.5714285714285714,0.5604575163398693,0.4897959183673469,0.12353923205342232,0.5915032679738562,0.6852724286012124,0.04649365629468645,0.4921027719974518
90,21,RepairedSoftWeight_artifact_gate_physio_LS010,10,50,50,1.0,0.5714285714285714,0.5669934640522876,0.5584524810765349,0.13509060955518937,0.5849673202614378,0.6846004964398411,0.054651486873626705,0.4914552867412567
90,21,RepairedSoftWeightTemp_artifact_gate_physio_LS010,10,50,50,0.5,0.5714285714285714,0.5669934640522876,0.5584524810765349,0.13509060955518937,0.5849673202614378,0.6821367796610714,0.05089983429227557,0.48873835802078247
91,20,NoAug_LS010,10,50,0,1.0,0.5428571428571428,0.5375816993464052,0.5238095238095237,0.07590759075907583,0.5490196078431373,0.6914120175739303,0.031203913688659667,0.4982643127441406
91,20,NaiveAug_LS010,10,50,50,1.0,0.6,0.5947712418300654,0.5833333333333333,0.1914191419141914,0.5457516339869282,0.690007707834167,0.08632605246135167,0.4968632161617279
91,20,RepairedSoftWeight_artifact_gate_physio_LS010,10,50,50,1.0,0.6,0.5996732026143792,0.5996732026143792,0.19934640522875813,0.5490196078431373,0.6893370587303961,0.11933453508785793,0.49619680643081665
91,20,RepairedSoftWeightTemp_artifact_gate_physio_LS010,10,50,50,0.5,0.6,0.5996732026143792,0.5996732026143792,0.19934640522875813,0.5490196078431373,0.6871260139435592,0.0764705913407462,0.494018018245697
91,21,NoAug_LS010,10,50,0,1.0,0.6,0.5915032679738562,0.5561594202898551,0.18604651162790697,0.5522875816993464,0.683769753332946,0.06934299639293125,0.4906497299671173
91,21,NaiveAug_LS010,10,50,50,1.0,0.6,0.5915032679738562,0.5561594202898551,0.18604651162790697,0.565359477124183,0.6832105781913553,0.0652418851852417,0.4900898039340973
91,21,RepairedSoftWeight_artifact_gate_physio_LS010,10,50,50,1.0,0.5142857142857142,0.5130718954248366,0.5126945126945126,0.026186579378068675,0.5620915032679739,0.6830168803229695,0.14812602400779723,0.48991721868515015
91,21,RepairedSoftWeightTemp_artifact_gate_physio_LS010,10,50,50,0.5,0.5142857142857142,0.5130718954248366,0.5126945126945126,0.026186579378068675,0.5620915032679739,0.6766416073839524,0.08727207779884338,0.48380351066589355
92,20,NoAug_LS010,10,50,0,1.0,0.44680851063829785,0.46636363636363637,0.40098039215686276,-0.06445993031358888,0.3981818181818182,0.7103971065092994,0.08130050846870909,0.5171610713005066
92,20,NaiveAug_LS010,10,50,50,1.0,0.40425531914893614,0.42636363636363633,0.33669354838709675,-0.14038128249566717,0.3927272727272727,0.7121616844954349,0.12684241698143328,0.5189129710197449
92,20,RepairedSoftWeight_artifact_gate_physio_LS010,10,50,50,1.0,0.46808510638297873,0.4645454545454546,0.4642042863657091,-0.07110300820419324,0.4000000000000001,0.7066489587431548,0.07017887177619528,0.5134121775627136
92,20,RepairedSoftWeightTemp_artifact_gate_physio_LS010,10,50,50,0.5,0.46808510638297873,0.4645454545454546,0.4642042863657091,-0.07110300820419324,0.4000000000000001,0.7229761891776221,0.09903468667192662,0.5290569067001343
92,21,NoAug_LS010,10,50,0,1.0,0.44680851063829785,0.44181818181818183,0.44047619047619047,-0.11700182815356497,0.36363636363636365,0.7038710183944089,0.07339827399304573,0.5106943249702454
92,21,NaiveAug_LS010,10,50,50,1.0,0.44680851063829785,0.44181818181818183,0.44047619047619047,-0.11700182815356497,0.3654545454545455,0.7043753030950446,0.07437942763592334,0.5111989378929138
92,21,RepairedSoftWeight_artifact_gate_physio_LS010,10,50,50,1.0,0.48936170212765956,0.4818181818181818,0.47777777777777775,-0.03676470588235281,0.3545454545454545,0.7037719546202318,0.11024190517182045,0.510593831539154
92,21,RepairedSoftWeightTemp_artifact_gate_physio_LS010,10,50,50,0.5,0.48936170212765956,0.4818181818181818,0.47777777777777775,-0.03676470588235281,0.3545454545454545,0.7168506284705628,0.16478556838441405,0.5234333276748657
