target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,SASCert_SoftAR_LS010-vs-NaiveAug_LS010,0.05228758169934644,0.018939393939393923,0.05635248252323696,0.0019116198564931297,0.0018787384033203125,1
90,20,SASCert_SoftAR_LS010-vs-ArtifactReject_LS010,0.10620915032679734,0.06279904306220085,0.06569585544722421,0.0010140307013452032,0.0009781122207641602,1
90,20,SASCert_SoftAR_LS010-vs-SoftWeight_noReject_LS010,0.05882352941176472,0.09227272727272717,0.08819817645209176,-0.00026133047833387657,-0.0002671778202056885,1
90,21,SASCert_SoftAR_LS010-vs-NaiveAug_LS010,-0.03104575163398693,-0.0880865166579452,0.07194527643067497,0.0009240097994250851,0.0009032487869262695,0
90,21,SASCert_SoftAR_LS010-vs-ArtifactReject_LS010,-0.0016339869281045694,-0.03829059829059822,0.02712644764355253,6.779565023762313e-05,5.894899368286133e-05,0
90,21,SASCert_SoftAR_LS010-vs-SoftWeight_noReject_LS010,-0.03104575163398693,-0.0880865166579452,0.07120535288538252,0.0008986038175728961,0.0008855462074279785,0
91,20,SASCert_SoftAR_LS010-vs-NaiveAug_LS010,-0.04901960784313719,-0.04385964912280693,-0.049402732508523124,0.0015080493306521836,0.0015099644660949707,0
91,20,SASCert_SoftAR_LS010-vs-ArtifactReject_LS010,-0.05228758169934633,-0.05756578947368418,-0.04633573974881854,0.0008784912282211454,0.0008791685104370117,0
91,20,SASCert_SoftAR_LS010-vs-SoftWeight_noReject_LS010,-0.0212418300653594,-0.018978796866008563,-0.02273512056895665,0.000443277747188664,0.0004469156265258789,0
91,21,SASCert_SoftAR_LS010-vs-NaiveAug_LS010,-0.0016339869281045694,-0.02017457180500659,0.028105463300432468,0.0012762369769034887,0.001267939805984497,0
91,21,SASCert_SoftAR_LS010-vs-ArtifactReject_LS010,-0.0016339869281045694,-0.02017457180500659,0.026021066733769,0.001347988737080863,0.0013363361358642578,0
91,21,SASCert_SoftAR_LS010-vs-SoftWeight_noReject_LS010,-0.02777777777777779,-0.021838280766852125,-0.0685753243310111,-0.0006167786752390159,-0.00061798095703125,0
92,20,SASCert_SoftAR_LS010-vs-NaiveAug_LS010,0.03181818181818186,0.09756571087216248,-0.0503393253113361,-0.002433904426240807,-0.0024217963218688965,1
92,20,SASCert_SoftAR_LS010-vs-ArtifactReject_LS010,0.017272727272727273,0.035966229387281945,-0.02516273488389685,-0.0018145376068385843,-0.0018098950386047363,1
92,20,SASCert_SoftAR_LS010-vs-SoftWeight_noReject_LS010,0.017272727272727273,0.035966229387281945,-0.02521555537873127,-0.0008673218064400023,-0.0008661746978759766,1
92,21,SASCert_SoftAR_LS010-vs-NaiveAug_LS010,0.07181818181818184,0.03835445468509985,0.10982456422866657,-0.0021020702660188295,-0.0021116137504577637,1
92,21,SASCert_SoftAR_LS010-vs-ArtifactReject_LS010,0.034545454545454546,0.008905833131215124,0.07127317595989145,-0.00044370637646540256,-0.00045186281204223633,1
92,21,SASCert_SoftAR_LS010-vs-SoftWeight_noReject_LS010,0.07181818181818184,0.03835445468509985,0.11000372057265423,-0.0022581670982788626,-0.0022666454315185547,1
