aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score
clean_000_00,0,clean,0,0.12244898080825806,0.10204081982374191,0.4897959232330322,0.5714285969734192,222.10650634765625,0.36938777565956116
clean_000_01,0,clean,0,0.36734694242477417,0.9387755393981934,0.9795918464660645,0.4897959232330322,234.08505249023438,0.4346938729286194
bad_artifact_000_02,0,bad_artifact,0,0.9387755393981934,0.26530611515045166,0.6326530575752258,0.0,1531.983642578125,0.422448992729187
bad_content_000_03,0,bad_content,0,0.4897959232330322,0.5918367505073547,0.2857142984867096,0.8979591727256775,0.21688838303089142,0.7142857313156128
bad_physio_000_04,0,bad_physio,0,0.795918345451355,0.7551020383834839,0.30612245202064514,0.6530612111091614,1.7716273069381714,0.7173469066619873
clean_001_00,1,clean,0,0.3877550959587097,0.8367347121238708,0.8775510191917419,0.44897958636283875,244.21153259277344,0.4214285612106323
clean_001_01,1,clean,0,0.08163265138864517,0.8775510191917419,0.7551020383834839,0.3265306055545807,272.80621337890625,0.2163265347480774
bad_artifact_001_02,1,bad_artifact,0,0.9795918464660645,0.3265306055545807,0.6122449040412903,0.08163265138864517,1067.890380859375,0.48571425676345825
bad_content_001_03,1,bad_content,0,0.44897958636283875,0.5102040767669678,0.26530611515045166,0.8367347121238708,0.3529852628707886,0.6622449159622192
bad_physio_001_04,1,bad_physio,0,0.8775510191917419,0.7755101919174194,0.12244898080825806,0.6122449040412903,2.925602912902832,0.731632649898529
clean_002_00,2,clean,0,0.40816327929496765,0.795918345451355,0.8367347121238708,0.3469387888908386,263.25640869140625,0.37448981404304504
clean_002_01,2,clean,0,0.26530611515045166,0.040816325694322586,0.4693877696990967,0.2857142984867096,281.23077392578125,0.2765306234359741
bad_artifact_002_02,2,bad_artifact,0,0.7755101919174194,0.2448979616165161,0.6530612111091614,0.12244898080825806,756.4735107421875,0.41632649302482605
bad_content_002_03,2,bad_content,0,0.4693877696990967,0.6122449040412903,0.16326530277729034,0.8571428656578064,0.31791526079177856,0.6826530694961548
bad_physio_002_04,2,bad_physio,0,0.5510203838348389,0.44897958636283875,0.18367347121238708,0.6326530575752258,2.4269556999206543,0.5959183573722839
clean_003_00,3,clean,1,0.020408162847161293,0.9591836929321289,0.795918345451355,0.26530611515045166,281.3175048828125,0.15510204434394836
clean_003_01,3,clean,1,0.2448979616165161,0.020408162847161293,0.4285714328289032,0.40816327929496765,257.615234375,0.33469387888908386
bad_artifact_003_02,3,bad_artifact,1,0.6530612111091614,0.22448979318141937,0.5714285969734192,0.06122449040412903,1159.10546875,0.327551007270813
bad_content_003_03,3,bad_content,1,0.20408163964748383,0.5306122303009033,0.08163265138864517,0.9591836929321289,0.12660114467144012,0.6193878054618835
bad_physio_003_04,3,bad_physio,1,0.8571428656578064,0.4285714328289032,0.10204081982374191,0.6734693646430969,1.664797067642212,0.7561224699020386
clean_004_00,4,clean,1,0.1428571492433548,0.06122449040412903,0.5510203838348389,0.5918367505073547,214.3705596923828,0.3897959589958191
clean_004_01,4,clean,1,0.4285714328289032,1.0,1.0,0.30612245202064514,280.1883850097656,0.361224502325058
bad_artifact_004_02,4,bad_artifact,1,0.918367326259613,0.16326530277729034,0.7142857313156128,0.16326530277729034,387.2120666503906,0.5030611753463745
bad_content_004_03,4,bad_content,1,0.6734693646430969,0.6530612111091614,0.5102040767669678,0.9387755393981934,0.1971282958984375,0.8193877935409546
bad_physio_004_04,4,bad_physio,1,0.6122449040412903,0.3877550959587097,0.2448979616165161,0.7142857313156128,1.4492881298065186,0.6683673858642578
clean_005_00,5,clean,1,0.10204081982374191,0.7142857313156128,0.8979591727256775,0.5510203838348389,227.01185607910156,0.3489795923233032
clean_005_01,5,clean,1,0.2857142984867096,0.7346938848495483,0.8571428656578064,0.22448979318141937,294.7017822265625,0.252040833234787
bad_artifact_005_02,5,bad_artifact,1,0.8367347121238708,0.30612245202064514,0.5306122303009033,0.020408162847161293,1531.62548828125,0.3877550959587097
bad_content_005_03,5,bad_content,1,0.3265306055545807,0.40816327929496765,0.020408162847161293,0.8775510191917419,0.23552703857421875,0.6295918226242065
bad_physio_005_04,5,bad_physio,1,0.6938775777816772,0.36734694242477417,0.22448979318141937,0.7551020383834839,1.0203027725219727,0.7275509834289551
clean_006_00,6,clean,0,0.16326530277729034,0.8163265585899353,0.9591836929321289,0.4693877696990967,244.0000762939453,0.33163267374038696
clean_006_01,6,clean,0,0.3469387888908386,0.8571428656578064,0.918367326259613,0.5306122303009033,227.4296112060547,0.44795918464660645
bad_artifact_006_02,6,bad_artifact,0,0.9591836929321289,0.1428571492433548,0.6938775777816772,0.18367347121238708,378.7107238769531,0.5326530337333679
bad_content_006_03,6,bad_content,0,0.6326530575752258,0.6734693646430969,0.3469387888908386,0.9795918464660645,0.0248393751680851,0.8234694004058838
bad_physio_006_04,6,bad_physio,0,0.7142857313156128,0.4897959232330322,0.36734694242477417,0.7755101919174194,1.0003572702407837,0.7479591965675354
clean_007_00,7,clean,0,0.040816325694322586,0.20408163964748383,0.40816327929496765,0.2448979616165161,283.0061950683594,0.15306122601032257
clean_007_01,7,clean,0,0.18367347121238708,0.0,0.44897958636283875,0.5102040767669678,229.6024627685547,0.36326533555984497
bad_artifact_007_02,7,bad_artifact,0,0.8979591727256775,0.12244898080825806,0.5918367505073547,0.1428571492433548,754.4810180664062,0.48265305161476135
bad_content_007_03,7,bad_content,0,0.5306122303009033,0.5714285969734192,0.20408163964748383,0.918367326259613,0.2076195776462555,0.7438775300979614
bad_physio_007_04,7,bad_physio,0,1.0,0.6938775777816772,0.1428571492433548,0.795918345451355,0.585952639579773,0.8877550959587097
clean_008_00,8,clean,1,0.0,0.918367326259613,0.8163265585899353,0.36734694242477417,262.4319152832031,0.20204082131385803
clean_008_01,8,clean,1,0.5102040767669678,0.9795918464660645,0.7755101919174194,0.3877550959587097,260.4256896972656,0.44285714626312256
bad_artifact_008_02,8,bad_artifact,1,0.5918367505073547,0.18367347121238708,0.6734693646430969,0.10204081982374191,954.7495727539062,0.3224489688873291
bad_content_008_03,8,bad_content,1,0.22448979318141937,0.5510203838348389,0.06122449040412903,1.0,0.012714087031781673,0.6510204076766968
bad_physio_008_04,8,bad_physio,1,0.7551020383834839,0.3469387888908386,0.0,0.7346938848495483,1.4403108358383179,0.7438775300979614
clean_009_00,9,clean,1,0.30612245202064514,0.8979591727256775,0.9387755393981934,0.20408163964748383,297.8033752441406,0.25
clean_009_01,9,clean,1,0.06122449040412903,0.08163265138864517,0.3877550959587097,0.4285714328289032,248.08213806152344,0.26326531171798706
bad_artifact_009_02,9,bad_artifact,1,0.8163265585899353,0.2857142984867096,0.7346938848495483,0.040816325694322586,1311.182861328125,0.3897959291934967
bad_content_009_03,9,bad_content,1,0.5714285969734192,0.6326530575752258,0.3265306055545807,0.8163265585899353,0.3907031714916229,0.7061225175857544
bad_physio_009_04,9,bad_physio,1,0.7346938848495483,0.4693877696990967,0.040816325694322586,0.6938775777816772,1.5090904235839844,0.7122449278831482
