aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score
clean_000_00,0,clean,0,0.020408162847161293,0.06122449040412903,0.4285714328289032,0.5714285969734192,226.77557373046875,0.3234694004058838
clean_000_01,0,clean,0,0.3265306055545807,0.7755101919174194,0.8571428656578064,0.4897959232330322,239.00209045410156,0.41632652282714844
bad_artifact_000_02,0,bad_artifact,0,0.8979591727256775,0.16326530277729034,0.7142857313156128,0.020408162847161293,1561.352294921875,0.41530609130859375
bad_content_000_03,0,bad_content,0,0.4897959232330322,0.36734694242477417,0.16326530277729034,0.8367347121238708,0.6704309582710266,0.6806122660636902
bad_physio_000_04,0,bad_physio,0,0.918367326259613,0.6326530575752258,0.1428571492433548,0.6122449040412903,2.915343761444092,0.75
clean_001_00,1,clean,0,0.4285714328289032,0.6530612111091614,0.7755101919174194,0.44897958636283875,249.8624267578125,0.43979591131210327
clean_001_01,1,clean,0,0.16326530277729034,0.6122449040412903,0.8163265585899353,0.3265306055545807,279.0722351074219,0.2530612349510193
bad_artifact_001_02,1,bad_artifact,0,0.9387755393981934,0.30612245202064514,0.6938775777816772,0.08163265138864517,1094.70654296875,0.4673469662666321
bad_content_001_03,1,bad_content,0,0.40816327929496765,0.3877550959587097,0.2448979616165161,0.8571428656578064,0.6221604943275452,0.655102014541626
bad_physio_001_04,1,bad_physio,0,1.0,0.5306122303009033,0.20408163964748383,0.7551020383834839,1.2439696788787842,0.8653061389923096
clean_002_00,2,clean,0,0.2857142984867096,0.5918367505073547,0.8775510191917419,0.36734694242477417,268.21453857421875,0.3306122422218323
clean_002_01,2,clean,0,0.08163265138864517,0.040816325694322586,0.4897959232330322,0.30612245202064514,286.52410888671875,0.20510205626487732
bad_artifact_002_02,2,bad_artifact,0,0.8367347121238708,0.26530611515045166,0.6122449040412903,0.1428571492433548,770.715087890625,0.4551020562648773
bad_content_002_03,2,bad_content,0,0.30612245202064514,0.4285714328289032,0.26530611515045166,0.7142857313156128,1.4806318283081055,0.5306122303009033
bad_physio_002_04,2,bad_physio,0,0.9591836929321289,0.5714285969734192,0.36734694242477417,0.6326530575752258,2.8548085689544678,0.7795917987823486
clean_003_00,3,clean,1,0.1428571492433548,0.8367347121238708,0.8367347121238708,0.26530611515045166,289.63385009765625,0.2102040946483612
clean_003_01,3,clean,1,0.040816325694322586,0.020408162847161293,0.22448979318141937,0.40816327929496765,265.2389221191406,0.2428571581840515
bad_artifact_003_02,3,bad_artifact,1,0.3469387888908386,0.22448979318141937,0.5714285969734192,0.06122449040412903,1193.4453125,0.18979591131210327
bad_content_003_03,3,bad_content,1,0.4693877696990967,0.40816327929496765,0.0,0.8979591727256775,0.29191863536834717,0.7051020860671997
bad_physio_003_04,3,bad_physio,1,0.6326530575752258,0.7142857313156128,0.040816325694322586,0.795918345451355,1.1596428155899048,0.7224489450454712
clean_004_00,4,clean,1,0.06122449040412903,0.10204081982374191,0.4693877696990967,0.5918367505073547,220.50003051757812,0.3530612587928772
clean_004_01,4,clean,1,0.2448979616165161,0.9591836929321289,0.9387755393981934,0.2857142984867096,288.1745910644531,0.26734694838523865
bad_artifact_004_02,4,bad_artifact,1,0.8775510191917419,0.3265306055545807,0.6734693646430969,0.16326530277729034,397.859619140625,0.48469385504722595
bad_content_004_03,4,bad_content,1,0.5918367505073547,0.4897959232330322,0.30612245202064514,1.0,0.007033548317849636,0.8163264989852905
bad_physio_004_04,4,bad_physio,1,0.7142857313156128,0.795918345451355,0.12244898080825806,0.8163265585899353,0.9807278513908386,0.7704081535339355
clean_005_00,5,clean,1,0.20408163964748383,0.8775510191917419,0.8979591727256775,0.5306122303009033,233.06881713867188,0.3836734890937805
clean_005_01,5,clean,1,0.22448979318141937,0.8979591727256775,0.9795918464660645,0.22448979318141937,302.88201904296875,0.22448979318141937
bad_artifact_005_02,5,bad_artifact,1,0.5714285969734192,0.2857142984867096,0.6530612111091614,0.0,1579.368408203125,0.2571428716182709
bad_content_005_03,5,bad_content,1,0.5510203838348389,0.4693877696990967,0.3265306055545807,0.9795918464660645,0.011343435384333134,0.7867347002029419
bad_physio_005_04,5,bad_physio,1,0.5102040767669678,0.7551020383834839,0.10204081982374191,0.6530612111091614,1.5522289276123047,0.5887755155563354
clean_006_00,6,clean,0,0.3877550959587097,0.9387755393981934,0.9591836929321289,0.4693877696990967,248.43701171875,0.4326530694961548
clean_006_01,6,clean,0,0.26530611515045166,0.918367326259613,1.0,0.5510203838348389,231.6891326904297,0.4224489629268646
bad_artifact_006_02,6,bad_artifact,0,0.7755101919174194,0.18367347121238708,0.6326530575752258,0.18367347121238708,387.3806457519531,0.44999998807907104
bad_content_006_03,6,bad_content,0,0.6734693646430969,0.5102040767669678,0.40816327929496765,0.918367326259613,0.2110481858253479,0.8081632852554321
bad_physio_006_04,6,bad_physio,0,0.9795918464660645,0.7346938848495483,0.3469387888908386,0.7346938848495483,1.2584635019302368,0.844897985458374
clean_007_00,7,clean,0,0.0,0.08163265138864517,0.5306122303009033,0.2448979616165161,291.5802001953125,0.13469387590885162
clean_007_01,7,clean,0,0.12244898080825806,0.0,0.5918367505073547,0.5102040767669678,236.57504272460938,0.33571431040763855
bad_artifact_007_02,7,bad_artifact,0,0.7346938848495483,0.1428571492433548,0.5102040767669678,0.12244898080825806,778.736083984375,0.3979591727256775
bad_content_007_03,7,bad_content,0,0.795918345451355,0.5510203838348389,0.44897958636283875,0.8775510191917419,0.4379204511642456,0.8408163189888
bad_physio_007_04,7,bad_physio,0,0.8571428656578064,0.6734693646430969,0.3877550959587097,0.7755101919174194,1.2349059581756592,0.8122448921203613
clean_008_00,8,clean,1,0.44897958636283875,0.9795918464660645,0.795918345451355,0.3469387888908386,269.13385009765625,0.3928571343421936
clean_008_01,8,clean,1,0.6122449040412903,1.0,0.7551020383834839,0.3877550959587097,267.0086975097656,0.48877549171447754
bad_artifact_008_02,8,bad_artifact,1,0.5306122303009033,0.20408163964748383,0.5510203838348389,0.10204081982374191,979.216552734375,0.2948979437351227
bad_content_008_03,8,bad_content,1,0.18367347121238708,0.3469387888908386,0.08163265138864517,0.9387755393981934,0.12191670387983322,0.5989795923233032
bad_physio_008_04,8,bad_physio,1,0.8163265585899353,0.8163265585899353,0.06122449040412903,0.6734693646430969,1.5372893810272217,0.7377550601959229
clean_009_00,9,clean,1,0.36734694242477417,0.8571428656578064,0.918367326259613,0.20408163964748383,304.4859313964844,0.2775510251522064
clean_009_01,9,clean,1,0.10204081982374191,0.12244898080825806,0.2857142984867096,0.4285714328289032,253.6128387451172,0.281632661819458
bad_artifact_009_02,9,bad_artifact,1,0.6938775777816772,0.2448979616165161,0.7346938848495483,0.040816325694322586,1343.1761474609375,0.33469387888908386
bad_content_009_03,9,bad_content,1,0.7551020383834839,0.44897958636283875,0.18367347121238708,0.9591836929321289,0.02436424233019352,0.867347002029419
bad_physio_009_04,9,bad_physio,1,0.6530612111091614,0.6938775777816772,0.020408162847161293,0.6938775777816772,1.5000801086425781,0.6755102276802063
