aug_type,n,artifact_risk_raw_mean,artifact_risk_raw_std,artifact_risk_raw_p10,artifact_risk_raw_p90,artifact_safe_score_mean,artifact_safe_score_std,artifact_safe_score_p10,artifact_safe_score_p90,content_score_mean,content_score_std,content_score_p10,content_score_p90,content_score_v1_2_mean,content_score_v1_2_std,content_score_v1_2_p10,content_score_v1_2_p90,physio_score_mean,physio_score_std,physio_score_p10,physio_score_p90,style_score_mean,style_score_std,style_score_p10,style_score_p90,e_total_mean,e_total_std,e_total_p10,e_total_p90,e_total_v1_2_mean,e_total_v1_2_std,e_total_v1_2_p10,e_total_v1_2_p90,soft_weight_v1_1_mean,soft_weight_v1_1_std,soft_weight_v1_1_p10,soft_weight_v1_1_p90,softar_weight_v1_1_mean,softar_weight_v1_1_std,softar_weight_v1_1_p10,softar_weight_v1_1_p90,softsafe_weight_v1_2_mean,softsafe_weight_v1_2_std,softsafe_weight_v1_2_p10,softsafe_weight_v1_2_p90,content_score_v1_3_mean,content_score_v1_3_std,content_score_v1_3_p10,content_score_v1_3_p90,content_utility_weight_v1_3_mean,content_utility_weight_v1_3_std,content_utility_weight_v1_3_p10,content_utility_weight_v1_3_p90,raw_ce_loss_mean,raw_ce_loss_std,raw_ce_loss_p10,raw_ce_loss_p90,aug_correctness_mean,aug_correctness_std,aug_correctness_p10,aug_correctness_p90,d_band_mean,d_band_std,d_band_p10,d_band_p90,d_cov_riemann_mean,d_cov_riemann_std,d_cov_riemann_p10,d_cov_riemann_p90,d_style_mean,d_style_std,d_style_p10,d_style_p90
ALL,6000,1.581825144531826,1.57477285893954,0.41933172345161435,3.1730990648269652,0.4999999995343387,0.29352715703898696,0.09999999701976738,0.8999999761581483,0.4999999995343387,0.2935271570389869,0.09999999701976738,0.8999999761581483,0.4999999995343387,0.29352715703898696,0.09999999701976738,0.8999999761581483,0.4999999995343387,0.2935271570389869,0.09999999701976738,0.8999999761581483,0.4999999995343387,0.2935271570389869,0.09999999701976738,0.8999999761581483,1.2500000005885958,0.4642622146804372,0.5932203531265259,1.8474576473236084,1.2206454789601267,0.4283246300580609,0.6793952405452728,1.7935277342796325,0.6000000034769376,0.23482172577818164,0.27999998629093137,0.9200000047683765,0.5351231670702498,0.28503710145526734,0.18000000268220445,0.9186440706253052,0.6867697738905748,0.26424697116490237,0.5,0.9491525292396545,0.4999999995343387,0.29352715703898696,0.09999999701976738,0.8999999761581483,0.9999999970197677,0.14676357439163226,0.8000000119209287,1.1999999284744294,1.1672494013549692,2.864580304381818,-0.0,4.580221509933475,0.7845,0.41116876097291244,0.0,1.0,185.38878827762605,246.03411109285722,0.0,567.0789428710939,3.8882164306098237,5.606243757559545,1.9809975057918927e-12,15.966591930389406,212.45575682512919,85.61109426776315,120.4760528564453,330.7049438476563
channel_dropout,1000,1.2377072027251124,1.293190348104384,0.41226792931556705,2.3977946043014526,0.58993220359087,0.25540430711326584,0.20338982343673706,0.8999999761581424,0.4624576263297349,0.2671230397691394,0.11864406615495682,0.8305084705352783,0.4584915248509496,0.26410478158849077,0.11694915071129809,0.8305084705352783,0.1041355924345553,0.06235644556945976,0.016949152573943138,0.18644067645072937,0.25589830442890527,0.19303469864406547,0.016949152573943138,0.5254237055778503,0.6945423731952906,0.3056311115207994,0.3050847351551056,1.1025423884391787,0.8937116094008088,0.36080687070081424,0.4333323687314987,1.3801637291908264,0.32954576528072355,0.11055387445199437,0.2135593295097351,0.4847458004951477,0.31445084992051126,0.1285658140717201,0.20000000298023224,0.4847458004951477,0.6078305095434189,0.1873551962869176,0.5,0.8220338821411133,0.4584915248509496,0.26410478158849077,0.11694915071129809,0.8305084705352783,0.9792457605004311,0.13205238922290138,0.808474600315094,1.1652542352676392,1.1838245115321342,2.798201473979787,-0.0,4.598801803588869,0.772,0.41954260808647315,0.0,1.0,565.8785102844238,130.33460433412728,409.4408325195312,748.0759582519531,16.1955594625473,0.6778666122956823,15.403599548339844,17.121074295043947,261.4015995941162,69.98979659409399,190.75603942871095,353.2232940673828
frequency_mask,1000,1.1691407902687787,1.3439156728100883,0.321014878153801,2.385035037994385,0.6376271177176386,0.2736023730028567,0.2016949087381364,0.9661017060279846,0.44115254245325924,0.2789715265414331,0.08474576473236084,0.8305084705352783,0.4311694911532104,0.2742696962254943,0.06779661029577255,0.8135592937469482,0.5283389820083976,0.24742419842028926,0.11864406615495682,0.8135592937469482,0.497423728896305,0.296931978486132,0.08305084928870211,0.9152542352676392,1.2182033877409995,0.49718082432990407,0.5,1.8559322357177734,1.2887567827627062,0.5326303235323048,0.6102169513702392,2.017276644706726,0.5877423759698868,0.24274245925632731,0.2542372941970825,0.9322034120559692,0.5594305114299059,0.2690898396035258,0.22711864113807678,0.9186440706253052,0.7320423718690873,0.23868592947774034,0.5169491767883301,0.9830508232116699,0.4311694911532104,0.2742696962254943,0.06779661029577255,0.8135592937469482,0.9655847445726394,0.13713484590196842,0.7838982939720154,1.1567796468734741,1.1914005999462598,2.908766482536459,-0.0,4.7787472248077405,0.781,0.41356861583055354,0.0,1.0,165.28298211050034,297.3739943705774,3.705276083946228,561.1988098144532,1.520921197503805,1.0627076752387787,0.1999389171600342,3.078574800491334,214.4483793144226,90.45239429157027,119.55557708740234,342.7602294921875
gaussian_noise,1000,2.5873051100969313,1.485952587814538,1.3481604099273683,4.070946502685547,0.2017118637636304,0.1374838519268706,0.016949152573943138,0.38983049988746643,0.7135423727035523,0.23604589919638005,0.37288135290145874,0.9830508232116699,0.7350847445949912,0.22607977499749213,0.4067796468734741,0.9830508232116699,0.7125423755645752,0.055732563998989335,0.6440678238868713,0.7796609997749329,0.5648644056543708,0.283718925830746,0.1525423675775528,0.9322034120559692,1.7085169533491134,0.29348290288637247,1.2966101169586182,2.0847456455230713,1.3481558386087418,0.29119586533896186,0.9887245774269104,1.7345648050308227,0.8385627148151398,0.1484898445157256,0.6189830482006073,0.9864406585693359,0.6500339006483555,0.37669279245736287,0.0,0.9864406585693359,0.6500254240632057,0.34224875999163806,0.0,0.9406780004501343,0.7350847445949912,0.22607977499749213,0.4067796468734741,0.9830508232116699,1.1175423659086228,0.11303988134180426,0.9533898234367371,1.241525411605835,1.1161385035960953,2.7827663081415674,-0.0,4.286009645462037,0.791,0.4065943924846972,0.0,1.0,11.186785065174103,1.3104512613876518,9.434162044525147,12.808503913879395,2.437701265156269,1.226906312030069,1.1938401460647583,3.843086361885071,199.37623483657836,83.84774724061961,115.47480773925781,318.6651580810547
mild_frequency_mixup,1000,1.1491001951098443,1.345744038367589,0.2998451620340347,2.3622648239135744,0.6507457619011402,0.27629861669277034,0.22033898532390594,0.9830508232116699,0.5364915240537376,0.26856711129788513,0.16949152946472168,0.8983050584793091,0.5349830506406724,0.26240436056858435,0.16949152946472168,0.8813559412956238,0.3821694906279445,0.09191020077499691,0.2711864411830902,0.508474588394165,0.5531186440102756,0.2763876451426863,0.1525423675775528,0.9152542352676392,1.195220338433981,0.3113682845723564,0.7796609997749329,1.601694941520691,1.3233914035856724,0.40155550803724493,0.8132446825504304,1.8829231023788453,0.5569627154618502,0.17829127920960205,0.33559322357177734,0.810169517993927,0.5304033931940794,0.21212244748728462,0.29491525888442993,0.810169517993927,0.748211863398552,0.2276744201687394,0.5593220591545105,0.9661017060279846,0.5349830506406724,0.26240436056858435,0.16949152946472168,0.8813559412956238,1.017491523385048,0.1312021771610091,0.8347457647323608,1.1906780004501343,1.174415018685485,2.8758736413204087,-0.0,4.60098876953125,0.781,0.41356861583055354,0.0,1.0,153.3777271118164,75.02876265861171,76.89014587402343,253.97552642822268,1.6313696737885475,0.7449771797291697,1.0869281530380248,2.6004215478897095,199.6860710105896,82.24091720135178,117.56095123291016,312.81531982421876
time_crop,1000,2.036644360437989,1.9337598930218136,0.6957787990570068,3.9704186201095584,0.3733389832358807,0.23902047592714262,0.033898305147886276,0.7118644118309021,0.5986949148792774,0.2640385691080878,0.23559321761131297,0.9491525292396545,0.6092203388288617,0.2623096228480904,0.23728813230991364,0.9491525292396545,0.3490847448296845,0.13793818055366275,0.18644067645072937,0.5254237055778503,0.5602711866311729,0.2811367660192273,0.11864406615495682,0.9322034120559692,1.2279152535460889,0.3626404511609165,0.7372881174087524,1.6864407062530518,1.1615243524089456,0.40394497529476253,0.6651019752025604,1.7052139639854431,0.5821966137140989,0.19583343000700199,0.3220338821411133,0.8508474230766296,0.5019389863759279,0.2793644621505564,0.0,0.8508474230766296,0.6419999997615814,0.2943490641942588,0.0,0.9406780004501343,0.6092203388288617,0.2623096228480904,0.23728813230991364,0.9491525292396545,1.0546101638674736,0.13115480647207287,0.8686440587043762,1.2245762348175049,1.1781664332188024,2.906053397996997,-0.0,4.909924125671386,0.791,0.40659439248469725,0.0,1.0,216.60672509384156,200.63895048404166,75.24899597167969,420.4752960205078,1.5437469846606255,0.20923389178672477,1.2949085116386414,1.776525855064392,200.4931282157898,83.7873829969218,118.58642883300782,316.6524597167969
time_shift,1000,1.311053208552301,1.3694352704538195,0.43427176475524903,2.539703702926636,0.5466440669968724,0.25988113820338515,0.1355932205915451,0.8644067645072937,0.247661016786471,0.21210119453837842,0.016949152573943138,0.5762711763381958,0.23105084713734686,0.18970378376200597,0.016949152573943138,0.5254237055778503,0.9237288117408753,0.048682731303049995,0.8627118527889253,0.9847457408905033,0.5684237275850028,0.28400358706854445,0.1525423675775528,0.9322034120559692,1.455601697266102,0.2692659544495404,1.110169529914856,1.8559322357177734,1.308332886993885,0.3579901687977061,0.8613746643066407,1.8138710856437683,0.7049898356199265,0.15528588118728487,0.4847458004951477,0.9186440706253052,0.6544813608527184,0.23609118959849945,0.4440677762031555,0.9186440706253052,0.7405084747076035,0.2301654347936829,0.5762711763381958,0.9576271176338196,0.23105084713734686,0.18970378376200597,0.016949152573943138,0.5254237055778503,0.8655254238843918,0.0948518885777396,0.758474588394165,1.0127118825912476,1.1595513411510392,2.9121785621242555,-0.0,4.454409885406495,0.791,0.40659439248469725,0.0,1.0,0.0,0.0,0.0,0.0,2.393034107244646e-12,2.504549394270354e-12,5.969516385113255e-13,4.562426261442432e-12,199.32912797927855,83.85578735519307,115.47137069702148,318.7313720703125
