target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.27121996879577637,0.2883918583393097,0.2883918583393097,0.5596117973327637,3.3602078437805183,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9738562091503268,0.22245862969137264,0.13826129095894948,0.11665753275156021
90,20,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.2322492152452469,0.2551334798336029,0.24557727575302124,0.47782647609710693,3.3602078437805183,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.16875681722794947,0.10027176993233816,0.08475642651319504
90,20,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.24032562971115112,0.26037460565567017,0.25749650597572327,0.4978221356868744,3.3602078437805183,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.18763910450998117,0.10808685847691127,0.09469970315694809
90,21,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.3543269634246826,0.3713703751564026,0.3713703453540802,0.7256972789764404,2.7428706645965577,0,0,1.0,1.0,1.0,1.0,1.0,0.044455285416149175,0.03986201797212873,0.015316837467253208
90,21,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.3550569713115692,0.37275174260139465,0.37811118364334106,0.7331681251525879,2.7428706645965577,0,0,1.0,1.0,1.0,1.0,1.0,0.040283946181394865,0.036658244473593574,0.012386037036776543
90,21,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.3554152846336365,0.374472439289093,0.3729809820652008,0.7283962965011597,2.7428706645965577,0,0,1.0,1.0,1.0,1.0,1.0,0.04200862173778638,0.03797719138009207,0.013609735295176506
90,22,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.24130859971046448,0.24385978281497955,0.24385976791381836,0.48516836762428284,4.39075722694397,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9901960784313726,0.14399860611122822,0.07635802030563354,0.0774075835943222
90,22,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,36.0,0.6,0.2581899166107178,0.2614586651325226,0.25174856185913086,0.5099384784698486,4.39075722694397,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.15586924127386495,0.08948682376316615,0.08462867140769958
90,22,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,1.0,1.0,60.0,1.0,0.2502915561199188,0.25288671255111694,0.2496231347322464,0.4999147057533264,4.39075722694397,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.15148442120490554,0.08799985987799508,0.08244077116250992
90,23,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.22576117515563965,0.23784971237182617,0.23784969747066498,0.4636108875274658,5.423462533950814,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,0.9771241830065359,0.2042031212845802,0.08206116982868739,0.10639879107475281
90,23,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000834465027,0.6000000834465027,36.000003814697266,0.6000000635782877,0.24679034948349,0.24891966581344604,0.2464485913515091,0.4932389259338379,5.423462533950814,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.15668420069905137,0.0820795348712376,0.07924163341522217
