target_subject,seed,aug_id,augmentation_type,label,E_embed,E_proto,E_pred,E_content,artifact_score,artifact_safe,E_physio,E_style,D_band,D_cov,D_style,content_utility_weight,raw_CE_loss,augmented_correctness,nonfinite_content_skip
100,20,gaussian_noise_000_00,gaussian_noise,1,0.9999896883964539,-0.009165763854980469,-7.52864871174097e-05,0.5593220591545105,2.197883367538452,0.20338982343673706,0.7627118825912476,0.016949152573943138,10.461311340332031,0.918537437915802,424.9366760253906,1.0296610593795776,4.943819522857666,0,0
100,20,time_shift_000_01,time_shift,1,0.9870373606681824,0.03981602191925049,-5.104758262634277,0.050847455859184265,0.8967577815055847,0.7118644118309021,1.0,0.033898305147886276,0.0,3.230647628756078e-13,424.9288330078125,0.7754237055778503,0.005561229772865772,1,0
100,20,time_crop_000_02,time_crop,1,0.9999269247055054,-0.010185599327087402,-0.0004820423200726509,0.35593220591545105,1.2941205501556396,0.508474588394165,0.38983049988746643,0.06779661029577255,123.73229217529297,1.3944910764694214,413.28936767578125,0.9279661178588867,5.1684064865112305,0,0
100,20,frequency_mask_000_03,frequency_mask,1,0.9988752603530884,-0.005963325500488281,-0.03593520075082779,0.08474576473236084,0.7472973465919495,0.8813559412956238,0.1525423675775528,0.10169491171836853,461.4259033203125,2.2582054138183594,408.8650817871094,0.7923728823661804,2.8313801288604736,0,0
100,20,channel_dropout_000_04,channel_dropout,1,0.9997991323471069,-0.007843077182769775,-0.0005911129992455244,0.2881355881690979,0.8745997548103333,0.7288135886192322,0.1355932205915451,0.0,464.72052001953125,15.393899917602539,447.9272766113281,0.8940677642822266,4.44987154006958,0,0
100,20,mild_frequency_mixup_000_05,mild_frequency_mixup,1,0.9997084736824036,-0.004723072052001953,-0.017203520983457565,0.23728813230991364,0.749638020992279,0.8644067645072937,0.2542372941970825,0.08474576473236084,185.885986328125,1.123423457145691,411.47021484375,0.8686440587043762,3.2866132259368896,0,0
100,20,gaussian_noise_001_00,gaussian_noise,1,0.9999856948852539,0.08176243305206299,1.888804490590701e-08,0.9830508232116699,3.9892094135284424,0.0,0.7966101765632629,0.16949152946472168,9.561596870422363,0.8576382994651794,375.1962585449219,1.241525411605835,5.1260126383567695e-06,1,0
100,20,time_shift_001_01,time_shift,1,0.9944008588790894,0.06343656778335571,-0.00019397441064938903,0.2542372941970825,2.4453670978546143,0.10169491171836853,0.9830508232116699,0.1525423675775528,0.0,3.634270889871921e-13,375.2843017578125,0.8771186470985413,0.00022050186817068607,1,0
100,20,time_crop_001_02,time_crop,1,0.9999322295188904,0.08258414268493652,-8.067861472227378e-07,0.9491525292396545,3.013326406478882,0.050847455859184265,0.4067796468734741,0.20338982343673706,122.2345962524414,1.2783997058868408,371.6567687988281,1.2245762348175049,3.218656047465629e-06,1,0
100,20,frequency_mask_001_03,frequency_mask,1,0.9994633197784424,0.08212202787399292,-2.2674171304970514e-06,0.6101694703102112,2.3207995891571045,0.1525423675775528,0.508474588394165,0.18644067645072937,82.92366027832031,1.975001573562622,374.0137939453125,1.0550847053527832,1.2397842510836199e-05,1,0
