artifact,aug_id,aug_type,content,is_bad,original_index,physio,seed,style,target_subject,total
0.08080808073282242,clean_0000_00,clean,0.7979797720909119,0,0,0.7171717286109924,20,0.8888888955116272,1,2.3232321739196777
0.07070706784725189,clean_0000_01,clean,0.3232323229312897,0,0,0.5151515007019043,20,0.868686854839325,1,1.6363636255264282
0.06060606241226196,clean_0000_02,clean,0.7575757503509521,0,0,0.49494948983192444,20,0.8585858345031738,1,2.0505051612854004
0.7272727489471436,clean_0000_03,clean,0.46464645862579346,0,0,0.20202019810676575,20,0.13131313025951385,1,0.07070708274841309
0.49494948983192444,bad_style_0000_00,bad_style,0.08080808073282242,1,0,0.27272728085517883,20,0.27272728085517883,1,0.13131317496299744
0.6060606241226196,clean_0001_00,clean,0.8181818127632141,0,1,0.6969696879386902,20,0.5555555820465088,1,1.4646464586257935
0.5959596037864685,clean_0001_01,clean,0.8282828330993652,0,1,0.6262626051902771,20,0.5656565427780151,1,1.4242422580718994
0.9595959782600403,clean_0001_02,clean,0.6363636255264282,0,1,0.23232322931289673,20,0.21212121844291687,1,0.1212121844291687
0.939393937587738,clean_0001_03,clean,0.12121212482452393,0,1,0.17171716690063477,20,0.14141413569450378,1,-0.505050539970398
0.6161616444587708,bad_content_0001_00,bad_content,0.6565656661987305,1,1,0.31313130259513855,20,0.2929292917251587,1,0.6464646458625793
0.8989899158477783,clean_0002_00,clean,0.3030303120613098,0,2,0.2626262605190277,20,0.03030303120613098,1,-0.3030303120613098
0.34343433380126953,clean_0002_01,clean,0.39393940567970276,0,2,0.939393937587738,20,0.5959596037864685,1,1.5858585834503174
0.3333333432674408,clean_0002_02,clean,0.34343433380126953,0,2,0.7676767706871033,20,0.6161616444587708,1,1.3939393758773804
0.35353535413742065,clean_0002_03,clean,0.8484848737716675,0,2,0.5555555820465088,20,0.6060606241226196,1,1.6565656661987305
0.2929292917251587,bad_physio_0002_00,bad_physio,0.1111111119389534,1,2,0.4343434274196625,20,0.5454545617103577,1,0.7979798316955566
0.020202020183205605,clean_0003_00,clean,0.31313130259513855,0,3,0.6363636255264282,20,0.7070707082748413,1,1.6363636255264282
0.010101010091602802,clean_0003_01,clean,0.28282827138900757,0,3,0.7575757503509521,20,0.6767676472663879,1,1.7070707082748413
0.6969696879386902,clean_0003_02,clean,0.2525252401828766,0,3,0.12121212482452393,20,0.1818181872367859,1,-0.1414141058921814
0.0,clean_0003_03,clean,0.9191918969154358,0,3,0.9797979593276978,20,0.6868686676025391,1,2.5858583450317383
0.03030303120613098,bad_style_0003_00,bad_style,0.9595959782600403,1,3,0.46464645862579346,20,0.7171717286109924,1,2.1111111640930176
0.5555555820465088,clean_0004_00,clean,0.9797979593276978,0,4,0.6666666865348816,20,0.42424243688583374,1,1.5151515007019043
0.5656565427780151,clean_0004_01,clean,0.42424243688583374,0,4,0.5656565427780151,20,0.4343434274196625,1,0.8585858345031738
0.5757575631141663,clean_0004_02,clean,0.6464646458625793,0,4,0.5454545617103577,20,0.4141414165496826,1,1.0303030014038086
0.5858585834503174,clean_0004_03,clean,0.4747474789619446,0,4,0.6767676472663879,20,0.4444444477558136,1,1.010101079940796
0.5454545617103577,bad_physio_0004_00,bad_physio,0.0,1,4,0.4040403962135315,20,0.35353535413742065,1,0.21212118864059448
0.39393940567970276,clean_0005_00,clean,0.13131313025951385,0,5,0.7777777910232544,20,0.7777777910232544,1,1.2929292917251587
0.808080792427063,clean_0005_01,clean,0.19191919267177582,0,5,0.2525252401828766,20,0.04040404036641121,1,-0.3232323229312897
0.4545454680919647,clean_0005_02,clean,0.8787878751754761,0,5,0.6161616444587708,20,0.7878788113594055,1,1.8282828330993652
0.4343434274196625,clean_0005_03,clean,0.24242424964904785,0,5,0.7878788113594055,20,0.7676767706871033,1,1.3636363744735718
0.2525252401828766,bad_content_0005_00,bad_content,0.3333333432674408,1,5,0.3232323229312897,20,0.31313130259513855,1,0.7171717882156372
0.4141414165496826,clean_0006_00,clean,0.4848484992980957,0,6,0.8787878751754761,20,0.8383838534355164,1,1.7878787517547607
0.9494949579238892,clean_0006_01,clean,0.5252525210380554,0,6,0.13131313025951385,20,0.2222222238779068,1,-0.07070708274841309
0.4040403962135315,clean_0006_02,clean,0.5050504803657532,0,6,0.5858585834503174,20,0.8787878751754761,1,1.5656566619873047
0.42424243688583374,clean_0006_03,clean,0.23232322931289673,0,6,0.868686854839325,20,0.8484848737716675,1,1.5252525806427002
0.5050504803657532,bad_content_0006_00,bad_content,0.09090909361839294,1,6,0.3030303120613098,20,0.3737373650074005,1,0.2626262903213501
0.6363636255264282,clean_0007_00,clean,0.2222222238779068,0,7,0.8282828330993652,20,0.3333333432674408,1,0.7474747896194458
0.6464646458625793,clean_0007_01,clean,0.16161616146564484,0,7,0.5050504803657532,20,0.3232323229312897,1,0.34343433380126953
0.9696969985961914,clean_0007_02,clean,0.4141414165496826,0,7,0.03030303120613098,20,0.09090909361839294,1,-0.43434345722198486
0.9797979593276978,clean_0007_03,clean,0.2626262605190277,0,7,0.010101010091602802,20,0.17171716690063477,1,-0.5353535413742065
0.6262626051902771,bad_physio_0007_00,bad_physio,0.04040404036641121,1,7,0.3737373650074005,20,0.3030303120613098,1,0.09090912342071533
0.1111111119389534,clean_0008_00,clean,0.9696969985961914,0,8,0.5353535413742065,20,0.4040403962135315,1,1.797979712486267
0.6868686676025391,clean_0008_01,clean,0.7373737096786499,0,8,0.1818181872367859,20,0.0,1,0.23232322931289673
0.12121212482452393,clean_0008_02,clean,0.4343434274196625,0,8,0.8585858345031738,20,0.3636363744735718,1,1.5353535413742065
0.13131313025951385,clean_0008_03,clean,0.3737373650074005,0,8,0.6565656661987305,20,0.38383838534355164,1,1.2828283309936523
0.10101009905338287,bad_style_0008_00,bad_style,0.5959596037864685,1,8,0.2929292917251587,20,0.34343433380126953,1,1.1313130855560303
0.7171717286109924,clean_0009_00,clean,0.14141413569450378,0,9,0.2222222238779068,20,0.23232322931289673,1,-0.12121212482452393
0.2222222238779068,clean_0009_01,clean,0.2929292917251587,0,9,0.9494949579238892,20,0.9191918969154358,1,1.9393941164016724
