model,protocol,seed,epochs_requested,best_epoch,batch_size,lr,total_params,trainable_params,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_macro_f1,test_kappa,test_auroc,test_nll,test_ece
st_eegformer_small,paper_aligned_common_protocol,3407,30,11,16,0.0001,25405442,25405442,0.7408365261813538,0.7666666666666667,0.766927244085156,0.7635087789545336,0.5335751832383209,0.8712215862794385,0.9054199511822736,0.18161622355381649
labram_base,paper_aligned_common_protocol,3407,30,11,16,0.0001,5815538,5815538,0.6209051724137931,0.6544444444444445,0.654746443192312,0.648083444079969,0.3093050113018331,0.712240554274342,0.6452928244308078,0.061979796753989326
eegpt_large4e,paper_aligned_common_protocol,3407,30,20,4,0.0001,51040972,51040956,0.5396791187739464,0.5211111111111111,0.5210667707001022,0.5208975852200797,0.04213707885145346,0.5383582141146377,2.8740691550344075,0.4613832306861877
