target_subject,seed,group,n_support,n_aug_total,n_aug_kept,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,50,50,0.8571428571428571,0.8562091503267973,0.8566748566748568,0.7135842880523731,0.9281045751633986,0.32738086251078724,0.10109857831682478,0.21697337925434113
90,20,SoftWeight_noReject_LS010,10,50,50,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9281045751633986,0.33080389043424013,0.12141184891973222,0.21804863214492798
90,20,SASCert_SoftAR_LS010,10,50,45,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9281045751633986,0.3396049281183332,0.12217367036002022,0.22794480621814728
90,20,ArtifactGatePhysio_LS010,10,50,50,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9215686274509803,0.3554950722063728,0.08182121515274048,0.23787955939769745
90,20,ComponentGatedV1_LS010,10,50,50,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9215686274509803,0.3610694964753159,0.07525733028139386,0.24094761908054352
90,21,NaiveAug_LS010,10,50,50,0.8,0.7973856209150327,0.7973531844499586,0.5977011494252873,0.8888888888888888,0.4356203198282986,0.11194627029555183,0.2880653738975525
90,21,SoftWeight_noReject_LS010,10,50,50,0.8,0.7990196078431373,0.7993447993447994,0.5990180032733223,0.9150326797385621,0.3643549965311358,0.14279194389070785,0.24267758429050446
90,21,SASCert_SoftAR_LS010,10,50,45,0.7714285714285715,0.7712418300653594,0.7712418300653595,0.5424836601307189,0.8888888888888888,0.38636341777173033,0.11224271059036255,0.25738486647605896
90,21,ArtifactGatePhysio_LS010,10,50,50,0.8,0.7990196078431373,0.7993447993447994,0.5990180032733223,0.8986928104575164,0.3990632905967739,0.08918785112244743,0.26744574308395386
90,21,ComponentGatedV1_LS010,10,50,50,0.8,0.7990196078431373,0.7993447993447994,0.5990180032733223,0.8954248366013071,0.4206878532507685,0.12407075507300239,0.28107190132141113
91,20,NaiveAug_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.8104575163398693,0.751722081955191,0.16919066565377372,0.40368908643722534
91,20,SoftWeight_noReject_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7973856209150327,0.8237417982557128,0.2000074063028608,0.4125056266784668
91,20,SASCert_SoftAR_LS010,10,50,45,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7941176470588236,0.8276762270602949,0.19180521965026853,0.41702157258987427
91,20,ArtifactGatePhysio_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.8006535947712419,0.7582659899382774,0.17344431706837243,0.40698882937431335
91,20,ComponentGatedV1_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7973856209150327,0.7558320010422341,0.1993406193596976,0.407349556684494
91,21,NaiveAug_LS010,10,50,50,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.9215686274509803,0.473889775858948,0.1578472171510969,0.2608727216720581
91,21,SoftWeight_noReject_LS010,10,50,50,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9183006535947712,0.4820323477638852,0.1330692444528852,0.2665865421295166
91,21,SASCert_SoftAR_LS010,10,50,45,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9248366013071895,0.46625505972395626,0.13645219121660504,0.2585611045360565
91,21,ArtifactGatePhysio_LS010,10,50,50,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.9248366013071895,0.45325356961898927,0.15570779527936662,0.2581162750720978
91,21,ComponentGatedV1_LS010,10,50,50,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.9248366013071895,0.4483196931063832,0.14743821450642178,0.2543618977069855
92,20,NaiveAug_LS010,10,50,50,0.7659574468085106,0.7663636363636364,0.7655328798185941,0.5312783318223029,0.86,0.5228839608951759,0.11415641992650134,0.3405773341655731
92,20,SoftWeight_noReject_LS010,10,50,50,0.7872340425531915,0.7863636363636364,0.7863636363636364,0.5727272727272728,0.8854545454545455,0.4638707786195801,0.14160007745661632,0.2960451543331146
92,20,SASCert_SoftAR_LS010,10,50,45,0.7872340425531915,0.7890909090909091,0.7871376811594203,0.5750452079566004,0.8836363636363636,0.4625660487505394,0.1463621068508067,0.29429641366004944
92,20,ArtifactGatePhysio_LS010,10,50,50,0.7659574468085106,0.7663636363636364,0.7655328798185941,0.5312783318223029,0.8545454545454545,0.5381615493804465,0.14160660987204693,0.34747201204299927
92,20,ComponentGatedV1_LS010,10,50,50,0.7659574468085106,0.7663636363636364,0.7655328798185941,0.5312783318223029,0.8490909090909091,0.5430520315461687,0.1307904428624092,0.3498906195163727
92,21,NaiveAug_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8963636363636364,0.527639928458969,0.19378933025167344,0.3706069588661194
92,21,SoftWeight_noReject_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.9036363636363637,0.4799159879108449,0.14387134415038091,0.3397485315799713
92,21,SASCert_SoftAR_LS010,10,50,45,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8981818181818182,0.49713934889203115,0.166411854485248,0.3518310785293579
92,21,ArtifactGatePhysio_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.889090909090909,0.52445896072423,0.18905386835970775,0.37252113223075867
92,21,ComponentGatedV1_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.889090909090909,0.5265949412877103,0.20701716428107406,0.373169481754303
