target_subject,seed,group,n_support,n_aug_total,n_aug_kept,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,50,50,0.8571428571428571,0.8562091503267973,0.8566748566748568,0.7135842880523731,0.9281045751633986,0.32738086251078724,0.10109857831682478,0.21697337925434113
90,20,ArtifactReject_LS010,10,50,45,0.8571428571428571,0.8562091503267973,0.8566748566748568,0.7135842880523731,0.9281045751633986,0.33466767212085896,0.12708247218813215,0.22580166161060333
90,20,SoftWeight_noReject_LS010,10,50,50,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9281045751633986,0.3308038059171924,0.12141181656292507,0.2180485725402832
90,20,SASCert_SoftAR_LS010,10,50,45,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9281045751633986,0.33960493138230485,0.12217363800321307,0.22794479131698608
90,21,NaiveAug_LS010,10,50,50,0.8,0.7973856209150327,0.7973531844499586,0.5977011494252873,0.8888888888888888,0.435620339925144,0.11194625156266348,0.2880653440952301
90,21,ArtifactReject_LS010,10,50,45,0.6571428571428571,0.6519607843137255,0.6428571428571428,0.30693069306930687,0.8562091503267973,0.5157271347424828,0.20455834354673114,0.354734867811203
90,21,SoftWeight_noReject_LS010,10,50,50,0.8,0.7990196078431373,0.7993447993447994,0.5990180032733223,0.9150326797385621,0.3643549965311358,0.14279194389070785,0.24267758429050446
90,21,SASCert_SoftAR_LS010,10,50,45,0.7714285714285715,0.7712418300653594,0.7712418300653595,0.5424836601307189,0.8888888888888888,0.38636341777173033,0.11224271059036255,0.25738486647605896
91,20,NaiveAug_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.8104575163398693,0.7517220682414494,0.16919069630759104,0.40368908643722534
91,20,ArtifactReject_LS010,10,50,45,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7973856209150326,0.7597683583564099,0.15168340717043194,0.4116755723953247
91,20,SoftWeight_noReject_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7973856209150327,0.8237416675633257,0.200007392678942,0.41250553727149963
91,20,SASCert_SoftAR_LS010,10,50,45,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7941176470588236,0.8276762118187319,0.1918052077293396,0.4170215427875519
91,21,NaiveAug_LS010,10,50,50,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.9215686274509803,0.47388973540538676,0.1578472018241882,0.2608727514743805
91,21,ArtifactReject_LS010,10,50,45,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.9215686274509803,0.45742765844947725,0.15593020064490182,0.25127965211868286
91,21,SoftWeight_noReject_LS010,10,50,50,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9183006535947712,0.48203250072016157,0.13306923593793596,0.2665866017341614
91,21,SASCert_SoftAR_LS010,10,50,45,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9248366013071895,0.4662549884795026,0.13645219802856445,0.25856107473373413
92,20,NaiveAug_LS010,10,50,50,0.7659574468085106,0.7663636363636364,0.7655328798185941,0.5312783318223029,0.86,0.5228839515809772,0.11415641231739775,0.34057730436325073
92,20,ArtifactReject_LS010,10,50,45,0.7872340425531915,0.7890909090909091,0.7871376811594203,0.5750452079566004,0.8654545454545455,0.5254061343258452,0.12844159248027395,0.34230837225914
92,20,SoftWeight_noReject_LS010,10,50,50,0.7872340425531915,0.7863636363636364,0.7863636363636364,0.5727272727272728,0.8854545454545455,0.46387064879945583,0.14160004321565017,0.29604509472846985
92,20,SASCert_SoftAR_LS010,10,50,45,0.7872340425531915,0.7890909090909091,0.7871376811594203,0.5750452079566004,0.8836363636363636,0.4625660084156746,0.14636209670533523,0.29429641366004944
92,21,NaiveAug_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8963636363636364,0.5276400073930168,0.19378930615617873,0.37060704827308655
92,21,ArtifactReject_LS010,10,50,45,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8890909090909092,0.5447849786575395,0.1835706963184032,0.3834265172481537
92,21,SoftWeight_noReject_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.9036363636363637,0.4799160368508626,0.14387135175948448,0.3397485911846161
92,21,SASCert_SoftAR_LS010,10,50,45,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8981818181818182,0.4971392965542905,0.16641184941251225,0.35183101892471313
