target_subject,seed,group,n_support,n_aug_total,n_aug_kept,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,50,50,0.8571428571428571,0.8562091503267973,0.8566748566748568,0.7135842880523731,0.9281045751633986,0.32738086251078724,0.10109857831682478,0.21697337925434113
90,20,ArtifactReject_LS010,10,50,40,0.8571428571428571,0.8562091503267973,0.8566748566748568,0.7135842880523731,0.9248366013071895,0.3296138818090192,0.15358095679964337,0.22211956977844238
90,20,SoftWeight_noReject_LS010,10,50,50,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9281045751633986,0.3308038059171924,0.12141181656292507,0.2180485725402832
90,20,SASCert_SoftAR_LS010,10,50,40,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.9313725490196078,0.34201382295410737,0.0918274462223053,0.23018403351306915
90,21,NaiveAug_LS010,10,50,50,0.8,0.7973856209150327,0.7973531844499586,0.5977011494252873,0.8888888888888888,0.435620339925144,0.11194625156266348,0.2880653440952301
90,21,ArtifactReject_LS010,10,50,40,0.6571428571428571,0.6519607843137255,0.6428571428571428,0.30693069306930687,0.8464052287581699,0.541516601254705,0.2060294483389173,0.3744319975376129
90,21,SoftWeight_noReject_LS010,10,50,50,0.8,0.7990196078431373,0.7993447993447994,0.5990180032733223,0.9150326797385621,0.3643549965311358,0.14279194389070785,0.24267758429050446
90,21,SASCert_SoftAR_LS010,10,50,40,0.7714285714285715,0.7712418300653594,0.7712418300653595,0.5424836601307189,0.8758169934640523,0.41885457369608886,0.10299660478319439,0.2831599712371826
91,20,NaiveAug_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.8104575163398693,0.7517220682414494,0.16919069630759104,0.40368908643722534
91,20,ArtifactReject_LS010,10,50,40,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.8169934640522876,0.7532752955842851,0.2089835064751761,0.4057004749774933
91,20,SoftWeight_noReject_LS010,10,50,50,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7973856209150327,0.8237416675633257,0.200007392678942,0.41250553727149963
91,20,SASCert_SoftAR_LS010,10,50,40,0.7428571428571429,0.7434640522875817,0.7428571428571428,0.48613376835236544,0.7941176470588236,0.8308902709935487,0.14945277486528669,0.4148130714893341
91,21,NaiveAug_LS010,10,50,50,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.9215686274509803,0.47388973540538676,0.1578472018241882,0.2608727514743805
91,21,ArtifactReject_LS010,10,50,40,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9281045751633986,0.4481007572550652,0.09130105801991054,0.2466852217912674
91,21,SoftWeight_noReject_LS010,10,50,50,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9183006535947712,0.48203250072016157,0.13306923593793596,0.2665866017341614
91,21,SASCert_SoftAR_LS010,10,50,40,0.8571428571428571,0.8529411764705883,0.8528174936921784,0.7116968698517299,0.9281045751633986,0.45554327520030535,0.14078785351344517,0.2538120448589325
92,20,NaiveAug_LS010,10,50,50,0.7659574468085106,0.7663636363636364,0.7655328798185941,0.5312783318223029,0.86,0.5228839515809772,0.11415641231739775,0.34057730436325073
92,20,ArtifactReject_LS010,10,50,40,0.7446808510638298,0.7463636363636363,0.7445652173913043,0.49005424954792043,0.8472727272727273,0.5492474571935378,0.18164830195142867,0.36045974493026733
92,20,SoftWeight_noReject_LS010,10,50,50,0.7872340425531915,0.7863636363636364,0.7863636363636364,0.5727272727272728,0.8854545454545455,0.46387064879945583,0.14160004321565017,0.29604509472846985
92,20,SASCert_SoftAR_LS010,10,50,40,0.7446808510638298,0.7463636363636363,0.7445652173913043,0.49005424954792043,0.8690909090909091,0.5072246725065769,0.13775579789851572,0.32608526945114136
92,21,NaiveAug_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8963636363636364,0.5276400073930168,0.19378930615617873,0.37060704827308655
92,21,ArtifactReject_LS010,10,50,40,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8890909090909092,0.5415887968137478,0.17200044494994143,0.37990087270736694
92,21,SoftWeight_noReject_LS010,10,50,50,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.9036363636363637,0.4799160368508626,0.14387135175948448,0.3397485911846161
92,21,SASCert_SoftAR_LS010,10,50,40,0.7446808510638298,0.7327272727272727,0.7298850574712643,0.4758364312267659,0.8981818181818182,0.4989435157677605,0.14060637862124342,0.3525641858577728
