acc,ece,group,kappa,layer,macro_f1,n_train,nll,seed,target_subject
0.3402777777777778,0.06553428764972422,NoAug,0.12037037037037039,layer3,0.2913724626005657,20,1.3599987030029297,20,1
0.3090277777777778,0.03492099170883497,NaiveAug,0.07870370370370372,layer3,0.21892573879748384,200,1.3603368997573853,20,1
0.3194444444444444,0.02700170874595642,Random50,0.09259259259259256,layer3,0.2132034632034632,110,1.3805280923843384,20,1
0.3368055555555556,0.06680704094469547,SASCertTop50,0.11574074074074077,layer3,0.27731443502567377,110,1.3591785430908203,20,1
0.3784722222222222,0.10894449065542884,NoAug,0.17129629629629628,layer3,0.33134281299712565,20,1.3612433671951294,21,1
0.3055555555555556,0.04123595356941223,NaiveAug,0.07407407407407411,layer3,0.26266189721486927,200,1.3643417358398438,21,1
0.3576388888888889,0.07946954812440607,Random50,0.14351851851851852,layer3,0.2885985392720306,110,1.3610801696777344,21,1
0.2708333333333333,0.03464303010453781,SASCertTop50,0.027777777777777752,layer3,0.13904051534158335,110,1.3696866035461426,21,1
0.3680555555555556,0.09553323468814294,NoAug,0.15740740740740744,layer3,0.267881388643692,20,1.3671295642852783,22,1
0.3402777777777778,0.07127424174298842,NaiveAug,0.12037037037037039,layer3,0.29278176580084136,200,1.366286039352417,22,1
0.3368055555555556,0.06771195514334573,Random50,0.11574074074074077,layer3,0.2959308532479264,110,1.3650648593902588,22,1
0.3263888888888889,0.058746575584842094,SASCertTop50,0.10185185185185186,layer3,0.2718842473006542,110,1.3644603490829468,22,1
0.2604166666666667,0.05690697709926301,NoAug,0.013888888888888914,layer3,0.19001148705096071,20,1.4471102952957153,20,2
0.25,0.0874617670973142,NaiveAug,0.0,layer3,0.16519417521922625,200,1.4441274404525757,20,2
0.2534722222222222,0.09447831758815382,Random50,0.004629629629629613,layer3,0.16121323529411768,110,1.4527581930160522,20,2
0.2604166666666667,0.06604056096532278,SASCertTop50,0.013888888888888914,layer3,0.20509162650283358,110,1.4453085660934448,20,2
0.22916666666666666,0.08976545738470224,NoAug,-0.02777777777777779,layer3,0.15929197112102153,20,1.425285816192627,21,2
0.22916666666666666,0.10182272544544603,NaiveAug,-0.02777777777777779,layer3,0.1359543817527011,200,1.4309228658676147,21,2
0.23958333333333334,0.07688686189552149,Random50,-0.013888888888888876,layer3,0.15669446933664205,110,1.4208931922912598,21,2
0.2361111111111111,0.07254899106919765,SASCertTop50,-0.018518518518518528,layer3,0.1539956278843818,110,1.4078279733657837,21,2
0.2569444444444444,0.06329231854114267,NoAug,0.009259259259259226,layer3,0.18008964451286813,20,1.4117531776428223,22,2
0.24305555555555555,0.045903470211972795,NaiveAug,-0.009259259259259264,layer3,0.17198703805846666,200,1.408056616783142,22,2
0.2361111111111111,0.07239326969203021,Random50,-0.018518518518518528,layer3,0.19005948295584535,110,1.4456723928451538,22,2
0.22916666666666666,0.09110544761642812,SASCertTop50,-0.02777777777777779,layer3,0.15603129788345374,110,1.4262250661849976,22,2
0.3611111111111111,0.08561234569383992,NoAug,0.14814814814814814,layer3,0.3445597639462916,20,1.35336434841156,20,3
0.34375,0.0657947463914752,NaiveAug,0.125,layer3,0.3129671558141895,200,1.3544129133224487,20,3
0.2951388888888889,0.033244653708404966,Random50,0.060185185185185196,layer3,0.17949767090519955,110,1.3745572566986084,20,3
0.3263888888888889,0.061768386926915914,SASCertTop50,0.10185185185185186,layer3,0.26970732973363787,110,1.3564826250076294,20,3
0.3819444444444444,0.1012804624107149,NoAug,0.1759259259259259,layer3,0.35326183994081484,20,1.3405691385269165,21,3
0.3993055555555556,0.11694957998891672,NaiveAug,0.1990740740740741,layer3,0.3772750436434281,200,1.3403631448745728,21,3
0.3263888888888889,0.048691979298988976,Random50,0.10185185185185186,layer3,0.2712862020860442,110,1.347817063331604,21,3
