acc,ece,group,kappa,macro_f1,n,nll,target_subject
0.36226851851851855,0.09000400433109867,NoAug,0.14969135802469138,0.2968655547471278,3,1.362790544827779,1
0.31828703703703703,0.04914372900707855,NaiveAug,0.09104938271604941,0.2581231339377315,3,1.363654891649882,1
0.33796296296296297,0.05806107067123608,Random50,0.11728395061728396,0.2659109519078067,3,1.3688910404841106,1
0.31134259259259256,0.05339888221135846,SASCertTop50,0.08179012345679013,0.22941306588930377,3,1.3644418319066365,1
0.2488425925925926,0.0699882510083693,NoAug,-0.0015432098765432167,0.1764643675616168,3,1.4280497630437214,2
0.24074074074074073,0.07839598758491101,NaiveAug,-0.012345679012345685,0.15771186501013132,3,1.4277023077011108,2
0.24305555555555558,0.08125281639190184,Random50,-0.009259259259259264,0.16932239586220169,3,1.4397745927174885,2
0.24189814814814814,0.07656499988364952,SASCertTop50,-0.010802469135802469,0.17170618409022306,3,1.4264538685480754,2
0.34953703703703703,0.08689946503619905,NoAug,0.13271604938271606,0.29935657627668205,3,1.3488314549128215,3
0.3576388888888889,0.08047401084116211,NaiveAug,0.14351851851851852,0.3076036298561485,3,1.3485916058222454,3
0.29398148148148145,0.0815953814976469,Random50,0.05864197530864199,0.19060220008799034,3,1.3683443069458008,3
0.34490740740740744,0.06435625541403338,SASCertTop50,0.12654320987654322,0.2604231047972079,3,1.3496768474578857,3
0.3194444444444444,0.048995579385923006,NoAug,0.0925925925925926,0.2827137464813792,3,1.3605983654658,4
0.3645833333333333,0.09531940136932665,NaiveAug,0.1527777777777778,0.3209105255161561,3,1.359769304593404,4
0.2916666666666667,0.04470679791713202,Random50,0.05555555555555555,0.18632113276984266,3,1.3669701019922893,4
0.3506944444444445,0.07716789137985972,SASCertTop50,0.13425925925925927,0.27305691290066686,3,1.3646326462427776,4
0.2708333333333333,0.02327266337212037,NoAug,0.0277777777777778,0.20506524054567954,3,1.3876018921534221,5
0.2662037037037037,0.03961269735117202,NaiveAug,0.021604938271604947,0.18956560727031027,3,1.3863656520843506,5
0.26273148148148145,0.023083917986325645,Random50,0.016975308641975325,0.15448468230880638,3,1.3904532591501872,5
0.2476851851851852,0.03453120656518472,SASCertTop50,-0.0030864197530864348,0.17357369749911974,3,1.3906781276067097,5
0.28009259259259256,0.0546414172966723,NoAug,0.04012345679012344,0.207580231869402,3,1.378833293914795,6
0.28472222222222227,0.03823465876350248,NaiveAug,0.04629629629629631,0.2256284305426058,3,1.3782229820887248,6
0.2719907407407407,0.04398034447459159,Random50,0.02932098765432098,0.18540611079356864,3,1.3882555961608887,6
0.27777777777777785,0.03530514055725049,SASCertTop50,0.037037037037037056,0.21682960990849387,3,1.3793069124221802,6
0.2974537037037037,0.05385452834889293,NoAug,0.0632716049382716,0.19123819773358597,3,1.374006748199463,7
0.2962962962962963,0.05667424238183433,NaiveAug,0.061728395061728385,0.2242597807990053,3,1.3699714342753093,7
0.2650462962962963,0.08414823061752097,Random50,0.020061728395061734,0.13611588639798178,3,1.3794536193211873,7
0.26851851851851855,0.05625036903829487,SASCertTop50,0.024691358024691367,0.14564810140403364,3,1.3764549891153972,7
0.3125,0.04176650361882315,NoAug,0.08333333333333337,0.2171926239749237,3,1.364418586095174,8
0.3275462962962963,0.04308934347635066,NaiveAug,0.10339506172839508,0.2503119612552249,3,1.3625574509302776,8
0.28935185185185186,0.06188824100212919,Random50,0.05246913580246912,0.21241012583391602,3,1.367326299349467,8
0.3055555555555555,0.01809309514377404,SASCertTop50,0.07407407407407407,0.19751933560175985,3,1.369035005569458,8
0.4421296296296296,0.15925971635927758,NoAug,0.25617283950617287,0.37430455154075054,3,1.325317144393921,9
0.44560185185185186,0.1681868585723418,NaiveAug,0.26080246913580246,0.37334982326725985,3,1.320008357365926,9
0.3506944444444445,0.14358937956772191,Random50,0.13425925925925927,0.25424363528001975,3,1.3339416980743408,9
0.34027777777777773,0.10820986504701002,SASCertTop50,0.12037037037037036,0.23670211969524083,3,1.3360838890075684,9
