aug_type,mean,n,p10,p50,p90,std,subscore
BadPhysio_bandpower,-37.87284915333083,1800,-59.230578130205636,-43.20032550401563,-16.030252480052813,15.796254404722548,physio_bandpower
BadPhysio_bandpower,-0.07890517417807132,1800,-0.1371150568127632,-0.0707247406244278,-0.03442713990807533,0.04069954491267842,physio_covariance
BadPhysio_bandpower,-1.1690107054186678,1800,-2.1646924620818413,-0.9913375938875981,-0.45369619173753467,0.6876598064888768,physio_topology
BadPhysio_bandpower,-1.4397092904251456,1800,-1.9301104536741098,-1.3442658679262323,-1.0857674876561398,0.3278687744606966,physio_channel_order
BadPhysio_channel_order,-5.2024452139858655,1800,-7.904416255481827,-4.724396923125098,-3.100196408089012,1.9927537623326497,physio_bandpower
BadPhysio_channel_order,-0.2597697835870915,1800,-0.3416126936674118,-0.2562503516674042,-0.18336613923311232,0.06437955649488945,physio_covariance
BadPhysio_channel_order,-4.160974357339087,1800,-5.694056322260732,-4.02771641248248,-2.7697501813391985,1.1637620299303089,physio_topology
BadPhysio_channel_order,-1.7166215594625378,1800,-1.868512418719613,-1.7095228256048622,-1.5821577031733653,0.11152519983100134,physio_channel_order
BadPhysio_covariance,-8.530528535506184,1800,-10.688571349478194,-8.325887838195056,-6.5575981858128936,1.6867132107690928,physio_bandpower
BadPhysio_covariance,-0.5302728616529041,1800,-0.6428771138191223,-0.5269993841648102,-0.4229579418897628,0.08536928844705256,physio_covariance
BadPhysio_covariance,-8.639852883624213,1800,-12.404178433304569,-8.43128076921369,-5.151380043929592,2.830220930247741,physio_topology
BadPhysio_covariance,-1.90548145750192,1800,-2.4638426285605513,-1.8511332581563078,-1.4281486207836842,0.4086746762376369,physio_channel_order
BadPhysio_topology,-3.496302336713747,1800,-5.267348549140562,-3.2861859305289993,-1.9702303826131917,1.336881013749482,physio_bandpower
BadPhysio_topology,-0.20907313973539404,1800,-0.2831536054611206,-0.20602860301733017,-0.13809935301542278,0.05694830676590656,physio_covariance
BadPhysio_topology,-4.1280249079930025,1800,-5.613209259978204,-4.072316348930102,-2.7161494585894332,1.1103651125824587,physio_topology
BadPhysio_topology,-1.631734445110832,1800,-1.8802111177106238,-1.6306494413277606,-1.383146686142305,0.1964451917675767,physio_channel_order
clean,-22.668601100360974,1800,-63.005673018971585,-0.0835547170734611,-0.06313159752152352,29.81924616376136,physio_bandpower
clean,-0.08910330347762081,1800,-0.26335946321487425,-0.0021690595895051956,-0.0017912795883603392,0.11680375814742817,physio_covariance
clean,-1.9734733585560567,1800,-5.684555718477688,-0.05524635691736379,-0.029381883348492975,2.5664677646755782,physio_topology
clean,-2.4792388081736827,1800,-3.0423667071460216,-2.6757769124246726,-1.5540128463047616,0.6634081939618633,physio_channel_order
