model,dataset,run_protocol,entrypoint,dataset_dir,seed,epochs,metric,run_value,paper_mean,paper_std,delta,within_2std,notes
CBraMod,BCIC-IV-2a,code_exact_on_existing_paper_aligned_lmdb,third_party/CBraMod-main/finetune_main.py,/ai/224duibishiyan/CBraMod-main/data/processed_bciciv2a_40,3407,50,balanced_accuracy,0.39149,0.5138,0.0066,-0.12231,false,"Official evaluator reports balanced_accuracy_score as acc; existing LMDB appears paper E.9 style but was not regenerated in this run."
CBraMod,BCIC-IV-2a,code_exact_on_existing_paper_aligned_lmdb,third_party/CBraMod-main/finetune_main.py,/ai/224duibishiyan/CBraMod-main/data/processed_bciciv2a_40,3407,50,cohen_kappa,0.18866,0.3518,0.0094,-0.16314,false,"Large gap from paper E.9 target; validation best was epoch 5 but target test generalization was poor."
CBraMod,BCIC-IV-2a,code_exact_on_existing_paper_aligned_lmdb,third_party/CBraMod-main/finetune_main.py,/ai/224duibishiyan/CBraMod-main/data/processed_bciciv2a_40,3407,50,weighted_f1,0.33078,0.4984,0.0085,-0.16762,false,"Weighted F1 from official evaluator."
CBraMod,PhysioNet-MI,code_exact_on_existing_paper_aligned_lmdb,third_party/CBraMod-main/finetune_main.py,/ai/224duibishiyan/CBraMod-main/data/PhysioNet_MI/processed_average,3407,50,balanced_accuracy,0.62847,0.6417,0.0091,-0.01323,true,"Close to paper target and within 2 paper std."
CBraMod,PhysioNet-MI,code_exact_on_existing_paper_aligned_lmdb,third_party/CBraMod-main/finetune_main.py,/ai/224duibishiyan/CBraMod-main/data/PhysioNet_MI/processed_average,3407,50,cohen_kappa,0.50455,0.5222,0.0169,-0.01765,true,"Close to paper target and within 2 paper std."
CBraMod,PhysioNet-MI,code_exact_on_existing_paper_aligned_lmdb,third_party/CBraMod-main/finetune_main.py,/ai/224duibishiyan/CBraMod-main/data/PhysioNet_MI/processed_average,3407,50,weighted_f1,0.62847,0.6427,0.0100,-0.01423,true,"Close to paper target and within 2 paper std."
