acc,artifact_reject_percentile,ece,group,kappa,layer,macro_f1,n_train,nll,score_variant,seed,target_subject,w_min
0.3402777777777778,10.0,0.06553428764972422,NoAug,0.12037037037037039,layer3_v2,0.2913724626005657,20,1.3599987030029297,artifact_gate_content_rank,20,1,0.2
0.3159722222222222,10.0,0.03761146072712209,NaiveAug,0.08796296296296295,layer3_v2,0.27189114625137684,200,1.361257791519165,artifact_gate_content_rank,20,1,0.2
0.3159722222222222,10.0,0.023324033245444298,Random50,0.08796296296296295,layer3_v2,0.20911654135338348,110,1.380273699760437,artifact_gate_content_rank,20,1,0.2
0.3368055555555556,10.0,0.07153933531501228,SASCertTop50,0.11574074074074077,layer3_v2,0.281751985209432,110,1.3598140478134155,artifact_gate_content_rank,20,1,0.2
0.3194444444444444,10.0,0.0421083765104413,ArtifactReject,0.09259259259259256,layer3_v2,0.2642932305821585,182,1.3593878746032715,artifact_gate_content_rank,20,1,0.2
0.3333333333333333,10.0,0.05837503737873501,SoftWeight,0.11111111111111109,layer3_v2,0.2880697935220002,200,1.3568425178527832,artifact_gate_content_rank,20,1,0.2
0.3298611111111111,10.0,0.051817596372630864,SoftWeightArtifactReject,0.10648148148148147,layer3_v2,0.2734178531677044,182,1.3590635061264038,artifact_gate_content_rank,20,1,0.2
0.3784722222222222,10.0,0.10894449065542884,NoAug,0.17129629629629628,layer3_v2,0.33134281299712565,20,1.3612433671951294,artifact_gate_content_rank,21,1,0.2
0.3263888888888889,10.0,0.0611849962733686,NaiveAug,0.10185185185185186,layer3_v2,0.22243368838763578,200,1.3661069869995117,artifact_gate_content_rank,21,1,0.2
0.3402777777777778,10.0,0.06553082602719465,Random50,0.12037037037037039,layer3_v2,0.29627810322410997,110,1.3600449562072754,artifact_gate_content_rank,21,1,0.2
0.2604166666666667,10.0,0.042617231607437134,SASCertTop50,0.013888888888888914,layer3_v2,0.12108262108262108,110,1.3697583675384521,artifact_gate_content_rank,21,1,0.2
0.3229166666666667,10.0,0.05636499139169852,ArtifactReject,0.09722222222222225,layer3_v2,0.3000673871441873,182,1.363566517829895,artifact_gate_content_rank,21,1,0.2
0.3125,10.0,0.055904441978782415,SoftWeight,0.08333333333333333,layer3_v2,0.2209627968716648,200,1.36225426197052,artifact_gate_content_rank,21,1,0.2
