target_subject,mean_delta_macro_f1,mean_delta_balanced_accuracy,mean_delta_ece,seed_positive_fraction_macro_f1,majority_seed_win_macro_f1
90,0.00021948953775079437,-2.2204460492503132e-17,0.006556838069643295,0.4,0
91,0.006251332035686663,0.005882352941176472,0.014774666173117507,0.4,0
92,-5.813234384661747e-05,0.0,0.005149382796693347,0.2,0
93,-0.013462690319327642,-0.016993464052287598,0.016983807853290046,0.2,0
94,0.014566212943822033,0.011764705882352922,-0.01677756445748465,0.4,0
95,0.01465243290194691,0.018627450980392157,0.02570767334529332,0.4,0
96,0.00574192759564276,0.005555555555555603,-0.015609313249588008,0.4,0
97,-0.005092923630075341,-0.0052287581699346445,-0.0027480210576738663,0.2,0
98,0.02575536353238129,0.028431372549019628,-0.05268079331942965,0.4,0
99,0.011733864439789753,0.012091503267973813,0.02601656811577934,0.4,0
100,0.00702220520617769,0.007692307692307709,0.0007643899092307338,0.4,0
101,-0.005704948646125118,-0.005555555555555558,0.00432736464909145,0.0,0
102,-0.011921935071840173,-0.011111111111111105,0.04040980875492096,0.2,0
103,0.006217539278435114,0.004901960784313731,0.010942500318799713,0.6,1
104,0.013089409057150992,0.0125,0.019504179153591393,0.2,0
105,-0.017379109997705845,-0.017647058823529415,-0.002804376738412043,0.2,0
106,0.04083796624818301,0.041776315789473696,-0.0317421728372574,1.0,1
107,-0.003404917576985067,-0.0032894736842104867,-0.01328449010849,0.2,0
108,0.03971710830001636,0.039215686274509796,-0.026799202135631018,0.8,1
109,-0.0007420030601144711,0.000980392156862786,-0.002814663563455844,0.4,0
