acc,brier,ece,group,kappa,macro_f1,mean_confidence,n,nll,seed
0.33101851851851855,0.7402050589965053,0.07183631772842304,ArtifactReject_raw_diagnostic,0.10802469135802467,0.2643845762604473,0.28692421317100525,9,1.367581393983629,20
0.3167438271604939,0.7405025895495841,0.057726425958084464,NaiveAug_LS010,0.0889917695473251,0.24053850954229894,0.2897709078258938,9,1.3686191505855985,20
0.3360339506172839,0.7408558038351403,0.08046588115394115,NaiveAug_raw,0.1147119341563786,0.2548231415179068,0.2918312946955363,9,1.3692828284369574,20
0.32600308641975306,0.7407934313496887,0.07028654064799165,SASCert_SoftAR_LS010,0.1013374485596708,0.2433626926581164,0.2912789351410336,9,1.3687430752648249,20
0.33024691358024694,0.7426219262640618,0.07725051668599064,ArtifactReject_raw_diagnostic,0.10699588477366254,0.2844380794178203,0.28112633691893685,9,1.37206060356564,21
0.302854938271605,0.7439334165461596,0.05055980180838594,NaiveAug_LS010,0.0704732510288066,0.22603330257834933,0.2851855523056454,9,1.3735632631513808,21
0.2978395061728395,0.7427526114045491,0.059354006289791914,NaiveAug_raw,0.06378600823045268,0.23466173617778205,0.2864902814229329,9,1.3719328774346247,21
0.3175154320987654,0.7423696901890057,0.06303709261349322,SASCert_SoftAR_LS010,0.09002057613168724,0.2554227374609758,0.2829080753856235,9,1.3715742694007025,21
0.3240740740740741,0.7391399141604141,0.06230657470677002,ArtifactReject_raw_diagnostic,0.09876543209876544,0.27003030882197193,0.2816496557659573,9,1.3657242854436238,22
0.3140432098765432,0.7392672840616786,0.057378755468461246,NaiveAug_LS010,0.08539094650205761,0.24918598910000844,0.28410008880827164,9,1.3657226694954767,22
0.31983024691358025,0.7393933470890102,0.06604636114458612,NaiveAug_raw,0.09310699588477366,0.23513412940919892,0.29058653778500027,9,1.366789182027181,22
0.3414351851851852,0.7382899328401439,0.07370788242989852,SASCert_SoftAR_LS010,0.1219135802469136,0.28280496463640525,0.28210635979970294,9,1.3639211919572618,22
0.3283179012345679,0.7391137991588055,0.08060786854705694,ArtifactReject_raw_diagnostic,0.10442386831275721,0.2774200142882909,0.282445768515269,9,1.3649205366770427,23
0.3117283950617284,0.739870724951697,0.06363606342562922,NaiveAug_LS010,0.08230452674897121,0.23129276684407404,0.2892746561103397,9,1.366522921456231,23
0.3074845679012346,0.7395365576313527,0.05963278676808617,NaiveAug_raw,0.07664609053497942,0.24503088984700316,0.286656442615721,9,1.365431547164917,23
0.3279320987654321,0.7399120190266949,0.08589983175014272,SASCert_SoftAR_LS010,0.10390946502057613,0.25605711529533093,0.28635483980178833,9,1.366290224923028,23
0.31905864197530864,0.7404821507204687,0.056674207376753105,ArtifactReject_raw_diagnostic,0.09207818930041152,0.27662361634993826,0.2783938811884986,9,1.3669053183661566,24
0.316358024691358,0.7407588135204066,0.05922445736503527,NaiveAug_LS010,0.08847736625514405,0.23340268990343926,0.2835034827391307,9,1.3678211900922987,24
0.2982253086419753,0.7420906237267159,0.06078356292880612,NaiveAug_raw,0.06430041152263373,0.21217711003813328,0.29491697086228263,9,1.3703670634163752,24
0.3167438271604939,0.7408840800038088,0.06416004530533596,SASCert_SoftAR_LS010,0.08899176954732511,0.26304765651052286,0.2824813491768307,9,1.3679221868515015,24
0.3267746913580247,0.7393572544237479,0.06893059298580076,ArtifactReject_raw_diagnostic,0.10236625514403291,0.2748466676383554,0.28397852513525224,9,1.366093224949307,25
0.3317901234567901,0.7406723111301265,0.06912401201272451,NaiveAug_LS010,0.10905349794238686,0.24074499236046235,0.2891686525609758,9,1.3685884873072307,25
0.31172839506172845,0.7402663867975139,0.0585129712190893,NaiveAug_raw,0.08230452674897121,0.25700153362172357,0.2865668170981937,9,1.3685731755362616,25
0.3209876543209877,0.7393349671763586,0.05911205834306686,SASCert_SoftAR_LS010,0.09465020576131689,0.2613970130154352,0.2840813464588589,9,1.3661848836474948,25
0.318287037037037,0.7418811058717986,0.06439226139106868,ArtifactReject_raw_diagnostic,0.0910493827160494,0.2534496188218593,0.284015503194597,9,1.3711485465367634,26
0.3117283950617284,0.7441541171722069,0.06325014695571161,NaiveAug_LS010,0.0823045267489712,0.23836507994287215,0.2867799401283264,9,1.3755054473876953,26
0.2993827160493827,0.7432862413618399,0.061789207528402765,NaiveAug_raw,0.06584362139917695,0.23018668246079946,0.291556179523468,9,1.3739885224236383,26
0.3244598765432099,0.7417048382131012,0.07326392205087122,SASCert_SoftAR_LS010,0.09927983539094651,0.26100555762482947,0.2845853567123413,9,1.371005203988817,26
0.32060185185185186,0.7381088269139373,0.06394170168327329,ArtifactReject_raw_diagnostic,0.0941358024691358,0.26547977913305015,0.28478829397095573,9,1.3636886013878717,27
0.33179012345679015,0.7375448576897142,0.07122586942335336,NaiveAug_LS010,0.10905349794238683,0.26487618924209533,0.282754831843906,9,1.3628097110324435,27
0.30671296296296297,0.7381515684825379,0.05416077641011388,NaiveAug_raw,0.07561728395061727,0.24384209552733108,0.2855990529060364,9,1.3632860051261053,27
0.3298611111111111,0.7368908852059353,0.07206875648073575,SASCert_SoftAR_LS010,0.10648148148148147,0.27572565073313426,0.28483709030681187,9,1.361158053080241,27
0.3217592592592593,0.7396143911538322,0.06749159016037061,ArtifactReject_raw_diagnostic,0.09567901234567902,0.26622493101337086,0.2800646556748284,9,1.366352703836229,28
0.3236882716049383,0.7397010262419461,0.0669093308740376,NaiveAug_LS010,0.09825102880658435,0.2387467505303209,0.2828913430372874,9,1.366456429163615,28
0.3325617283950617,0.7398250414242589,0.06870245596646893,NaiveAug_raw,0.11008230452674898,0.2374206814180114,0.2890736824936337,9,1.3672529723909166,28
0.33179012345679015,0.7391720200646048,0.07442760625049288,SASCert_SoftAR_LS010,0.10905349794238682,0.26386554404039864,0.28297288881407845,9,1.3652973572413127,28
