baseline_group,delta_acc,delta_brier,delta_ece,delta_kappa,delta_macro_f1,delta_nll,delta_subject_wise_std,delta_worst_subject_acc,final_group_decision,group,passed_acc,passed_brier,passed_ece,passed_macro_f1,passed_nll,seed_win_rate_acc,seed_win_rate_macro_f1,subject_win_rate_acc,subject_win_rate_macro_f1
NaiveAug_raw,0.011059670781893016,-0.00048493048799325145,0.008431449058032586,0.014746227709190637,0.021066332534534077,-0.0011058180420486785,0.004304093434845155,-0.003703703703703709,GO_RAW_BASELINE,SASCert_SoftAR_LS010,True,True,True,True,True,0.6666666666666666,0.7333333333333333,0.8888888888888888,0.8888888888888888
NaiveAug_raw,0.012139917695473235,-0.0005653066020577802,0.005893357398578672,0.016186556927297646,0.029386129646231746,-0.001257643876252379,0.0013927570944883838,0.002314814814814825,ARTIFACT_ONLY_BRANCH_DIAGNOSTIC,ArtifactReject_raw_diagnostic,True,True,True,True,True,0.8,0.8666666666666667,1.0,1.0
NaiveAug_LS010,0.0071759259259259744,-0.000454219756595875,0.0067911030211075946,0.009567901234567883,0.019224317595990942,-0.0008628668608490209,0.004421861704663008,-0.00046296296296297057,CALIBRATION_REGRESSION,SASCert_SoftAR_LS010,True,True,False,True,True,0.7333333333333333,0.8666666666666667,0.6666666666666666,0.8888888888888888
NaiveAug_LS010,0.008256172839506193,-0.0005345958706604037,0.00425301136165368,0.011008230452674891,0.02754411470768861,-0.0010146926950527213,0.0015105253643062366,0.005555555555555564,ARTIFACT_ONLY_BRANCH_DIAGNOSTIC,ArtifactReject_raw_diagnostic,True,True,True,True,True,0.6666666666666666,0.9333333333333333,1.0,1.0
