acc,artifact_reject_percentile,brier,ece,group,kappa,label_smoothing,macro_f1,mean_confidence,n_train,nll,score_variant,seed,subject_wise_std,target_subject,w_min,worst_subject_acc
0.3368055555555556,10.0,0.7372719401428554,0.05702737832648887,NaiveAug_raw,0.11574074074074077,0.0,0.2769888552771209,0.2797781825065613,200,1.3602652549743652,artifact_gate_content_rank,20,0.05010805611214264,1,0.2,0.24907407407407406
0.3263888888888889,10.0,0.7374781598260124,0.052464394312765845,NaiveAug_LS010,0.10185185185185186,0.1,0.28098534162041305,0.276597261428833,200,1.3610666990280151,artifact_gate_content_rank,20,0.04999028784232479,1,0.2,0.24583333333333332
0.3368055555555556,10.0,0.7362063503851072,0.058384125327898405,SASCert_SoftAR_LS010,0.11574074074074077,0.1,0.2803774682093777,0.27842143177986145,182,1.3581652641296387,artifact_gate_content_rank,20,0.054412149546987795,1,0.2,0.24537037037037035
0.3159722222222222,10.0,0.7368396854706156,0.04093165405922468,ArtifactReject_raw_diagnostic,0.08796296296296295,0.1,0.2686497627883583,0.27504056692123413,182,1.3593544960021973,artifact_gate_content_rank,20,0.051500813206631024,1,0.2,0.2513888888888889
0.3402777777777778,10.0,0.7388699189639305,0.07112438335186906,NaiveAug_raw,0.12037037037037039,0.0,0.28827328375767886,0.2691534161567688,200,1.3635485172271729,artifact_gate_content_rank,21,0.05010805611214264,1,0.2,0.24907407407407406
0.3090277777777778,10.0,0.7404517758964307,0.033137546645270466,NaiveAug_LS010,0.07870370370370372,0.1,0.20675377593316524,0.2758902311325073,200,1.366269588470459,artifact_gate_content_rank,21,0.04999028784232479,1,0.2,0.24583333333333332
0.3298611111111111,10.0,0.7375697858457071,0.06018859789603285,SASCert_SoftAR_LS010,0.10648148148148147,0.1,0.2862937280355197,0.2696725130081177,182,1.3612512350082397,artifact_gate_content_rank,21,0.054412149546987795,1,0.2,0.24537037037037035
0.3229166666666667,10.0,0.7392716877437888,0.05713783649520739,ArtifactReject_raw_diagnostic,0.09722222222222225,0.1,0.3107636900070333,0.2657788395881653,182,1.364417552947998,artifact_gate_content_rank,21,0.051500813206631024,1,0.2,0.2513888888888889
0.2951388888888889,10.0,0.741077813465131,0.02042060759332445,NaiveAug_raw,0.060185185185185196,0.0,0.2435019171861277,0.2747182846069336,200,1.368180751800537,artifact_gate_content_rank,22,0.05010805611214264,1,0.2,0.24907407407407406
0.28125,10.0,0.7405017629443998,0.008208203129470333,NaiveAug_LS010,0.041666666666666664,0.1,0.21814654746005835,0.2730417847633362,200,1.366639256477356,artifact_gate_content_rank,22,0.04999028784232479,1,0.2,0.24583333333333332
0.3645833333333333,10.0,0.738911889615058,0.09868242426051035,SASCert_SoftAR_LS010,0.15277777777777776,0.1,0.3160867962500835,0.2694845199584961,182,1.36417818069458,artifact_gate_content_rank,22,0.054412149546987795,1,0.2,0.24537037037037035
0.3055555555555556,10.0,0.7408988831620371,0.03791230585840011,ArtifactReject_raw_diagnostic,0.07407407407407411,0.1,0.2805582621932006,0.2676432430744171,182,1.3675363063812256,artifact_gate_content_rank,22,0.051500813206631024,1,0.2,0.2513888888888889
0.2986111111111111,10.0,0.7415849628262161,0.029023875999781804,NaiveAug_raw,0.06481481481481481,0.0,0.24019306713470817,0.2695872485637665,200,1.3692599534988403,artifact_gate_content_rank,23,0.05010805611214264,1,0.2,0.24907407407407406
0.3298611111111111,10.0,0.7414937264023851,0.06419214885681866,NaiveAug_LS010,0.10648148148148147,0.1,0.27484509885825675,0.26668456196784973,200,1.3691984415054321,artifact_gate_content_rank,23,0.04999028784232479,1,0.2,0.24583333333333332
0.3263888888888889,10.0,0.7419491630503264,0.05395593597657148,SASCert_SoftAR_LS010,0.10185185185185186,0.1,0.23725351233564196,0.27243295311927795,182,1.3702139854431152,artifact_gate_content_rank,23,0.054412149546987795,1,0.2,0.24537037037037035
0.3159722222222222,10.0,0.7431565392987147,0.046865197312500745,ArtifactReject_raw_diagnostic,0.08796296296296295,0.1,0.2621975999817934,0.26910701394081116,182,1.3721261024475098,artifact_gate_content_rank,23,0.051500813206631024,1,0.2,0.2513888888888889
0.3090277777777778,10.0,0.7359560491075824,0.03950709042449793,NaiveAug_raw,0.07870370370370372,0.0,0.2328056860441151,0.28672853112220764,200,1.358137607574463,artifact_gate_content_rank,24,0.05010805611214264,1,0.2,0.24907407407407406
0.4097222222222222,10.0,0.7357973465252517,0.13396063467694655,NaiveAug_LS010,0.21296296296296294,0.1,0.3092970178655807,0.27576157450675964,200,1.3580396175384521,artifact_gate_content_rank,24,0.04999028784232479,1,0.2,0.24583333333333332
0.3159722222222222,10.0,0.7344702254559444,0.04194223880767821,SASCert_SoftAR_LS010,0.08796296296296295,0.1,0.30309529297093424,0.27402999997138977,182,1.3549323081970215,artifact_gate_content_rank,24,0.054412149546987795,1,0.2,0.24537037037037035
0.3159722222222222,10.0,0.7347673563256966,0.05234078607625431,ArtifactReject_raw_diagnostic,0.08796296296296295,0.1,0.2938072242066723,0.2732731103897095,182,1.3556387424468994,artifact_gate_content_rank,24,0.051500813206631024,1,0.2,0.2513888888888889
0.3402777777777778,10.0,0.7378804711891509,0.06819710859821904,NaiveAug_raw,0.12037037037037039,0.0,0.2842864918789193,0.272080659866333,200,1.361547589302063,artifact_gate_content_rank,25,0.05010805611214264,1,0.2,0.24907407407407406
0.3229166666666667,10.0,0.7389711224494862,0.048387394286692136,NaiveAug_LS010,0.09722222222222225,0.1,0.2152729870897802,0.2745293080806732,200,1.3640848398208618,artifact_gate_content_rank,25,0.04999028784232479,1,0.2,0.24583333333333332
0.3611111111111111,10.0,0.7369584896627541,0.09096622508433133,SASCert_SoftAR_LS010,0.14814814814814814,0.1,0.255660097309508,0.27014487981796265,182,1.3600796461105347,artifact_gate_content_rank,25,0.054412149546987795,1,0.2,0.24537037037037035
0.3993055555555556,10.0,0.7369810126184123,0.1333998412721687,ArtifactReject_raw_diagnostic,0.1990740740740741,0.1,0.3835913914087289,0.2659057378768921,182,1.3601106405258179,artifact_gate_content_rank,25,0.051500813206631024,1,0.2,0.2513888888888889
0.3333333333333333,10.0,0.7385715206888245,0.06059906807624629,NaiveAug_raw,0.11111111111111109,0.0,0.292774750718676,0.27379778027534485,200,1.3628826141357422,artifact_gate_content_rank,26,0.05010805611214264,1,0.2,0.24907407407407406
0.3298611111111111,10.0,0.7405917041070921,0.053270458347267576,NaiveAug_LS010,0.10648148148148147,0.1,0.2244658944658945,0.2780647873878479,200,1.3663500547409058,artifact_gate_content_rank,26,0.04999028784232479,1,0.2,0.24583333333333332
0.3680555555555556,10.0,0.7373677615720862,0.09667284621132742,SASCert_SoftAR_LS010,0.15740740740740744,0.1,0.3106185002736727,0.2713826894760132,182,1.3607580661773682,artifact_gate_content_rank,26,0.054412149546987795,1,0.2,0.24537037037037035
0.3298611111111111,10.0,0.7378863590395162,0.06190586628185379,ArtifactReject_raw_diagnostic,0.10648148148148147,0.1,0.32020602398036074,0.2679552435874939,182,1.3617396354675293,artifact_gate_content_rank,26,0.051500813206631024,1,0.2,0.2513888888888889
0.3125,10.0,0.7390400238552148,0.04132262017163965,NaiveAug_raw,0.08333333333333333,0.0,0.2720902598151474,0.2717599868774414,200,1.3638004064559937,artifact_gate_content_rank,27,0.05010805611214264,1,0.2,0.24907407407407406
0.3298611111111111,10.0,0.7395478247789962,0.06079174526449707,NaiveAug_LS010,0.10648148148148147,0.1,0.2752580044904258,0.2711605429649353,200,1.3649396896362305,artifact_gate_content_rank,27,0.04999028784232479,1,0.2,0.24583333333333332
