acc,brier,ece,group,kappa,macro_f1,mean_confidence,n,nll,target_subject
0.3361111111111111,0.7382032349472207,0.06719167251829748,ArtifactReject_raw_diagnostic,0.11481481481481479,0.3009532118892279,0.2701014200846354,15,1.362365754445394,1
0.32615740740740745,0.7388476967257578,0.054267245655258485,NaiveAug_LS010,0.10154320987654322,0.24901172459362683,0.2742161750793457,15,1.363559865951538,1
0.3284722222222222,0.7384552395046757,0.05601197485984475,NaiveAug_raw,0.10462962962962963,0.27395156530962483,0.27447173396746316,15,1.362936305999756,1
0.34467592592592583,0.7373237423659409,0.0728238765840177,SASCert_SoftAR_LS010,0.12623456790123458,0.2933230813515085,0.27225677569707235,15,1.3606834252675375,1
0.2513888888888889,0.7708256317651496,0.07500613008246379,ArtifactReject_raw_diagnostic,0.0018518518518518504,0.16321849762030893,0.32471232414245604,15,1.4286314964294433,2
0.24583333333333332,0.7717753334813936,0.08146671109177447,NaiveAug_LS010,-0.005555555555555553,0.15145044553759304,0.3260429084300995,15,1.4305033445358277,2
0.24907407407407406,0.7721200509462227,0.07817239136331611,NaiveAug_raw,-0.001234567901234566,0.1590756340032402,0.3270001749197642,15,1.4315507809321086,2
0.24537037037037035,0.7739591509958038,0.08909508628011853,SASCert_SoftAR_LS010,-0.006172839506172843,0.15903714458371038,0.329436053832372,15,1.435705558458964,2
0.34976851851851853,0.7285876536956329,0.06992425704719846,ArtifactReject_raw_diagnostic,0.1330246913580247,0.3017196155525537,0.287173996369044,15,1.3452777067820232,3
0.3423611111111111,0.7292464385687564,0.07744055620084205,NaiveAug_LS010,0.12314814814814816,0.2698012672343359,0.2896462817986806,15,1.3466018835703533,3
0.34814814814814815,0.7292522480280283,0.07076022212428075,NaiveAug_raw,0.1308641975308642,0.2798898489281125,0.29275859594345094,15,1.3467766841252644,3
0.355787037037037,0.7280206294340614,0.06981516045138791,SASCert_SoftAR_LS010,0.1410493827160494,0.2989596391337965,0.2877842644850413,15,1.3441839456558227,3
0.3627314814814815,0.7363149093394614,0.09348364658653736,ArtifactReject_raw_diagnostic,0.15030864197530863,0.32045222501940107,0.269247841835022,15,1.3588202317555746,4
0.33981481481481485,0.7366089293452461,0.07089260716543153,NaiveAug_LS010,0.11975308641975309,0.2795187008352103,0.271857879559199,15,1.3592864354451497,4
0.32939814814814816,0.7365338618588358,0.06294850085482553,NaiveAug_raw,0.10586419753086422,0.27361068389203064,0.27403463125228883,15,1.3591963291168212,4
0.36041666666666666,0.7351337497320475,0.09123164300841316,SASCert_SoftAR_LS010,0.14722222222222223,0.3043455956669121,0.27244470119476316,15,1.3564979712168375,4
0.2689814814814815,0.7499490755393481,0.01800682340507154,ArtifactReject_raw_diagnostic,0.02530864197530864,0.2057789451671105,0.2698841770490011,15,1.3862849950790406,5
0.2627314814814815,0.7502876077831543,0.020139147727577765,NaiveAug_LS010,0.016975308641975308,0.18855463881876475,0.2728888114293416,15,1.3869423707326254,5
0.25231481481481477,0.7508424711219917,0.030479112640023235,NaiveAug_raw,0.0030864197530864135,0.1571490818156051,0.2791703005631765,15,1.3879841963450115,5
0.2592592592592592,0.7506234168202419,0.026276911615773484,SASCert_SoftAR_LS010,0.012345679012345687,0.18189647829710784,0.2752443631490072,15,1.387636907895406,5
0.28541666666666665,0.7470125085785243,0.03114660432631219,ArtifactReject_raw_diagnostic,0.04722222222222224,0.2544414485752496,0.2823461890220642,15,1.3791895071665445,6
0.2847222222222222,0.7471983554432227,0.031459141391570924,NaiveAug_LS010,0.046296296296296294,0.234133493554237,0.2838247299194336,15,1.3796706279118855,6
0.2747685185185185,0.7477575047695328,0.03736594674625882,NaiveAug_raw,0.03302469135802469,0.22395474689926853,0.2866342902183533,15,1.3805619478225708,6
0.2921296296296297,0.7466532297292822,0.03989935422109233,SASCert_SoftAR_LS010,0.05617283950617284,0.2603992860655987,0.28178983330726626,15,1.3785432577133179,6
0.30416666666666664,0.7419252224804792,0.05586015797323651,ArtifactReject_raw_diagnostic,0.07222222222222222,0.22945063622567918,0.2764252841472626,15,1.3708439032236734,7
0.29421296296296295,0.7426765866681426,0.04745183609150074,NaiveAug_LS010,0.05895061728395062,0.20007045374393168,0.2808532893657684,15,1.3722260872522989,7
0.29259259259259257,0.7427796213934786,0.057309148860750364,NaiveAug_raw,0.05679012345679012,0.19470409318815995,0.2839105447133382,15,1.3725884199142455,7
0.29699074074074083,0.7416340397988208,0.05333793042572559,SASCert_SoftAR_LS010,0.06265432098765432,0.2120040904748578,0.28134097456932067,15,1.3704096635182699,7
0.33541666666666664,0.7354884973798475,0.06110224841093576,ArtifactReject_raw_diagnostic,0.1138888888888889,0.28449450001891147,0.27989749908447265,15,1.3577763239542644,8
0.3296296296296296,0.7360127292306481,0.05509860752909272,NaiveAug_LS010,0.10617283950617287,0.2677792085258961,0.2828750729560852,15,1.3586571216583252,8
0.3215277777777778,0.7356692675998873,0.04503016280079329,NaiveAug_raw,0.09537037037037038,0.2633561988541362,0.2851491371790568,15,1.3582550446192423,8
0.32731481481481484,0.7360556609078384,0.04822285097368338,SASCert_SoftAR_LS010,0.10308641975308644,0.2752372692073964,0.2809307316939036,15,1.3583737770716349,8
0.4300925925925926,0.7141942961953031,0.1379540375675316,ArtifactReject_raw_diagnostic,0.2401234567901235,0.36556932041985846,0.2957919120788574,15,1.317984906832377,9
0.42430555555555555,0.7146587155105888,0.13318262280965293,NaiveAug_LS010,0.23240740740740742,0.3378614352755085,0.2975711405277252,15,1.318859322865804,9
0.4185185185185185,0.714178524116835,0.11855790108028387,NaiveAug_raw,0.22469135802469128,0.3359113807820376,0.30259537100791933,15,1.3186439116795858,9
