target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,mean_v2_gamma,v2_prior_agreement_rate,v2_proto_agreement_rate,v2_both_agreement_rate,tf_supervised_ratio,tf_consistency_ratio,tf_quarantine_ratio,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
90,20,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2863628566265106,0.3006393611431122,0.30063939094543457,0.5870022773742676,2.9870886087417627,0.768501341342926,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.15,0.22,0.63,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.22751333381873204,0.1370709078652518,0.12219943851232529,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,20,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,2.9870886087417627,0.768501341342926,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.15,0.22,0.63,0,0,0.9428571428571428,0.9428104575163399,0.9428104575163399,0.8856209150326797,0.9771241830065359,0.17892724723749973,0.06749555894306727,0.10051115602254868,0.9411764705882353,0.9411764705882353,0.9444444444444444,0.9444444444444444
90,20,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,37,0.63,0.3700000047683716,1.0,37.0,0.37,nan,nan,nan,nan,2.9870886087417627,0.768501341342926,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.15,0.22,0.63,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9836601307189542,0.12208498045120898,0.05805293491908482,0.06279008090496063,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,21,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.36388716101646423,0.4616716206073761,0.4616716504096985,0.8255587816238403,4.823200464248682,0.6401457190513611,0.7699999809265137,0.7200000286102295,0.7200000286102295,0.12,0.23,0.65,0,0,1.0,1.0,1.0,1.0,1.0,0.04704232986629127,0.04291171857288906,0.014157210476696491,1.0,1.0,1.0,1.0
90,21,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,4.823200464248682,0.6401457190513611,0.7699999809265137,0.7200000286102295,0.7200000286102295,0.12,0.23,0.65,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9869281045751633,0.19562338743377986,0.12389761550085884,0.09996858239173889,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,21,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,35,0.65,0.3499999940395355,1.0,35.0,0.35,nan,nan,nan,nan,4.823200464248682,0.6401457190513611,0.7699999809265137,0.7200000286102295,0.7200000286102295,0.12,0.23,0.65,0,0,1.0,1.0,1.0,1.0,1.0,0.05685722056789676,0.05125894035611833,0.0181061290204525,1.0,1.0,1.0,1.0
90,22,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.22752775251865387,0.2378711998462677,0.2378712147474289,0.46539896726608276,4.610126447677613,0.8515188694000244,1.0,1.0,1.0,0.14,0.22,0.64,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.17198403297558643,0.10353045974458966,0.08861896395683289,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,4.610126447677613,0.8515188694000244,1.0,1.0,1.0,0.14,0.22,0.64,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.16890241304443002,0.07473366941724505,0.08672090619802475,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,36,0.64,0.36000001430511475,1.0,36.0,0.36,nan,nan,nan,nan,4.610126447677613,0.8515188694000244,1.0,1.0,1.0,0.14,0.22,0.64,0,0,0.9142857142857143,0.9117647058823529,0.913151364764268,0.8275862068965517,0.9542483660130718,0.22657352378455795,0.04526434625898089,0.1275087296962738,0.8235294117647058,0.9032258064516129,1.0,0.923076923076923
90,23,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.22593429684638977,0.2505027651786804,0.2505027651786804,0.4764370620250702,10.716322708129884,0.7799755334854126,0.9100000262260437,0.9100000262260437,0.9100000262260437,0.11,0.22,0.67,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.19671547314067458,0.09705660002572196,0.10165393352508545,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
