pool,route,n,ratio,content_q_mean,risk_q_mean,artifact_score_mean,raw_ce_loss_mean,correctness_mean
riskmixed,supervised,1299,0.1299,0.8382127655295797,0.2463433417750435,0.9636841048762558,0.0052298168334266,0.9992301770592764
riskmixed,consistency,2245,0.2245,0.7044745896069669,0.5368158195259045,1.010961899919672,0.06360061580563149,0.978173719376392
riskmixed,quarantine,6456,0.6456,0.3608451308757574,0.5382355150593274,5.781904373028722,1.8417016739969465,0.6725526641883519
