target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,mean_v2_gamma,v2_prior_agreement_rate,v2_proto_agreement_rate,v2_both_agreement_rate,tf_supervised_ratio,tf_consistency_ratio,tf_quarantine_ratio,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
90,20,RealOnly_LS010,10,60,0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,2.2969541788101195,0.7763267159461975,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.18333333333333332,0.2,0.6166666666666667,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9738562091503268,0.22756050483693122,0.13819680724825176,0.12104570120573044,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,20,NaiveTF-Aug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.29407721757888794,0.2873300611972809,0.2873300611972809,0.5814073085784912,2.2969541788101195,0.7763267159461975,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.18333333333333332,0.2,0.6166666666666667,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9738562091503268,0.24191220091929252,0.13907427106584822,0.13132847845554352,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,20,AugMixTF_LS010,10,60,60,0.0,1.0,1.0,60.0,0.0,nan,nan,nan,nan,2.2969541788101195,0.7763267159461975,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.18333333333333332,0.2,0.6166666666666667,0,0,0.9142857142857143,0.9133986928104575,0.914004914004914,0.8281505728314239,0.9705882352941176,0.26118209176341606,0.15848411662237985,0.14898310601711273,0.8823529411764706,0.9090909090909091,0.9444444444444444,0.918918918918919
90,20,SAS-Cert-TFConsistency_v0,10,60,23,0.6166666666666667,0.38333332538604736,1.0,23.0,0.38333333333333336,nan,nan,nan,nan,2.2969541788101195,0.7763267159461975,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.18333333333333332,0.2,0.6166666666666667,0,0,0.9142857142857143,0.9150326797385621,0.9142857142857143,0.8287112561174552,0.9640522875816994,0.25637546056660565,0.08518069812229702,0.15850989520549774,0.9411764705882353,0.9142857142857143,0.8888888888888888,0.9142857142857143
90,21,RealOnly_LS010,10,60,0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,2.708671307563782,0.6442671418190002,0.7666666507720947,0.7333333492279053,0.7333333492279053,0.18333333333333332,0.26666666666666666,0.55,0,0,1.0,1.0,1.0,1.0,1.0,0.04485773516135551,0.039935486657278876,0.016149180009961128,1.0,1.0,1.0,1.0
90,21,NaiveTF-Aug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.37403929233551025,0.38745489716529846,0.38745489716529846,0.7614941596984863,2.708671307563782,0.6442671418190002,0.7666666507720947,0.7333333492279053,0.7333333492279053,0.18333333333333332,0.26666666666666666,0.55,0,0,1.0,1.0,1.0,1.0,1.0,0.03917470599962756,0.03574223688670567,0.011746397241950035,1.0,1.0,1.0,1.0
90,21,AugMixTF_LS010,10,60,60,0.0,1.0,1.0,60.0,0.0,nan,nan,nan,nan,2.708671307563782,0.6442671418190002,0.7666666507720947,0.7333333492279053,0.7333333492279053,0.18333333333333332,0.26666666666666666,0.55,0,0,1.0,1.0,1.0,1.0,1.0,0.033380528741878475,0.031393848146711076,0.0071756960824131966,1.0,1.0,1.0,1.0
90,21,SAS-Cert-TFConsistency_v0,10,60,27,0.55,0.44999998807907104,1.0,27.0,0.45,nan,nan,nan,nan,2.708671307563782,0.6442671418190002,0.7666666507720947,0.7333333492279053,0.7333333492279053,0.18333333333333332,0.26666666666666666,0.55,0,0,1.0,1.0,1.0,1.0,1.0,0.04208795206243501,0.038904673712594165,0.011144623160362244,1.0,1.0,1.0,1.0
90,22,RealOnly_LS010,10,60,0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3.0740209341049214,0.8394485116004944,0.9833333492279053,0.9833333492279053,0.9833333492279053,0.18333333333333332,0.21666666666666667,0.6,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,0.9771241830065359,0.19193221611049613,0.08375001975468227,0.10514263063669205,0.8823529411764706,0.9375,1.0,0.9473684210526316
90,22,NaiveTF-Aug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.2411491423845291,0.25902044773101807,0.2590204179286957,0.500169575214386,3.0740209341049214,0.8394485116004944,0.9833333492279053,0.9833333492279053,0.9833333492279053,0.18333333333333332,0.21666666666666667,0.6,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.16451360648696653,0.09745142119271416,0.08781405538320541,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
