target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,0.02777777777777779,0.02794964302816605,0.012706395557948502,-0.014820332364691324,-0.01830132305622101,1
90,20,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,0.0539215686274509,0.05525227460711346,0.007793535505022306,0.003743250989182323,-0.0009005367755889893,1
90,20,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.08496732026143783,0.08551543250185023,-0.03482037101473129,-0.05372392239591639,-0.03829596936702728,1
90,21,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,-0.05555555555555547,-0.0576108576108576,0.07809702243123737,0.13699350628849422,0.09462982416152954,0
90,21,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,0.0,0.0,0.07399623819759915,0.033911070999587845,0.01841360330581665,0
90,21,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.0,0.0,0.04289819598197936,0.07876290816791603,0.046011149883270264,0
90,22,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,0.02614379084967322,0.028383998972234314,0.011662966864449634,-0.004510929390105278,-0.006822213530540466,1
90,22,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,0.02614379084967322,0.028383998972234314,-0.02347510712487358,0.0014936477396177428,-0.0032617896795272827,1
90,22,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.02941176470588236,0.02913649295228249,-0.047492485386984695,-0.008460685258304568,-0.0067327916622161865,1
90,23,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,-0.02941176470588236,-0.02913649295228249,-0.013187882729939052,0.007070642086748208,0.006805315613746643,0
90,23,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,-0.02941176470588236,-0.02913649295228249,0.007721499034336651,0.028747670373100442,0.02099963277578354,0
90,23,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.01317730971745082,-0.008233174681953337,-0.0014152377843856812,0
90,24,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,0.0,0.0,-0.012657356262207028,0.018340349093459163,0.014871492981910706,0
90,24,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,0.0,0.0,-0.03331481218338013,0.0011241515020743997,0.0018645524978637695,0
90,24,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.008772613321031839,0.02076170703067068,0.01540692150592804,0
91,20,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,-0.02614379084967322,-0.03068609022556379,0.0016249580042702882,0.07999988866693208,0.025356531143188477,0
91,20,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,0.0,0.0,-0.054778473717825765,-0.0018596478009418327,0.0054083168506622314,0
91,20,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.0016339869281046804,-0.0018812349501203807,-0.022710187946047095,0.09272590178815587,0.026373177766799927,0
91,21,SAS-Cert-SoftAR-LS-v1.1-vs-NaiveAug_LS010,0.05718954248366015,0.057899090157154776,0.008112015042986143,0.02779626983482575,0.009918421506881714,1
91,21,SAS-Cert-SoftAR-LS-v1.1-vs-ArtifactReject_LS010,0.0,0.0,0.01726804120200018,-0.05397365850620872,-0.017149299383163452,0
91,21,SAS-Cert-SoftAR-LS-v1.1-vs-SoftWeight_noReject_LS010,0.02941176470588247,0.03068651778329201,-0.018083245413644006,0.042275765692335765,0.021331578493118286,1
