score_file,aug_id,aug_type,label,artifact_gate_pass,artifact_risk_raw,content_score,physio_score,style_score,e_total,softar_weight_v1_1
target90_seed20.csv,time_crop_004_02,time_crop,1,0,13.818593978881836,0.33898305892944336,0.0,0.033898305147886276,0.35593220591545105,0.0
target90_seed20.csv,time_crop_009_02,time_crop,0,0,14.635651588439941,0.2542372941970825,0.06779661029577255,0.08474576473236084,0.3644067943096161,0.0
target90_seed20.csv,time_crop_001_02,time_crop,1,0,3.8396198749542236,0.7457627058029175,0.23728813230991364,0.508474588394165,1.2372881174087524,0.0
target90_seed20.csv,gaussian_noise_009_00,gaussian_noise,0,0,4.512485027313232,0.6271186470985413,0.694915235042572,0.2542372941970825,1.4491524696350098,0.0
target90_seed20.csv,gaussian_noise_000_00,gaussian_noise,1,0,4.230755805969238,0.7118644118309021,0.7457627058029175,0.6101694703102112,1.762711763381958,0.0
target90_seed20.csv,gaussian_noise_001_00,gaussian_noise,1,0,4.336963653564453,0.7796609997749329,0.8135592937469482,0.38983049988746643,1.7881355285644531,0.0
target90_seed20.csv,channel_dropout_008_04,channel_dropout,0,1,0.7258467078208923,0.016949152573943138,0.016949152573943138,0.016949152573943138,0.04237288236618042,0.20000000298023224
target90_seed20.csv,channel_dropout_003_04,channel_dropout,0,1,0.6767986416816711,0.16949152946472168,0.10169491171836853,0.20338982343673706,0.37288135290145874,0.24067796766757965
target90_seed20.csv,channel_dropout_009_04,channel_dropout,0,1,1.856902003288269,0.20338982343673706,0.1525423675775528,0.050847455859184265,0.3813559114933014,0.2542372941970825
target90_seed20.csv,channel_dropout_001_04,channel_dropout,1,1,2.006314992904663,0.38983049988746643,0.1355932205915451,0.06779661029577255,0.5593219995498657,0.2677966058254242
target90_seed20.csv,channel_dropout_004_04,channel_dropout,1,1,0.37546905875205994,0.4576271176338196,0.050847455859184265,0.10169491171836853,0.5593220591545105,0.28135591745376587
target90_seed20.csv,mild_frequency_mixup_009_05,mild_frequency_mixup,0,1,1.708886981010437,0.11864406615495682,0.2542372941970825,0.5254237055778503,0.6355931758880615,0.29491525888442993
