score_file,aug_id,aug_type,label,artifact_gate_pass,artifact_risk_raw,content_score,physio_score,style_score,e_total,softar_weight_v1_1
target108_seed24.csv,time_crop_006_02,time_crop,0,0,3.8989224433898926,0.0,0.016949152573943138,0.033898305147886276,0.033898305147886276,0.0
target100_seed23.csv,time_crop_009_02,time_crop,0,0,5.399648189544678,0.0,0.0,0.1525423675775528,0.0762711837887764,0.0
target99_seed21.csv,channel_dropout_009_04,channel_dropout,1,0,4.370336055755615,0.016949152573943138,0.10169491171836853,0.033898305147886276,0.1355932205915451,0.0
target100_seed21.csv,channel_dropout_008_04,channel_dropout,0,0,2.7839133739471436,0.050847455859184265,0.016949152573943138,0.20338982343673706,0.16949152946472168,0.0
target97_seed21.csv,time_crop_002_02,time_crop,0,0,4.236257076263428,0.10169491171836853,0.016949152573943138,0.11864406615495682,0.17796610295772552,0.0
target108_seed21.csv,channel_dropout_008_04,channel_dropout,0,0,4.732696533203125,0.06779661029577255,0.033898305147886276,0.20338982343673706,0.20338982343673706,0.0
target93_seed22.csv,channel_dropout_002_04,channel_dropout,1,0,4.21551513671875,0.1525423675775528,0.0,0.11864406615495682,0.2118643969297409,0.0
target99_seed21.csv,time_crop_002_02,time_crop,0,0,8.045181274414062,0.11864406615495682,0.016949152573943138,0.18644067645072937,0.2288135588169098,0.0
target102_seed22.csv,channel_dropout_002_04,channel_dropout,0,0,3.1346724033355713,0.1355932205915451,0.033898305147886276,0.18644067645072937,0.26271188259124756,0.0
target100_seed22.csv,channel_dropout_003_04,channel_dropout,0,0,4.32205057144165,0.16949152946472168,0.016949152573943138,0.22033898532390594,0.29661017656326294,0.0
target100_seed24.csv,channel_dropout_001_04,channel_dropout,0,0,4.54791259765625,0.11864406615495682,0.016949152573943138,0.32203391194343567,0.29661017656326294,0.0
target97_seed22.csv,time_crop_000_02,time_crop,1,0,3.4200520515441895,0.2542372941970825,0.0,0.10169491171836853,0.305084764957428,0.0
target90_seed24.csv,time_crop_008_02,time_crop,1,0,16.643980026245117,0.18644067645072937,0.08474576473236084,0.10169491171836853,0.3220338821411133,0.0
target90_seed20.csv,time_crop_009_02,time_crop,0,0,14.635651588439941,0.22033898532390594,0.06779661029577255,0.08474576473236084,0.3305084705352783,0.0
target96_seed24.csv,channel_dropout_003_04,channel_dropout,1,0,5.633040904998779,0.16949152946472168,0.1525423675775528,0.050847455859184265,0.347457617521286,0.0
target109_seed24.csv,time_crop_006_02,time_crop,0,0,2.7774031162261963,0.0,0.18644067645072937,0.33898305892944336,0.35593220591545105,0.0
target93_seed20.csv,channel_dropout_004_04,channel_dropout,1,0,6.271736145019531,0.35593220591545105,0.0,0.0,0.35593220591545105,0.0
target102_seed21.csv,time_crop_004_02,time_crop,0,0,5.583688259124756,0.16949152946472168,0.016949152573943138,0.35593220591545105,0.3644067645072937,0.0
target105_seed20.csv,channel_dropout_009_04,channel_dropout,0,0,2.1836726665496826,0.06779661029577255,0.11864406615495682,0.35593220591545105,0.3644067645072937,0.0
target92_seed23.csv,time_crop_000_02,time_crop,0,0,6.104699611663818,0.22033898532390594,0.10169491171836853,0.08474576473236084,0.3644067645072937,0.0
target103_seed24.csv,time_crop_006_02,time_crop,0,0,4.980091094970703,0.016949152573943138,0.23728813230991364,0.22033898532390594,0.3644067943096161,0.0
target90_seed20.csv,time_crop_004_02,time_crop,1,0,13.818593978881836,0.35593220591545105,0.0,0.033898305147886276,0.37288135290145874,0.0
target99_seed22.csv,channel_dropout_008_04,channel_dropout,1,0,3.2244982719421387,0.16949152946472168,0.22033898532390594,0.016949152573943138,0.39830511808395386,0.0
target95_seed20.csv,channel_dropout_005_04,channel_dropout,1,0,3.624199151992798,0.2542372941970825,0.1525423675775528,0.0,0.4067796468734741,0.0
target99_seed24.csv,channel_dropout_008_04,channel_dropout,1,0,2.273726224899292,0.23728813230991364,0.033898305147886276,0.2711864411830902,0.4067796468734741,0.0
target102_seed20.csv,channel_dropout_003_04,channel_dropout,0,0,6.799308776855469,0.1525423675775528,0.11864406615495682,0.2881355881690979,0.41525423526763916,0.0
target97_seed23.csv,channel_dropout_004_04,channel_dropout,1,0,6.410893440246582,0.38983049988746643,0.016949152573943138,0.016949152573943138,0.41525423526763916,0.0
target99_seed23.csv,time_crop_009_02,time_crop,0,0,3.3274004459381104,0.10169491171836853,0.1355932205915451,0.37288135290145874,0.4237288236618042,0.0
target99_seed24.csv,time_crop_000_02,time_crop,0,0,8.210892677307129,0.3050847351551056,0.016949152573943138,0.22033898532390594,0.43220338225364685,0.0
target93_seed22.csv,frequency_mask_002_03,frequency_mask,1,0,3.7825164794921875,0.1355932205915451,0.22033898532390594,0.16949152946472168,0.4406779706478119,0.0
target103_seed24.csv,channel_dropout_006_04,channel_dropout,0,0,4.592906475067139,0.37288135290145874,0.06779661029577255,0.033898305147886276,0.4576271176338196,0.0
target93_seed20.csv,frequency_mask_004_03,frequency_mask,1,0,6.6003947257995605,0.16949152946472168,0.2711864411830902,0.033898305147886276,0.4576271176338196,0.0
target94_seed21.csv,channel_dropout_002_04,channel_dropout,0,0,4.037155628204346,0.2542372941970825,0.10169491171836853,0.20338982343673706,0.4576271176338196,0.0
target99_seed21.csv,time_crop_001_02,time_crop,0,0,5.40352201461792,0.2881355881690979,0.050847455859184265,0.23728813230991364,0.4576271176338196,0.0
