target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,artifact_threshold,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,3.3602078437805183,0,0,0.8285714285714286,0.826797385620915,0.8273026315789473,0.6557377049180327,0.8954248366013071,0.40220973635354246,0.09763225487300328,0.26715582609176636
90,20,ArtifactReject_LS010,10,60,54,0.09999999999999998,1.0,1.0,3.3602078437805183,0,0,0.8,0.8006535947712419,0.7999999999999999,0.6003262642740621,0.9150326797385621,0.3836461529996688,0.10254511492592948,0.24975503981113434
90,20,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,3.3602078437805183,0,0,0.7714285714285715,0.7696078431372549,0.7697368421052632,0.540983606557377,0.869281045751634,0.4411133263847675,0.14515902144568307,0.28715047240257263
90,20,SAS-Cert-SoftAR-LS-v1.1,10,60,54,0.09999999999999998,0.5431638360023499,0.6035153865814209,3.3602078437805183,0,0,0.8571428571428571,0.8545751633986928,0.8552522746071134,0.7126436781609196,0.9150326797385621,0.38738940398885113,0.11033865043095178,0.24885450303554535
90,21,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,2.7428706645965577,0,0,0.9142857142857143,0.9150326797385621,0.9142857142857143,0.8287112561174552,0.9836601307189542,0.19904755384277367,0.05632483788899013,0.12037566304206848
90,21,ArtifactReject_LS010,10,60,54,0.09999999999999998,1.0,1.0,2.7428706645965577,0,0,0.8571428571428571,0.8594771241830066,0.8566748566748567,0.7154471544715447,0.9477124183006536,0.30212998913168004,0.06042562212262834,0.19659188389778137
90,21,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000238418579,0.6000000238418579,2.7428706645965577,0,0,0.8571428571428571,0.8594771241830066,0.8566748566748567,0.7154471544715447,0.9705882352941175,0.25727815196335185,0.09152366433824813,0.16899433732032776
90,21,SAS-Cert-SoftAR-LS-v1.1,10,60,54,0.09999999999999998,0.518983006477356,0.5766478180885315,2.7428706645965577,0,0,0.8571428571428571,0.8594771241830066,0.8566748566748567,0.7154471544715447,0.9281045751633987,0.3360410601312679,0.1344218603202275,0.21500548720359802
90,22,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,4.39075722694397,0,0,0.8857142857142857,0.8872549019607843,0.8856209150326797,0.7719869706840391,0.9705882352941176,0.2313595421587517,0.0642089009284973,0.1490217000246048
90,22,ArtifactReject_LS010,10,60,54,0.09999999999999998,1.0,1.0,4.39075722694397,0,0,0.8857142857142857,0.8872549019607843,0.8856209150326797,0.7719869706840391,0.9673202614379085,0.2253549650290287,0.09934697491782052,0.1454612761735916
