aug_type,n,n_rejected,rejected_ratio,artifact_risk_mean,rejected_artifact_risk_mean
ALL,6000,600,0.1,1.581825144531826,4.755311846335729
channel_dropout,1000,47,0.047,1.2377072027251124,5.0949256775227
frequency_mask,1000,48,0.048,1.1691407902687787,5.4065663913885755
gaussian_noise,1000,228,0.228,2.5873051100969313,4.147056506914005
mild_frequency_mixup,1000,49,0.049,1.1491001951098443,5.406634676213167
time_crop,1000,156,0.156,2.036644360437989,5.1099234238649025
time_shift,1000,72,0.072,1.311053208552301,4.8140052407979965
