aug_type,n,artifact_risk_raw_mean,artifact_risk_raw_std,artifact_risk_raw_p10,artifact_risk_raw_p90,content_score_mean,content_score_std,content_score_p10,content_score_p90,physio_score_mean,physio_score_std,physio_score_p10,physio_score_p90,style_score_mean,style_score_std,style_score_p10,style_score_p90,e_total_mean,e_total_std,e_total_p10,e_total_p90,soft_weight_v1_1_mean,soft_weight_v1_1_std,soft_weight_v1_1_p10,soft_weight_v1_1_p90,softar_weight_v1_1_mean,softar_weight_v1_1_std,softar_weight_v1_1_p10,softar_weight_v1_1_p90,d_band_mean,d_band_std,d_band_p10,d_band_p90,d_cov_riemann_mean,d_cov_riemann_std,d_cov_riemann_p10,d_cov_riemann_p90,d_style_mean,d_style_std,d_style_p10,d_style_p90
ALL,6000,1.581825144531826,1.57477285893954,0.41933172345161435,3.1730990648269652,0.4999999995343387,0.2935271570389869,0.09999999701976738,0.8999999761581483,0.4999999995343387,0.2935271570389869,0.09999999701976738,0.8999999761581483,0.4999999995343387,0.2935271570389869,0.09999999701976738,0.8999999761581483,1.2500000002793967,0.46469912141619446,0.5932203531265259,1.8474575281143188,0.6000000034769376,0.23482172577818164,0.27999998629093137,0.9200000047683765,0.5350847489337126,0.28509510852365,0.18000000268220445,0.9186440706253052,185.38878827762605,246.03411109285722,0.0,567.0789428710939,3.8882164306098237,5.606243757559545,1.9809975057918927e-12,15.966591930389406,212.45575682512919,85.61109426776315,120.4760528564453,330.7049438476563
channel_dropout,1000,1.2377072027251124,1.293190348104384,0.41226792931556705,2.3977946043014526,0.4641694912072271,0.26741498433305877,0.11864406615495682,0.8305084705352783,0.1041355924345553,0.06235644556945976,0.016949152573943138,0.18644067645072937,0.25589830442890527,0.19303469864406547,0.016949152573943138,0.5254237055778503,0.6962542369812726,0.3068333884247602,0.3050847351551056,1.101694941520691,0.330061019346118,0.11177482931217937,0.2135593295097351,0.4847458004951477,0.31488474798202515,0.12954365666119028,0.20000000298023224,0.4847458004951477,565.8785102844238,130.33460433412728,409.4408325195312,748.0759582519531,16.1955594625473,0.6778666122956823,15.403599548339844,17.121074295043947,261.4015995941162,69.98979659409399,190.75603942871095,353.2232940673828
frequency_mask,1000,1.1691407902687787,1.3439156728100883,0.321014878153801,2.385035037994385,0.4392711864914745,0.2779124132169191,0.08474576473236084,0.8305084705352783,0.5283389820083976,0.24742419842028926,0.11864406615495682,0.8135592937469482,0.497423728896305,0.296931978486132,0.08305084928870211,0.9152542352676392,1.216322032380849,0.4972093404061177,0.5,1.8559321165084839,0.5864949186295271,0.24261942527697097,0.2542372941970825,0.9322034120559692,0.5584000029116869,0.26901106349312326,0.22711864113807678,0.9186440706253052,165.28298211050034,297.3739943705774,3.705276083946228,561.1988098144532,1.520921197503805,1.0627076752387787,0.1999389171600342,3.078574800491334,214.4483793144226,90.45239429157027,119.55557708740234,342.7602294921875
gaussian_noise,1000,2.5873051100969313,1.485952587814538,1.3481604099273683,4.070946502685547,0.7102881345041097,0.2390986310848183,0.35593220591545105,0.9830508232116699,0.7125423755645752,0.055732563998989335,0.6440678238868713,0.7796609997749329,0.5648644056543708,0.283718925830746,0.1525423675775528,0.9322034120559692,1.7052627153396607,0.2972030536054163,1.2796611666679383,2.0762712955474854,0.8355661041736603,0.15020575389166643,0.6054237604141236,0.9864406585693359,0.6477830529212951,0.376139278071076,0.0,0.9864406585693359,11.186785065174103,1.3104512613876518,9.434162044525147,12.808503913879395,2.437701265156269,1.226906312030069,1.1938401460647583,3.843086361885071,199.37623483657836,83.84774724061961,115.47480773925781,318.6651580810547
mild_frequency_mixup,1000,1.1491001951098443,1.345744038367589,0.2998451620340347,2.3622648239135744,0.5381864399630576,0.2706774837299464,0.16949152946472168,0.8983050584793091,0.3821694906279445,0.09191020077499691,0.2711864411830902,0.508474588394165,0.5531186440102756,0.2763876451426863,0.1525423675775528,0.9152542352676392,1.1969152545034885,0.31400933206050896,0.7711864709854126,1.601694941520691,0.5600406827032566,0.17979026554123,0.33559322357177734,0.810169517993927,0.5329254283905029,0.2135963287407644,0.3084745705127716,0.7979661107063296,153.3777271118164,75.02876265861171,76.89014587402343,253.97552642822268,1.6313696737885475,0.7449771797291697,1.0869281530380248,2.6004215478897095,199.6860710105896,82.24091720135178,117.56095123291016,312.81531982421876
time_crop,1000,2.036644360437989,1.9337598930218136,0.6957787990570068,3.9704186201095584,0.5980677959509194,0.2647478257330981,0.22033898532390594,0.9338983237743381,0.3490847448296845,0.13793818055366275,0.18644067645072937,0.5254237055778503,0.5602711866311729,0.2811367660192273,0.11864406615495682,0.9322034120559692,1.2272881342805921,0.3640579305675154,0.7288135290145874,1.6949152946472168,0.5817084784805775,0.19656350017346666,0.3084745705127716,0.8508474230766296,0.5015457661896944,0.2799507917206306,0.0,0.8508474230766296,216.60672509384156,200.63895048404166,75.24899597167969,420.4752960205078,1.5437469846606255,0.20923389178672477,1.2949085116386414,1.776525855064392,200.4931282157898,83.7873829969218,118.58642883300782,316.6524597167969
time_shift,1000,1.311053208552301,1.3694352704538195,0.43427176475524903,2.539703702926636,0.250016949089244,0.2119369369150476,0.016949152573943138,0.5762711763381958,0.9237288117408753,0.048682731303049995,0.8627118527889253,0.9847457408905033,0.5684237275850028,0.28400358706854445,0.1525423675775528,0.9322034120559692,1.4579576281905173,0.2706015188684603,1.110169517993927,1.8483051061630251,0.7061288175284862,0.15566200264041521,0.498305082321167,0.9186440706253052,0.6549694952070713,0.23625366153955937,0.4440677762031555,0.9186440706253052,0.0,0.0,0.0,0.0,2.393034107244646e-12,2.504549394270354e-12,5.969516385113255e-13,4.562426261442432e-12,199.32912797927855,83.85578735519307,115.47137069702148,318.7313720703125
