acc,ece,group,kappa,macro_f1,n,nll,target_subject
0.3263888888888889,0.0597451491350377,ArtifactReject,0.10185185185185186,0.2896610557946008,3,1.3634832700093586,1
0.30439814814814814,0.04871601483750123,NaiveAug,0.07253086419753087,0.23340926287729924,3,1.364579200744629,1
0.36226851851851855,0.09000400433109867,NoAug,0.14969135802469138,0.2968655547471278,3,1.362790544827779,1
0.3263888888888889,0.04784295976989799,Random50,0.10185185185185186,0.2650721804588611,3,1.368393898010254,1
0.3506944444444444,0.07788411793471486,SASCertSoftWeight,0.13425925925925927,0.29405097957054216,3,1.3627505699793498,1
0.31250000000000006,0.05949624291517669,SASCertTop50,0.08333333333333336,0.2270552057558033,3,1.3646787802378337,1
0.3368055555555556,0.0679050216589261,SoftWeightArtifactReject,0.11574074074074076,0.30829754870095605,3,1.362017075220744,1
0.25578703703703703,0.06568121966147035,ArtifactReject,0.007716049382716046,0.1786620295676593,3,1.4265859524408977,2
0.2523148148148148,0.07585348665748758,NaiveAug,0.0030864197530864087,0.1569944582444488,3,1.426548957824707,2
0.2488425925925926,0.06998824949065845,NoAug,-0.0015432098765432167,0.1764643675616168,3,1.4280497630437214,2
0.23726851851851852,0.08857238253026649,Random50,-0.01697530864197531,0.15564489068527962,3,1.4379835923512776,2
0.25000000000000006,0.058265172634963634,SASCertSoftWeight,1.2721305490496585e-17,0.18360679952770875,3,1.4235121409098308,2
0.2534722222222222,0.061913910891032875,SASCertTop50,0.004629629629629639,0.18123940609910125,3,1.426494558652242,2
0.2523148148148148,0.059716686821991105,SoftWeightArtifactReject,0.003086419753086408,0.19126248891265615,3,1.4223750829696655,2
0.35185185185185186,0.076267475520985,ArtifactReject,0.1358024691358025,0.30494751540649073,3,1.3492405811945598,3
0.33796296296296297,0.08215384821717937,NaiveAug,0.11728395061728396,0.28343982758746034,3,1.3503131866455078,3
0.34953703703703703,0.08689947169343078,NoAug,0.13271604938271606,0.29935657627668205,3,1.3488314549128215,3
0.29398148148148145,0.08882033011738073,Random50,0.058641975308641965,0.19008910853598562,3,1.369032343228658,3
0.34375,0.09112167629171852,SASCertSoftWeight,0.125,0.26598507385649584,3,1.349555253982544,3
0.34375,0.058129407120523634,SASCertTop50,0.12500000000000003,0.2519573373167904,3,1.349725882212321,3
0.34722222222222215,0.08540061983728298,SoftWeightArtifactReject,0.12962962962962962,0.27541322060585366,3,1.3492034276326497,3
0.40972222222222227,0.1431265781737036,ArtifactReject,0.212962962962963,0.3938912516252188,3,1.3596657514572144,4
0.32060185185185186,0.05031891262020779,NaiveAug,0.09413580246913579,0.25798503178656174,3,1.3598601818084717,4
0.3194444444444444,0.04899557428089557,NoAug,0.0925925925925926,0.2827137464813792,3,1.3605983654658,4
0.29976851851851855,0.04283096875857425,Random50,0.06635802469135804,0.20732209472575133,3,1.3660475413004558,4
0.375,0.10180813615658768,SASCertSoftWeight,0.16666666666666666,0.31117348730508937,3,1.3604653278986614,4
0.3680555555555556,0.09776725428592827,SASCertTop50,0.1574074074074074,0.28987922230698865,3,1.3643763462702434,4
0.3726851851851852,0.10036558706175397,SoftWeightArtifactReject,0.16358024691358022,0.32963388288162665,3,1.3598428964614868,4
0.2569444444444444,0.026863381145866932,ArtifactReject,0.00925925925925924,0.19112315715904268,3,1.3859017292658489,5
0.2604166666666667,0.02039296981982059,NaiveAug,0.013888888888888876,0.18660016328792653,3,1.3873658974965413,5
0.2708333333333333,0.023272655300658057,NoAug,0.0277777777777778,0.20506524054567954,3,1.3876018921534221,5
0.26504629629629634,0.029590641941737245,Random50,0.02006172839506173,0.1476183746051796,3,1.3907159964243572,5
0.2534722222222222,0.029734346429230993,SASCertSoftWeight,0.004629629629629639,0.15572197378442718,3,1.388404130935669,5
0.26851851851851855,0.028617680874756638,SASCertTop50,0.024691358024691357,0.1967492514032251,3,1.3905655940373738,5
0.2638888888888889,0.026275376565064543,SoftWeightArtifactReject,0.018518518518518514,0.1698129789079076,3,1.3882205088933308,5
0.2708333333333333,0.04465324339387869,ArtifactReject,0.027777777777777776,0.22935462606239274,3,1.3779027462005615,6
0.2800925925925926,0.02139016332242776,NaiveAug,0.040123456790123434,0.2063570747075337,3,1.3780885140101116,6
0.28009259259259256,0.05464142336751576,NoAug,0.04012345679012344,0.207580231869402,3,1.378833293914795,6
0.2766203703703704,0.037704322711323145,Random50,0.03549382716049385,0.1826199176204348,3,1.3874977032343547,6
0.29050925925925924,0.03253623828533347,SASCertSoftWeight,0.05401234567901236,0.20325585919200762,3,1.3806535005569458,6
0.28240740740740744,0.048486190761818926,SASCertTop50,0.043209876543209895,0.22591699689675485,3,1.3803558349609375,6
0.28935185185185186,0.04015605819101135,SoftWeightArtifactReject,0.05246913580246915,0.21842673657187814,3,1.3791990280151367,6
0.3125,0.04934761004039535,ArtifactReject,0.08333333333333333,0.2336655639663053,3,1.3702817757924397,7
0.29050925925925924,0.026653787466111006,NaiveAug,0.05401234567901234,0.1916838171299753,3,1.3727496067682903,7
0.2974537037037037,0.05385452834889293,NoAug,0.0632716049382716,0.19123819773358597,3,1.3740067879358928,7
0.2662037037037037,0.08473437193229243,Random50,0.021604938271604934,0.1351445419458885,3,1.379088322321574,7
0.30671296296296297,0.049950309891115735,SASCertSoftWeight,0.07561728395061729,0.21426534025395194,3,1.3705226182937622,7
0.28125,0.03596604486099548,SASCertTop50,0.041666666666666664,0.16876198471545534,3,1.3758178154627483,7
0.3078703703703704,0.04734062410339162,SoftWeightArtifactReject,0.07716049382716049,0.21221649981995303,3,1.3714924256006877,7
0.32175925925925924,0.059416661866837084,ArtifactReject,0.09567901234567903,0.24704990341027555,3,1.3618738253911336,8
0.31597222222222227,0.04592297674605139,NaiveAug,0.08796296296296295,0.23384604218907512,3,1.3642405271530151,8
0.3125,0.041766512104206614,NoAug,0.08333333333333337,0.2171926239749237,3,1.3644185463587444,8
0.2916666666666667,0.07428451369654526,Random50,0.055555555555555546,0.21746442887013095,3,1.366193691889445,8
0.30902777777777773,0.03132323201538788,SASCertSoftWeight,0.0787037037037037,0.21718614779893794,3,1.3648583889007568,8
0.30902777777777785,0.021540457658745626,SASCertTop50,0.07870370370370372,0.19760579596584024,3,1.3683654467264812,8
0.3171296296296296,0.05145127584950792,SoftWeightArtifactReject,0.08950617283950618,0.22733391594398825,3,1.3639544248580933,8
0.4328703703703704,0.1448393029126304,ArtifactReject,0.24382716049382716,0.33902453706330454,3,1.3203946749369304,9
0.42476851851851855,0.14520211393634477,NaiveAug,0.23302469135802464,0.35841357654922384,3,1.3229402701059978,9
0.4421296296296296,0.15925971635927758,NoAug,0.25617283950617287,0.37430455154075054,3,1.325317144393921,9
0.3506944444444444,0.12506708246655762,Random50,0.13425925925925927,0.2595505733160943,3,1.3342336018880208,9
0.37847222222222227,0.11066312525697329,SASCertSoftWeight,0.1712962962962963,0.27502338463109893,3,1.323818524678548,9
0.34722222222222227,0.10750246567099735,SASCertTop50,0.12962962962962962,0.24465100933426717,3,1.3348197142283122,9
0.4039351851851852,0.11228711390867828,SoftWeightArtifactReject,0.2052469135802469,0.3049765168613272,3,1.3225070635477703,9
