acc,ece,group,kappa,macro_f1,n_train,nll,seed,shadow_diagnostic,target_subject
0.3402777777777778,0.06553428764972422,NoAug,0.12037037037037039,0.2913724626005657,20,1.3599987030029297,20,0,1
0.3159722222222222,0.03761146072712209,NaiveAug,0.08796296296296295,0.27189114625137684,200,1.361257791519165,20,0,1
0.3159722222222222,0.023324033245444298,Random50,0.08796296296296295,0.20911654135338348,110,1.380273699760437,20,0,1
0.3368055555555556,0.07153933531501228,SASCertTop50,0.11574074074074077,0.281751985209432,110,1.3598140478134155,20,0,1
0.3715277777777778,0.09467155113816261,SASCertSoftWeight,0.16203703703703706,0.3041278956809549,200,1.35928213596344,20,1,1
0.3159722222222222,0.03918208243946235,ArtifactReject,0.08796296296296295,0.261464430704577,182,1.3592681884765625,20,1,1
0.3402777777777778,0.0679161860090163,SoftWeightArtifactReject,0.12037037037037039,0.29179481020902376,182,1.358616828918457,20,1,1
0.3784722222222222,0.10894449065542884,NoAug,0.17129629629629628,0.33134281299712565,20,1.3612433671951294,21,0,1
0.3263888888888889,0.0611849962733686,NaiveAug,0.10185185185185186,0.22243368838763578,200,1.3661069869995117,21,0,1
0.3402777777777778,0.06553082602719465,Random50,0.12037037037037039,0.29627810322410997,110,1.3600449562072754,21,0,1
0.2604166666666667,0.042617231607437134,SASCertTop50,0.013888888888888914,0.12108262108262108,110,1.3697583675384521,21,0,1
0.2986111111111111,0.024210911658075124,SASCertSoftWeight,0.06481481481481481,0.22372626102603219,200,1.3640246391296387,21,1,1
0.3055555555555556,0.05233220838838153,ArtifactReject,0.07407407407407411,0.285925481737315,182,1.3639551401138306,21,1,1
0.3333333333333333,0.06592405090729395,SoftWeightArtifactReject,0.11111111111111109,0.3092503324115771,182,1.3627023696899414,21,1,1
0.3680555555555556,0.09553323468814294,NoAug,0.15740740740740744,0.267881388643692,20,1.3671295642852783,22,0,1
0.2708333333333333,0.04735158751201299,NaiveAug,0.027777777777777752,0.20590295399288516,200,1.36637282371521,22,0,1
0.3229166666666667,0.054674020037055016,Random50,0.09722222222222225,0.2898218967990897,110,1.3648630380630493,22,0,1
0.3402777777777778,0.06433216182308064,SASCertTop50,0.12037037037037039,0.27833101097535684,110,1.3644639253616333,22,0,1
