target_subject,label,n,v1_3_weight_mean,v1_3_weight_std,v1_4_weight_mean,v1_4_weight_std,v1_4_weight_min,v1_4_weight_max,ranknorm_scope
90,0,150,0.9721468909581502,0.15583878904458387,1.0,0.14923174819215004,0.75,1.25,subject_class
90,1,150,1.0278531030813853,0.1313079370448512,1.0,0.14923174819215004,0.75,1.25,subject_class
91,0,150,1.0646327634652455,0.140406431980978,1.0,0.14923174819215004,0.75,1.25,subject_class
91,1,150,0.9353672305742899,0.12251668620231278,1.0,0.14923174819215004,0.75,1.25,subject_class
92,0,150,1.0080790921052296,0.14993562194300092,1.0,0.14923174819215004,0.75,1.25,subject_class
92,1,150,0.9919209019343058,0.14306592625143827,1.0,0.14923174819215004,0.75,1.25,subject_class
93,0,150,1.0480225936571756,0.1472640277433336,1.0,0.14923174819215004,0.75,1.25,subject_class
93,1,150,0.9519774003823598,0.12953787127179694,1.0,0.14923174819215004,0.75,1.25,subject_class
94,0,150,1.0290395430723827,0.15998508136797462,1.0,0.14923174819215004,0.75,1.25,subject_class
94,1,150,0.9709604509671529,0.1256872181497188,1.0,0.14923174819215004,0.75,1.25,subject_class
95,0,150,1.0061016889413197,0.16137891887746775,1.0,0.14923174819215004,0.75,1.25,subject_class
95,1,150,0.9938983050982158,0.1302362345499322,1.0,0.14923174819215004,0.75,1.25,subject_class
96,0,150,1.004802254041036,0.15889070219367937,1.0,0.14923174819215004,0.75,1.25,subject_class
96,1,150,0.9951977399984996,0.1333668435099939,1.0,0.14923174819215004,0.75,1.25,subject_class
97,0,150,0.9820903901259105,0.1558271109135575,1.0,0.14923174819215004,0.75,1.25,subject_class
97,1,150,1.017909603913625,0.1347423355985979,1.0,0.14923174819215004,0.75,1.25,subject_class
98,0,150,0.9429378505547842,0.1363201406885624,1.0,0.14923174819215004,0.75,1.25,subject_class
98,1,150,1.0570621434847514,0.13410345133770574,1.0,0.14923174819215004,0.75,1.25,subject_class
99,0,150,0.9359322011470794,0.1392282151840005,1.0,0.14923174819215004,0.75,1.25,subject_class
99,1,150,1.064067792892456,0.12443967493177202,1.0,0.14923174819215004,0.75,1.25,subject_class
100,0,150,0.9501129905382792,0.14702444674064585,1.0,0.14923174819215004,0.75,1.25,subject_class
100,1,150,1.0498870035012564,0.1283957895168497,1.0,0.14923174819215004,0.75,1.25,subject_class
101,0,150,0.9901694877942403,0.15351176093025679,1.0,0.14923174819215004,0.75,1.25,subject_class
101,1,150,1.0098305062452952,0.138996240845721,1.0,0.14923174819215004,0.75,1.25,subject_class
102,0,150,0.9766101674238841,0.14717951989449898,1.0,0.14923174819215004,0.75,1.25,subject_class
102,1,150,1.0233898266156514,0.14255916036155716,1.0,0.14923174819215004,0.75,1.25,subject_class
103,0,150,0.9984180748462677,0.15355949403698813,1.0,0.14923174819215004,0.75,1.25,subject_class
103,1,150,1.0015819191932678,0.13961937677842043,1.0,0.14923174819215004,0.75,1.25,subject_class
104,0,150,1.0168926513195038,0.15633926504652104,1.0,0.14923174819215004,0.75,1.25,subject_class
104,1,150,0.9831073427200318,0.13441132468117858,1.0,0.14923174819215004,0.75,1.25,subject_class
105,0,150,0.9919773956139882,0.16637109003833994,1.0,0.14923174819215004,0.75,1.25,subject_class
105,1,150,1.0080225984255473,0.1235760076602206,1.0,0.14923174819215004,0.75,1.25,subject_class
106,0,150,0.9437288129329682,0.14225859531596247,1.0,0.14923174819215004,0.75,1.25,subject_class
106,1,150,1.0562711811065675,0.12848615986978748,1.0,0.14923174819215004,0.75,1.25,subject_class
107,0,150,0.9506214690208435,0.145669054985548,1.0,0.14923174819215004,0.75,1.25,subject_class
107,1,150,1.049378525018692,0.13031938421183795,1.0,0.14923174819215004,0.75,1.25,subject_class
108,0,150,0.9175141235192616,0.12233334361292973,1.0,0.14923174819215004,0.75,1.25,subject_class
108,1,150,1.0824858705202738,0.12044005945952628,1.0,0.14923174819215004,0.75,1.25,subject_class
109,0,150,0.9949152481555938,0.16056656457365076,1.0,0.14923174819215004,0.75,1.25,subject_class
109,1,150,1.0050847458839416,0.13132312262282128,1.0,0.14923174819215004,0.75,1.25,subject_class
