target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
90,20,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.3136304020881653,0.31757956743240356,0.31757956743240356,0.6312099695205688,4.530228805541992,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,0.9738562091503268,0.24056944321833643,0.15719224384852817,0.1342761516571045,0.8823529411764706,0.9375,1.0,0.9473684210526316
90,20,RiskMixed_SAS-Cert-SCB-CU-LS-v1.4,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2638624608516693,0.2741795480251312,0.2766702175140381,0.5405327081680298,4.530228805541992,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.20373343441608127,0.13182296923228673,0.1072661429643631,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,21,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.3488963842391968,0.42273712158203125,0.42273712158203125,0.771633505821228,3.908350229263307,0,0,1.0,1.0,1.0,1.0,1.0,0.046543661506697385,0.041911385740552635,0.01552086602896452,1.0,1.0,1.0,1.0
90,21,RiskMixed_SAS-Cert-SCB-CU-LS-v1.4,10,100,100,0.0,1.0,1.0,100.0,1.0,0.34700003266334534,0.4245516061782837,0.4123775362968445,0.7593775987625122,3.908350229263307,0,0,1.0,1.0,1.0,1.0,1.0,0.04704639758027903,0.042315830503191265,0.015803150832653046,1.0,1.0,1.0,1.0
90,22,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2472487986087799,0.27036136388778687,0.27036136388778687,0.5176101922988892,6.670614290237452,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9836601307189542,0.14652389594017126,0.07053212778908866,0.07936995476484299,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,22,RiskMixed_SAS-Cert-SCB-CU-LS-v1.4,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2513165771961212,0.27473631501197815,0.26989829540252686,0.5212148427963257,6.670614290237452,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9803921568627451,0.15840988448303642,0.10122740609305245,0.08627443015575409,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,23,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.23583728075027466,0.26052024960517883,0.26052024960517883,0.4963575303554535,11.163361167907723,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.15612178373689387,0.07179935319083078,0.0790768638253212,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,23,RiskMixed_SAS-Cert-SCB-CU-LS-v1.4,10,100,100,0.0,1.0,1.0,100.0,1.0,0.24229936301708221,0.2681686282157898,0.26252758502960205,0.5048269629478455,11.163361167907723,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,0.9771241830065359,0.14970856640597538,0.06965872730527606,0.07565980404615402,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,24,RiskMixed_NaiveAug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.21872064471244812,0.26323971152305603,0.26323971152305603,0.48196035623550415,4.4250849246978765,0,0,0.9714285714285714,0.9705882352941176,0.9713349713349714,0.9427168576104746,1.0,0.09875269144522378,0.04361057792391096,0.059443943202495575,0.9411764705882353,0.9696969696969697,1.0,0.972972972972973
90,24,RiskMixed_SAS-Cert-SCB-CU-LS-v1.4,10,100,100,0.0,1.0,1.0,100.0,1.0,0.22328469157218933,0.2710179388523102,0.2610820233821869,0.4843667149543762,4.4250849246978765,0,0,0.9428571428571428,0.9411764705882353,0.9424342105263158,0.8852459016393442,1.0,0.10223935746402553,0.0499394382749285,0.0630643293261528,0.8823529411764706,0.9375,1.0,0.9473684210526316
